Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,970.00,986.00,968.10,970.00,970.00,0.00,0.00,971.38,912.00,984.00,"885,901.20",19,-14.00,17.90,-1.42,1.85,-0.14,"1,063.57","1,082.24","1,284.90",950.00
ADBL,-,312.00,312.00,305.50,308.90,308.90,0.00,0.00,306.61,"18,464.00",308.00,"5,661,314.40",123,0.90,6.50,0.29,2.13,0.74,305.28,301.48,400.00,272.30
AHL,-,603.00,635.00,591.00,615.00,615.00,0.00,0.00,603.31,"6,431.00",615.00,"3,879,909.60",104,0.00,44.00,0.00,7.45,1.90,653.55,694.76,891.00,577.40
AHPC,-,271.70,278.50,270.00,270.20,270.20,0.00,0.00,271.17,"115,412.00",275.00,"31,296,099.00",376,-4.80,8.50,-1.75,3.15,-0.36,288.70,279.10,334.00,239.30
AKJCL,-,186.90,186.90,183.00,183.40,183.40,0.00,0.00,184.40,"48,520.00",184.90,"8,947,280.50",136,-1.50,3.90,-0.81,2.13,-0.55,206.43,205.75,233.50,172.90
AKPL,-,240.00,240.00,234.00,235.00,235.00,0.00,0.00,235.91,"59,712.00",238.00,"14,086,616.50",271,-3.00,6.00,-1.26,2.56,-0.39,256.80,249.63,306.50,216.10
ALBSL,-,935.90,970.00,935.90,956.00,956.00,0.00,0.00,945.31,"16,259.00",955.00,"15,369,757.00",83,1.00,34.10,0.10,3.64,1.12,890.66,882.34,"1,097.00",771.00
ALICL,-,444.20,452.00,444.20,448.00,448.00,0.00,0.00,446.37,"7,845.00",448.00,"3,501,760.50",58,0.00,7.80,0.00,1.76,0.36,565.35,627.40,831.00,430.00
ANLB,-,"6,126.10","6,248.60","6,003.60","6,100.10","6,100.10",0.00,0.00,"6,098.65","1,396.00","6,250.00","8,513,720.60",72,-149.90,245.00,-2.40,4.08,0.02,"5,624.36","5,501.34","6,735.00","4,146.00"
API,-,275.00,275.00,269.00,270.20,270.20,0.00,0.00,271.11,"60,777.00",272.00,"16,477,477.40",297,-1.80,6.00,-0.66,2.23,-0.34,294.03,288.13,335.00,246.20
AVYAN,-,941.00,941.00,921.20,924.00,924.00,0.00,0.00,933.19,"2,718.00",954.90,"2,536,402.60",42,-30.90,19.80,-3.24,2.15,-0.99,"1,037.45","1,059.22","1,306.80",882.00
BARUN,-,307.00,320.00,306.00,306.00,306.00,0.00,0.00,308.27,"19,122.00",313.00,"5,894,734.30",147,-7.00,14.00,-2.24,4.58,-0.74,424.59,441.53,589.00,292.10
BBC,-,"4,872.00","4,872.00","4,700.00","4,765.00","4,765.00",0.00,0.00,"4,756.68",551.00,"4,780.00","2,620,929.00",39,-15.00,172.00,-0.31,3.66,0.17,"5,508.66","5,552.27","7,247.00","4,057.20"
BEDC,-,539.10,561.00,514.00,527.00,527.00,0.00,0.00,527.17,"22,448.00",550.00,"11,833,979.90",143,-23.00,47.00,-4.18,9.14,-0.03,711.62,746.37,"1,080.00",448.00
BFC,-,443.00,443.00,430.00,430.10,430.10,0.00,0.00,431.59,"9,685.00",435.00,"4,179,921.10",79,-4.90,13.00,-1.13,3.02,-0.35,497.54,538.70,951.60,411.50
BGWT,-,794.00,794.00,764.40,779.00,779.00,0.00,0.00,772.25,570.00,780.00,"440,180.40",17,-1.00,29.60,-0.13,3.87,0.87,933.90,984.00,"1,241.00",760.00
BHCL,-,411.00,411.00,397.10,400.00,400.00,0.00,0.00,402.58,"22,993.00",411.70,"9,256,608.00",415,-11.70,13.90,-2.84,3.50,-0.65,0.00,0.00,625.70,292.10
BHDC,-,524.80,546.00,514.40,546.00,546.00,0.00,0.00,524.34,"84,355.00",535.50,"44,230,462.30",246,10.50,31.60,1.96,6.14,3.97,534.54,579.94,760.20,426.00
BHL,-,178.00,180.00,175.50,175.50,175.50,0.00,0.00,176.51,"55,863.00",178.00,"9,860,537.00",361,-2.50,4.50,-1.40,2.56,-0.58,213.32,262.43,520.00,164.00
BHPL,-,667.00,680.30,656.70,656.70,656.70,0.00,0.00,670.42,"1,007.00",667.00,"675,113.00",25,-10.30,23.60,-1.54,3.59,-2.09,845.36,909.14,"1,308.40",651.00
BNHC,-,415.00,429.00,395.10,403.00,403.00,0.00,0.00,402.24,"15,761.00",420.00,"6,339,744.40",151,-17.00,33.90,-4.05,8.58,0.19,508.43,514.31,608.00,395.10
BNT,-,"10,800.00","10,908.00","10,700.00","10,908.00","10,908.00",0.00,0.00,"10,768.38",80.00,"10,701.00","861,470.00",7,207.00,208.00,1.93,1.94,1.28,"12,380.67","12,717.09","15,289.70","10,666.10"
BPCL,-,687.40,687.40,656.00,660.00,660.00,0.00,0.00,667.60,"98,102.00",674.00,"65,492,640.50",301,-14.00,31.40,-2.08,4.79,-1.15,708.29,606.81,"1,065.00",375.10
C30MF,-,9.12,9.12,8.94,9.11,9.11,0.00,0.00,9.12,"32,056.00",9.12,"292,223.16",4,-0.01,0.18,-0.11,2.01,-0.07,9.67,9.49,10.71,8.65
CBBL,-,977.00,977.00,952.00,960.00,960.00,0.00,0.00,963.90,"27,353.00",977.00,"26,365,430.30",217,-17.00,25.00,-1.74,2.63,-0.41,952.59,922.64,"1,144.80",821.50
CBLD88,-,"1,218.00","1,218.00","1,218.00","1,218.00","1,218.00",0.00,0.00,"1,218.00",100.00,"1,195.00","121,800.00",1,23.00,0.00,1.92,0.00,0.00,"1,150.42","1,134.43","1,254.20","1,080.20"
CFCL,-,479.00,479.00,463.00,463.00,463.00,0.00,0.00,464.83,"6,822.00",472.00,"3,171,076.50",38,-9.00,16.00,-1.91,3.46,-0.40,530.10,549.89,745.90,445.10
CGH,-,827.00,830.00,805.00,823.80,823.80,0.00,0.00,812.09,"20,696.00",827.00,"16,806,981.40",164,-3.20,25.00,-0.39,3.11,1.42,941.13,925.37,"1,150.00",803.00
CHCL,-,489.00,489.00,475.30,484.00,484.00,0.00,0.00,479.67,"29,239.00",482.70,"14,025,079.10",191,1.30,13.70,0.27,2.88,0.89,513.69,513.15,610.00,456.00
CHDC,-,"2,156.00","2,262.00","2,121.70","2,130.00","2,130.00",0.00,0.00,"2,167.23","41,251.00","2,175.00","89,400,532.20",386,-45.00,140.30,-2.07,6.61,-1.75,"2,567.80","2,393.58","2,997.90","1,545.30"
CHL,-,236.30,236.50,225.00,227.90,227.90,0.00,0.00,227.54,"26,363.00",232.00,"5,998,570.20",179,-4.10,11.50,-1.77,5.11,0.16,336.35,387.95,599.70,225.00
CIT,-,"1,853.00","1,858.00","1,820.00","1,828.00","1,828.00",0.00,0.00,"1,828.40","11,281.00","1,828.00","20,626,126.40",168,0.00,38.00,0.00,2.09,-0.02,"1,930.62","1,953.30","2,299.00","1,730.80"
CITY,-,513.60,520.00,509.00,518.00,518.00,0.00,0.00,513.02,"5,762.00",513.50,"2,956,045.70",62,4.50,11.00,0.88,2.16,0.96,784.28,822.71,"1,025.00",506.10
CKHL,-,570.00,578.00,561.20,572.00,572.00,0.00,0.00,566.72,770.00,579.00,"436,375.00",21,-7.00,16.80,-1.21,2.99,0.92,662.32,705.73,910.00,561.00
CLI,-,437.00,443.00,435.00,435.20,435.20,0.00,0.00,435.90,"9,782.00",440.00,"4,263,979.30",143,-4.80,8.00,-1.09,1.84,-0.16,477.34,542.11,774.90,411.00
CMF2,-,9.18,9.18,9.18,9.18,9.18,0.00,0.00,9.18,"1,000.00",9.00,"9,180.00",1,0.18,0.00,2.00,0.00,0.00,9.62,9.56,10.86,8.64
