Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,954.00,954.00,901.20,905.00,924.68,"12,686.00",935.60,"11,730,508.90",195,-30.60,52.80,-3.27,5.86,-2.17,656.62,624.63,963.90,500.10
ADBL,-,259.00,265.10,254.00,261.10,261.59,"147,012.00",254.00,"38,457,283.50",598,7.10,11.10,2.80,4.37,-0.19,238.78,244.76,275.00,223.00
ADBLD83,-,"1,115.00","1,115.00","1,115.00","1,115.00","1,115.00",150.00,"1,122.00","167,250.00",2,-7.00,0.00,-0.62,0.00,0.00,"1,020.28",994.89,"1,144.00",941.00
AHL,-,444.90,451.00,432.10,444.00,440.13,"12,588.00",436.90,"5,540,386.70",136,7.10,18.90,1.63,4.37,0.87,416.14,385.20,504.00,273.10
AHPC,-,163.00,166.40,162.00,164.00,164.95,"74,008.00",162.10,"12,207,544.50",320,1.90,4.40,1.17,2.72,-0.58,202.68,206.76,316.00,153.90
AKJCL,-,209.90,210.00,206.00,208.00,208.52,"19,278.00",207.10,"4,019,845.30",113,0.90,4.00,0.43,1.94,-0.25,206.34,190.49,250.00,141.30
AKPL,-,170.00,173.00,169.20,171.00,171.09,"67,419.00",170.00,"11,534,617.30",266,1.00,3.80,0.59,2.25,-0.05,180.04,181.49,384.90,152.40
ALBSL,-,905.60,958.60,905.60,943.00,938.28,"40,098.00",924.00,"37,623,317.90",403,19.00,53.00,2.06,5.85,0.50,703.53,702.43,958.60,543.00
ALICL,-,610.10,620.00,595.00,602.50,608.34,"51,728.00",602.00,"31,468,437.80",373,0.50,25.00,0.08,4.20,-0.97,615.86,633.27,812.00,523.00
ANLB,-,"2,454.00","2,590.30","2,291.00","2,372.30","2,409.34","6,568.00","2,406.80","15,824,567.10",141,-34.50,299.30,-1.43,13.06,-1.56,"1,882.46","1,921.42","2,651.00","1,047.20"
