Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,24.02,"1,045.10","1,059.00","1,045.10","1,054.72","1,055.00",-0.28,0.00,"1,052.53",597.00,"1,060.00","628,360.60",29,-5.28,13.90,-0.50,1.33,0.21,"1,095.31","1,117.81","1,491.00",742.10
ADBL,27.89,282.10,284.80,280.50,283.45,282.80,0.65,0.00,281.89,"20,455.00",282.91,"5,766,008.10",189,0.54,4.30,0.19,1.53,0.55,316.39,332.64,428.40,226.10
AHL,45.88,735.00,737.00,713.00,732.27,733.90,-1.63,0.00,729.50,"3,308.00",724.39,"2,413,196.00",48,7.88,24.00,1.09,3.37,0.38,744.54,720.19,904.00,426.10
AHPC,33.61,273.00,273.00,259.70,268.14,266.80,1.34,0.01,265.05,"241,721.00",267.77,"64,067,635.20",685,0.37,13.30,0.14,5.12,1.15,265.08,263.85,349.00,149.00
AKJCL,30.41,200.00,206.00,200.00,204.27,204.00,0.27,0.00,203.91,"155,166.00",204.02,"31,640,120.80",423,0.25,6.00,0.12,3.00,0.18,206.85,209.34,274.90,150.90
AKPL,29.21,227.10,228.90,224.70,227.04,227.00,0.04,0.00,226.44,"103,783.00",227.93,"23,500,623.60",422,-0.89,4.20,-0.39,1.87,0.26,241.69,241.60,326.00,157.20
ALBSL,28.89,808.00,815.00,804.10,808.35,813.00,-4.65,-0.01,807.12,"2,468.00",810.66,"1,991,979.20",66,-2.31,10.90,-0.28,1.36,0.15,882.16,943.62,"1,177.00",704.10
ALICL,26.78,720.00,730.00,720.00,723.32,723.00,0.32,0.00,723.54,"17,388.00",723.18,"12,580,921.50",109,0.14,10.00,0.02,1.39,-0.03,744.22,736.24,831.00,523.00
ANLB,38.36,"5,270.00","5,457.00","5,260.10","5,416.94","5,400.00",16.94,0.00,"5,315.48","3,661.00","5,357.33","19,459,975.10",49,59.61,196.90,1.11,3.74,1.87,"5,124.04","4,707.42","6,735.00","1,910.00"
API,30.53,278.00,283.00,276.50,281.03,279.60,1.43,0.01,279.80,"189,811.00",280.09,"53,108,825.40",537,0.94,6.50,0.34,2.35,0.44,280.01,283.11,390.00,162.00
AVYAN,29.69,"1,029.00","1,058.00","1,022.00","1,034.01","1,037.00",-2.99,0.00,"1,027.13","3,585.00","1,040.15","3,682,243.80",50,-6.14,36.00,-0.59,3.52,0.67,"1,066.85","1,041.13","1,306.80",676.00
BARUN,42.40,548.10,577.30,548.10,575.95,575.60,0.35,0.00,568.85,"329,367.00",554.87,"187,361,784.10",992,21.08,29.20,3.80,5.33,1.23,458.31,423.92,577.30,211.00
BBC,26.55,"5,899.00","6,000.00","5,776.20","5,840.46","5,946.00",-105.54,-0.02,"5,893.27","1,070.00","5,816.00","6,305,797.50",65,24.46,223.80,0.42,3.87,-0.90,"5,497.55","5,153.21","7,247.00","3,631.00"
BEDC,45.53,750.00,779.90,750.00,765.46,765.00,0.46,0.00,761.49,"17,324.00",760.22,"13,191,973.40",134,5.24,29.90,0.69,3.99,0.52,712.30,632.92,"1,080.00",337.20
BFC,31.86,523.20,523.20,503.00,507.78,509.80,-2.02,0.00,508.90,"33,780.00",513.02,"17,190,746.40",257,-5.24,20.20,-1.02,4.02,-0.22,652.56,630.86,951.60,344.00
BFCPO,28.07,343.00,343.00,336.20,336.20,336.20,0.00,0.00,338.36,"29,220.00",350.00,"9,886,908.80",2,-13.80,6.80,-3.94,2.02,-0.64,0.00,0.00,350.00,336.20
BGWT,38.93,983.00,"1,004.50",983.00,997.92,"1,004.00",-6.08,-0.01,996.07,"6,630.00",991.73,"6,603,922.20",52,6.19,21.50,0.62,2.19,0.19,"1,035.16","1,013.80","1,361.70",579.10
BHDC,37.10,550.10,568.00,545.00,547.13,552.00,-4.87,-0.01,553.45,"5,690.00",557.92,"3,149,102.60",111,-10.79,23.00,-1.93,4.22,-1.15,646.86,640.12,829.70,460.10
BHL,36.09,215.00,220.90,213.60,217.51,218.10,-0.59,0.00,217.21,"642,792.00",216.15,"139,622,024.40","1,921",1.36,7.30,0.63,3.42,0.14,361.22,385.84,520.00,211.70
BHPL,49.25,"1,026.10","1,067.00","1,026.10","1,061.68","1,064.00",-2.32,0.00,"1,048.45","16,158.00","1,046.95","16,940,796.60",63,14.73,40.90,1.41,3.99,1.25,930.32,850.23,"1,275.00",464.10
BNHC,45.12,541.50,541.50,521.60,525.14,523.00,2.14,0.00,526.49,"20,685.00",531.25,"10,890,355.70",143,-6.11,19.90,-1.15,3.82,-0.26,513.69,534.50,742.00,422.00
BNT,29.00,"13,000.00","13,000.00","12,890.00","12,890.05","12,890.00",0.05,0.00,"12,926.94",202.00,"12,960.00","2,611,241.00",18,-69.95,110.00,-0.54,0.85,-0.29,"13,722.43","14,181.16","18,100.00","12,300.00"
BOKD86,45.32,"1,051.10","1,076.00","1,051.00","1,076.00","1,076.00",0.00,0.00,"1,056.39",265.00,"1,070.00","279,942.50",4,6.00,25.00,0.56,2.38,1.82,"1,023.11",993.05,"1,080.00",950.00
