Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
UMHL,-,435.00,442.80,432.00,438.79,437.79,"243,627.00",437.60,439.80,"106,658,265.90",674,1.19,10.80,0.27,2.50,0.23,353.10,333.31,474.00,223.10
UMRH,-,598.00,618.00,586.10,611.33,601.23,"34,229.00",587.62,618.00,"20,579,332.50",253,23.71,31.90,4.03,5.44,1.65,601.24,557.34,790.00,325.00
UNHPL,-,290.00,303.00,290.00,298.41,299.11,"60,416.00",294.36,297.40,"18,070,736.60",225,4.05,13.00,1.38,4.48,-0.23,300.90,291.81,371.00,212.60
UNL,-,"46,001.00","46,001.00","46,001.00","46,001.00","46,001.00",10.00,"46,200.00","46,001.00","460,010.00",1,-199.00,0.00,-0.43,0.00,0.00,"47,403.27","47,662.63","56,805.80","38,400.00"
UNLB,-,"2,229.00","2,239.50","2,151.10","2,200.45","2,189.09","1,244.00","2,201.44","2,205.00","2,723,228.00",42,-0.99,88.40,-0.04,4.11,0.52,"2,582.09","2,481.48","3,223.00","1,490.00"
UPCL,-,283.60,286.40,278.00,282.46,282.42,"117,263.00",278.13,284.00,"33,116,862.30",369,4.33,8.40,1.56,3.02,0.02,283.69,271.30,345.00,183.00
UPPER,-,198.17,200.90,197.10,200.15,199.31,"120,059.00",198.17,200.00,"23,929,412.90",603,1.98,3.80,1.00,1.93,0.42,209.73,207.32,295.00,152.10
USHEC,-,570.00,600.00,570.00,597.64,589.58,"7,390.00",579.84,598.90,"4,357,031.00",107,17.80,30.00,3.07,5.26,1.35,607.53,576.78,752.00,348.00
USHL,-,735.00,754.10,728.10,730.43,732.68,"1,403.00",725.02,730.00,"1,027,954.40",35,5.41,26.00,0.75,3.57,-0.31,801.74,738.72,961.00,450.00
USLB,-,"1,650.00","1,689.90","1,638.50","1,669.38","1,660.78",966.00,"1,622.68","1,670.00","1,604,313.60",26,46.70,51.40,2.88,3.14,0.52,"1,607.42","1,644.80","2,363.30","1,320.00"
VLBS,-,807.00,845.00,807.00,840.72,831.80,"1,583.00",821.29,843.00,"1,316,744.90",34,19.43,38.00,2.37,4.71,1.06,886.84,929.24,"1,174.00",653.70
VLUCL,-,660.00,673.00,647.30,660.20,658.23,"10,773.00",651.02,673.00,"7,091,082.40",124,9.18,25.70,1.41,3.97,0.30,677.74,653.47,816.00,445.10
WNLB,-,"2,845.00","2,920.00","2,751.00","2,906.55","2,821.50","1,280.00","2,902.68","2,920.00","3,611,525.70",66,3.87,169.00,0.13,6.14,2.93,"2,823.13","2,421.47","4,271.00","1,050.60"
