Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
GSY,-,8.97,9.10,8.96,9.01,9.01,"4,300.00",9.11,9.00,"38,735.00",30,-0.10,0.14,-1.10,1.56,0.02,0.00,0.00,10.00,8.80
GUFL,-,576.10,590.00,575.00,579.40,580.58,"10,934.00",575.66,580.00,"6,348,076.70",120,3.74,15.00,0.65,2.61,-0.20,685.62,720.14,"1,041.00",548.00
GVL,-,462.00,467.00,457.00,462.23,462.69,"13,552.00",453.57,463.90,"6,270,406.90",102,8.66,10.00,1.91,2.19,-0.10,544.77,560.88,699.90,402.40
GWFD83,-,"1,181.90","1,181.90","1,181.90","1,184.10","1,184.10",3.00,"1,181.90","1,181.90","3,552.30",1,2.20,0.00,0.19,0.00,0.00,"1,225.78","1,181.11","1,330.00","1,140.00"
H8020,-,10.00,10.21,10.00,10.21,10.18,"2,050.00",10.17,10.21,"20,862.00",6,0.04,0.21,0.39,2.10,0.33,10.08,9.92,10.83,8.36
HATHY,-,"1,199.15","1,279.90","1,195.00","1,252.71","1,232.05","28,107.00","1,199.15","1,250.00","34,629,187.80",366,53.56,84.90,4.47,7.10,1.65,"1,404.26","1,357.09","1,816.00",808.50
HBL,-,226.50,234.50,226.50,232.82,230.87,"39,852.00",230.25,234.50,"9,200,554.90",180,2.57,8.00,1.12,3.53,0.84,244.30,240.29,312.10,167.10
HDHPC,-,193.00,200.10,193.00,197.11,196.91,"103,478.00",194.63,196.80,"20,375,783.10",399,2.48,7.10,1.27,3.68,0.10,205.56,196.83,273.00,123.30
HDL,-,"1,188.00","1,211.00","1,187.00","1,199.05","1,197.46","38,439.00","1,188.43","1,199.00","46,029,196.60",620,10.62,24.00,0.89,2.02,0.13,"1,277.57","1,320.45","1,749.00","1,136.00"
HEI,-,591.00,602.00,585.20,600.00,594.52,"11,614.00",590.04,600.00,"6,904,749.80",90,9.96,16.80,1.69,2.87,0.91,649.54,658.98,810.00,553.30
HEIP,-,398.50,398.50,365.90,373.65,368.94,"50,859.00",406.55,369.90,"18,764,029.50",147,-32.90,32.60,-8.09,8.91,1.26,428.85,411.36,563.00,327.00
HHL,-,478.00,500.00,459.20,496.72,489.43,"13,075.00",477.28,498.00,"6,399,353.60",162,19.44,40.80,4.07,8.89,1.47,516.69,481.40,635.00,330.50
HIDCL,-,252.30,265.00,252.30,263.45,261.60,"170,794.00",257.36,263.50,"44,680,541.60",488,6.09,12.70,2.37,5.03,0.70,262.26,250.71,360.00,158.10
HIDCLP,-,170.90,175.00,169.00,174.12,172.81,"134,175.00",169.06,175.00,"23,186,389.60",260,5.06,6.00,2.99,3.55,0.75,173.14,158.61,212.00,97.20
HLBSL,-,960.00,960.00,941.00,950.35,954.24,"2,382.00",941.99,950.10,"2,273,003.40",33,8.36,19.00,0.89,2.02,-0.41,984.88,"1,054.88","1,447.00",676.00
HLI,-,412.10,427.00,412.10,424.19,419.80,"35,644.00",411.49,426.50,"14,963,324.20",320,12.70,14.90,3.09,3.62,1.04,460.28,456.20,607.00,364.10
HPPL,-,580.00,592.50,570.00,586.58,583.24,"40,801.00",569.47,588.00,"23,796,578.30",148,17.11,22.50,3.00,3.95,0.57,450.49,413.60,665.00,244.00
HRL,-,936.00,989.00,936.00,978.47,968.54,"432,277.00",939.44,979.00,"418,678,148.70","2,973",39.03,53.00,4.15,5.66,1.01,870.59,821.46,"1,156.00",512.00
HURJA,-,232.00,235.00,227.50,232.75,232.05,"59,757.00",227.47,234.00,"13,866,906.30",240,5.28,7.50,2.32,3.30,0.30,236.06,239.09,333.90,183.60
ICFC,-,603.90,603.90,587.00,598.71,596.31,"16,692.00",594.96,600.00,"9,953,550.10",157,3.75,16.90,0.63,2.88,0.40,696.88,693.25,910.00,488.00
ICFCD83,-,"1,206.60","1,206.60","1,200.00","1,200.00","1,203.30",20.00,"1,183.00","1,200.00","24,066.00",2,17.00,6.60,1.44,0.55,-0.28,"1,233.18","1,187.76","1,325.00","1,160.00"
ICFCD88,-,"1,054.00","1,070.00","1,052.00","1,068.18","1,062.49",250.00,"1,056.60","1,070.00","265,622.50",10,11.58,18.00,1.10,1.71,0.53,0.00,0.00,"1,100.00","1,000.00"
IGI,-,555.10,572.90,551.00,568.89,564.01,"24,606.00",559.57,569.00,"13,877,917.61",184,9.32,21.90,1.67,3.97,0.86,603.99,604.09,760.00,508.00
IHL,-,664.00,667.30,642.00,666.93,655.74,"4,505.00",654.32,667.30,"2,954,127.30",88,12.61,25.30,1.93,3.94,1.68,650.82,604.91,838.00,347.00
ILBS,-,920.00,933.00,908.00,914.26,917.61,"3,230.00",915.06,908.00,"2,963,871.70",70,-0.80,25.00,-0.09,2.75,-0.37,997.84,"1,056.29","1,492.00",865.20
ILI,-,459.40,459.40,447.10,456.79,452.79,"19,956.00",450.45,457.10,"9,035,977.00",409,6.34,12.30,1.41,2.75,0.87,487.35,489.04,606.00,412.50
JBBD87,-,"1,055.00","1,055.00","1,055.00","1,055.15","1,055.15",30.00,"1,055.90","1,055.00","31,654.50",2,-0.75,0.00,-0.07,0.00,0.00,"1,027.39",989.39,"1,105.00",925.00
JBBL,-,333.00,341.00,330.00,339.13,336.56,"36,669.00",332.06,340.00,"12,341,495.50",215,7.07,11.00,2.13,3.33,0.76,362.11,356.76,445.00,275.00
JBLB,-,"1,334.00","1,339.00","1,315.00","1,331.45","1,326.39","2,761.00","1,312.92","1,334.00","3,662,150.10",91,18.53,24.00,1.41,1.83,0.38,"1,479.98","1,508.18","1,920.00","1,270.00"
JFL,-,505.00,513.50,501.00,508.31,507.72,"28,172.00",496.86,508.00,"14,303,559.70",200,11.45,12.50,2.30,2.50,0.12,687.65,687.49,"1,083.30",378.10
JOSHI,-,351.40,357.00,342.20,350.77,351.07,"33,137.00",344.54,351.00,"11,633,555.90",248,6.23,14.80,1.81,4.32,-0.09,380.80,361.52,521.60,265.00
JSLBB,-,"1,449.10","1,455.90","1,425.00","1,454.87","1,437.35",886.00,"1,427.39","1,455.90","1,273,491.00",17,27.48,30.90,1.93,2.17,1.20,"1,603.00","1,557.38","1,860.40",973.00
KBL,-,200.00,204.10,200.00,203.10,202.38,"173,395.00",200.01,203.90,"35,091,276.40",442,3.09,4.10,1.54,2.05,0.36,215.35,206.64,272.90,129.60
KBLD90,-,"1,115.40","1,115.40","1,115.40","1,116.10","1,116.10",1.00,"1,115.40","1,115.40","1,116.10",1,0.70,0.00,0.06,0.00,0.00,0.00,0.00,"1,300.00","1,000.00"
KBSH,-,"2,361.00","2,447.00","2,361.00","2,390.55","2,398.46","1,465.00","2,408.40","2,417.00","3,513,741.40",59,-17.85,86.00,-0.74,3.64,-0.33,"2,480.17","2,248.82","3,300.00",990.00
KDBY,-,8.78,9.15,8.78,9.09,9.02,"7,150.00",8.89,9.00,"64,485.50",21,0.20,0.37,2.25,4.21,0.78,9.37,9.53,11.00,8.26
KDL,-,"1,100.00","1,111.00","1,080.00","1,095.66","1,099.99","2,625.00","1,079.52","1,092.60","2,887,472.00",66,16.14,31.00,1.50,2.87,-0.40,"1,124.76","1,153.90","1,381.00",752.10
KEF,-,8.90,8.90,8.73,8.89,8.83,"2,200.00",8.81,8.89,"19,430.00",13,0.08,0.17,0.91,1.95,0.65,8.96,9.09,10.76,7.85
KKHC,-,332.10,335.00,325.70,333.52,331.19,"15,282.00",325.66,334.30,"5,061,203.10",92,7.86,9.30,2.41,2.86,0.70,341.13,315.47,475.00,209.00
KMCDB,-,"1,033.90","1,075.60","1,018.00","1,048.25","1,041.21","2,447.00","1,017.08","1,050.00","2,547,834.80",59,31.17,57.60,3.06,5.66,0.67,"1,093.19","1,102.47","1,285.00",720.10
KPCL,-,519.80,522.00,507.70,519.00,516.36,"9,053.00",511.66,519.20,"4,674,571.20",69,7.34,14.30,1.43,2.82,0.51,534.92,523.89,652.40,380.20
KSBBL,-,447.00,447.00,432.30,437.24,436.39,"14,713.00",438.31,438.00,"6,420,648.30",127,-1.07,14.70,-0.24,3.40,0.19,454.68,455.39,564.80,341.00
KSY,-,8.78,8.80,8.77,8.77,8.78,500.00,8.94,8.77,"4,390.00",5,-0.17,0.03,-1.90,0.34,-0.11,9.02,8.96,10.91,7.77
LBBL,-,420.80,421.00,410.00,417.68,415.93,"19,098.00",412.56,418.00,"7,943,526.20",114,5.12,11.00,1.24,2.68,0.42,474.65,468.49,560.00,361.00
LBBLD89,-,"1,150.10","1,150.10","1,150.10","1,150.10","1,150.10",25.00,"1,172.00","1,150.10","28,752.50",1,-21.90,0.00,-1.87,0.00,0.00,0.00,0.00,"1,270.00","1,000.00"
LEC,-,208.00,210.00,205.30,208.34,208.18,"71,355.00",205.31,208.90,"14,854,393.00",253,3.03,4.70,1.48,2.29,0.08,228.50,230.24,344.00,175.10
LICN,-,985.00,"1,020.00",985.00,"1,013.31","1,006.87","33,732.00",984.13,"1,014.90","33,963,829.90",370,29.18,35.00,2.97,3.55,0.64,"1,363.97","1,489.69","2,475.00",975.00
LLBS,-,"1,042.00","1,042.00","1,020.50","1,028.07","1,026.09","2,777.00","1,022.26","1,035.00","2,849,445.50",32,5.81,21.50,0.57,2.11,0.19,"1,125.19","1,158.47","1,428.00",816.00
LSL,-,218.00,219.00,213.70,216.80,216.48,"98,613.00",215.95,217.00,"21,347,460.60",206,0.85,5.30,0.39,2.48,0.15,234.20,226.22,300.00,143.60
