Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,56.33,"1,482.90","1,510.00","1,414.00","1,431.00","1,442.42","1,321.00","1,453.90","1,905,442.00",37,-22.90,96.00,-1.58,6.79,-0.80,"1,562.50","1,573.06","1,938.00",752.00
ADBL,43.20,503.10,511.00,503.10,508.20,507.70,"19,692.00",512.90,"9,997,711.70",197,-4.70,7.90,-0.92,1.57,0.10,515.01,487.65,620.00,398.00
AHPC,51.32,495.00,508.00,487.00,487.00,495.42,"127,493.00",498.00,"63,163,045.40",807,-11.00,21.00,-2.21,4.31,-1.73,521.53,446.55,785.00,194.00
AIL,56.52,748.30,750.00,736.10,740.00,744.36,"3,570.00",763.50,"2,657,380.00",126,-23.50,13.90,-3.08,1.89,-0.59,807.43,803.26,"1,125.00",519.00
AKJCL,58.75,340.10,357.00,334.00,339.90,342.58,"171,715.00",347.00,"58,826,879.50",923,-7.10,23.00,-2.05,6.89,-0.79,328.07,270.57,502.00,110.00
AKPL,54.14,630.00,647.70,615.00,616.00,623.98,"164,322.00",630.00,"102,533,000.70","1,049",-14.00,32.70,-2.22,5.32,-1.29,538.38,470.15,882.40,240.00
ALBSL,54.37,"1,460.00","1,495.00","1,452.00","1,460.00","1,466.34",593.00,"1,480.00","869,536.90",34,-20.00,43.00,-1.35,2.96,-0.43,"1,775.56","1,715.49","2,101.20",830.00
ALICL,49.65,"1,335.00","1,335.00","1,285.00","1,285.00","1,296.48","35,208.00","1,309.00","45,646,576.20",388,-24.00,50.00,-1.83,3.89,-0.89,"1,342.19","1,320.44","1,565.00",770.00
API,48.46,501.00,516.00,500.00,503.40,507.99,"217,470.00",510.00,"110,472,973.70","1,389",-6.60,16.00,-1.29,3.20,-0.91,458.06,412.98,670.00,219.00
BARUN,59.08,520.00,550.20,505.60,508.00,520.73,"37,607.00",518.50,"19,583,128.80",351,-10.50,44.60,-2.03,8.82,-2.51,532.53,437.09,763.40,167.00
BBC,58.12,"5,450.00","5,559.00","5,390.00","5,390.00","5,474.90",220.00,"5,557.00","1,204,478.50",17,-167.00,169.00,-3.01,3.14,-1.58,"6,037.79","5,236.19","8,208.00","2,400.00"
BFC,51.58,541.00,556.00,530.20,538.00,544.78,"31,487.00",552.00,"17,153,368.40",281,-14.00,25.80,-2.54,4.87,-1.26,452.71,359.00,630.00,122.00
BNT,55.22,"13,050.00","13,459.90","12,741.00","13,150.00","13,077.48",771.00,"13,001.00","10,082,739.90",48,149.00,718.90,1.15,5.64,0.55,"10,604.30","10,121.09","14,308.20","7,832.00"
BOKL,59.08,341.00,342.00,334.00,334.10,336.93,"34,388.00",340.00,"11,586,264.50",244,-5.90,8.00,-1.74,2.40,-0.85,367.97,347.97,433.20,236.00
BPCL,52.30,510.00,527.00,510.00,510.00,515.21,"21,435.00",520.00,"11,043,553.40",263,-10.00,17.00,-1.92,3.33,-1.02,533.63,491.98,703.00,380.00
CBBL,64.79,"1,790.10","1,850.00","1,720.00","1,761.00","1,771.78","97,600.00","1,755.00","172,925,777.10","1,463",6.00,130.00,0.34,7.56,-0.61,"1,774.23","1,742.63","2,065.20","1,133.00"
CBL,57.62,253.00,253.00,248.00,250.00,249.43,"59,823.00",252.70,"14,921,533.40",257,-2.70,5.00,-1.07,2.02,0.23,272.27,259.33,316.00,165.00
