Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,35.99,861.70,870.00,845.10,847.20,852.75,264.00,844.90,"225,125.00",10,2.30,24.90,0.27,2.95,-0.65,"1,181.11","1,260.96","1,870.00",806.60
ADBL,37.51,327.00,327.00,319.50,319.90,321.37,"7,331.00",321.00,"2,355,935.60",117,-1.10,7.50,-0.34,2.35,-0.46,393.90,429.87,620.00,319.20
AHPC,32.80,387.00,387.00,374.10,374.30,377.62,"28,065.00",381.00,"10,597,824.30",208,-6.70,12.90,-1.76,3.45,-0.89,463.46,470.76,785.00,349.20
AIL,32.30,460.00,461.00,455.00,455.00,456.73,220.00,460.00,"100,480.00",14,-5.00,6.00,-1.09,1.32,-0.38,652.23,674.87,900.00,454.00
AKBSL,36.85,553.30,596.70,553.30,596.70,578.92,60.00,542.50,"34,735.00",6,54.20,43.40,9.99,7.84,2.98,-,-,"1,250.00",391.50
AKJCL,32.90,204.00,206.00,200.00,200.20,202.07,"6,196.00",203.00,"1,252,051.50",57,-2.80,6.00,-1.38,3.00,-0.94,273.80,292.50,502.00,200.00
AKPL,33.55,442.00,442.00,430.00,431.90,433.91,"17,059.00",437.00,"7,402,059.70",101,-5.10,12.00,-1.17,2.79,-0.47,493.11,514.00,882.40,377.30
ALBSL,31.56,"1,259.40","1,281.00","1,211.00","1,255.00","1,248.04",100.00,"1,234.80","124,803.60",7,20.20,70.00,1.64,5.78,0.55,"1,416.38","1,460.67","2,101.20","1,176.00"
ALICL,34.90,550.00,550.00,539.90,542.80,542.08,"5,126.00",540.00,"2,778,698.50",48,2.80,10.10,0.52,1.87,0.13,885.71,993.47,"1,513.00",525.20
API,34.12,263.00,264.00,255.00,256.10,257.39,"18,773.00",260.00,"4,832,010.60",149,-3.90,9.00,-1.50,3.53,-0.50,409.50,428.86,670.00,252.00
BARUN,40.49,438.20,445.00,437.00,437.10,440.15,"3,132.00",446.00,"1,378,552.80",44,-8.90,8.00,-2.00,1.83,-0.70,479.64,478.63,763.40,345.60
BBC,37.47,"3,495.00","3,495.00","3,440.00","3,440.00","3,464.17",60.00,"3,500.00","207,850.00",4,-60.00,55.00,-1.71,1.60,-0.70,"4,411.81","4,695.72","8,124.30","3,365.00"
BFC,30.60,360.00,360.00,350.90,352.00,354.61,"4,063.00",358.00,"1,440,775.00",42,-6.00,9.10,-1.68,2.59,-0.74,442.74,457.62,630.00,310.00
BHL,32.55,265.00,275.00,245.10,265.00,252.75,"8,537.00",259.90,"2,157,757.30",385,5.10,29.90,1.96,12.20,4.62,-,-,328.10,104.70
BNHC,30.65,382.10,383.00,370.00,370.00,373.32,"1,745.00",388.00,"651,449.50",40,-18.00,13.00,-4.64,3.51,-0.90,-,-,744.00,246.70
BPCL,32.25,318.00,325.30,318.00,318.10,320.85,"2,338.00",319.00,"750,147.40",50,-0.90,7.30,-0.28,2.30,-0.86,403.71,435.82,703.00,313.00
CBBL,31.78,975.00,990.00,969.00,969.00,974.58,"5,545.00",975.00,"5,404,024.50",141,-6.00,21.00,-0.62,2.17,-0.58,"1,199.98","1,361.42","2,065.20",960.00
CBL,50.99,213.10,213.10,207.00,207.90,208.53,"32,057.00",209.00,"6,684,977.20",158,-1.10,6.10,-0.53,2.95,-0.30,232.28,238.15,316.00,196.10
CCBL,34.79,195.00,197.00,193.00,193.00,195.69,"331,103.00",193.70,"64,794,108.80",217,-0.70,4.00,-0.36,2.07,-1.39,227.19,230.92,324.00,189.00
CFCL,33.96,278.00,282.70,270.00,270.00,275.07,"2,686.00",273.00,"738,831.20",40,-3.00,12.70,-1.10,4.70,-1.88,402.34,448.79,814.90,260.10
CGH,36.95,"1,000.10","1,030.00","1,000.10","1,005.00","1,016.62","1,627.00","1,005.00","1,654,042.10",21,0.00,29.90,0.00,2.99,-1.16,"1,318.67","1,354.68","1,790.00",997.60
CHCL,34.59,380.00,385.00,375.00,379.10,380.60,"3,763.00",380.00,"1,432,185.30",51,-0.90,10.00,-0.24,2.67,-0.39,475.57,510.04,760.00,372.00
CHDC,32.99,703.80,703.80,677.20,700.00,685.97,"1,275.00",690.00,"874,607.00",30,10.00,26.60,1.45,3.93,2.00,842.61,855.36,"1,415.00",560.00
CHL,33.60,267.90,278.00,267.20,268.00,271.03,"5,579.00",273.00,"1,512,060.80",59,-5.00,10.80,-1.83,4.04,-1.13,408.24,440.87,715.00,266.30
CIT,35.36,"2,349.00","2,358.00","2,295.00","2,296.00","2,308.23","4,699.00","2,318.90","10,846,375.80",106,-22.90,63.00,-0.99,2.75,-0.53,"3,007.32","3,107.27","4,560.00","2,285.00"
CLBSL,31.72,750.00,750.00,730.10,745.00,735.84,"1,230.00",745.00,"905,080.30",21,0.00,19.90,0.00,2.73,1.23,942.47,"1,031.99","1,811.00",730.00
CMF1,31.64,8.45,8.45,8.45,8.45,8.45,100.00,8.61,845.00,1,-0.16,0.00,-1.86,0.00,0.00,9.52,9.73,16.01,8.45
CORBL,33.70,287.00,287.00,280.00,280.00,281.01,"2,428.00",287.00,"682,282.60",19,-7.00,7.00,-2.44,2.50,-0.36,545.86,650.48,"1,155.00",275.00
CYCL,49.60,428.80,437.30,428.80,437.30,433.05,20.00,420.40,"8,661.00",2,16.90,8.50,4.02,1.98,0.97,-,-,437.30,382.20
CZBIL,36.48,219.00,220.00,213.70,214.50,214.99,"79,643.00",217.70,"17,122,116.40",154,-3.20,6.30,-1.47,2.95,-0.23,266.01,284.67,444.00,213.70
CZBILP,49.38,147.00,147.00,147.00,147.00,147.00,"30,000.00",150.00,"4,410,000.00",1,-3.00,0.00,-2.00,0.00,0.00,-,-,208.00,143.00
DDBL,30.71,960.00,965.00,944.00,950.00,949.11,"2,066.00",958.00,"1,960,859.00",43,-8.00,21.00,-0.84,2.22,0.09,"1,136.44","1,200.38","2,000.00",943.00
DHPL,37.32,219.20,219.20,210.00,214.00,211.37,"2,277.00",215.00,"481,291.00",18,-1.00,9.20,-0.47,4.38,1.23,280.37,294.72,485.20,208.00
EBL,35.87,453.00,460.00,443.00,445.00,446.95,"3,827.00",445.00,"1,710,465.80",57,0.00,17.00,0.00,3.84,-0.44,534.50,575.57,805.00,438.20
EDBL,32.69,359.90,360.00,349.00,354.00,352.58,480.00,353.00,"169,239.00",14,1.00,11.00,0.28,3.15,0.40,464.16,522.23,"1,195.00",341.00
ENL,26.62,645.00,659.90,641.90,641.90,649.14,125.00,655.00,"81,143.00",10,-13.10,18.00,-2.00,2.80,-1.13,-,-,"1,481.90",287.10
FMDBL,35.85,635.00,635.00,611.00,615.00,616.79,"3,613.00",623.00,"2,228,452.50",39,-8.00,24.00,-1.28,3.93,-0.29,766.70,812.77,"1,365.00",607.10
FOWAD,25.92,"2,321.00","2,338.00","2,317.00","2,325.00","2,327.28","1,396.00","2,307.00","3,248,879.50",35,18.00,21.00,0.78,0.91,-0.10,"2,302.70","2,455.52","3,311.00","2,000.00"
GBBL,35.11,364.00,367.00,362.50,363.80,363.58,"8,072.00",365.00,"2,934,808.90",50,-1.20,4.50,-0.33,1.24,0.06,487.77,517.63,750.00,355.50
GBLBS,32.20,710.00,710.00,700.00,705.00,702.43,478.00,710.00,"335,760.80",9,-5.00,10.00,-0.70,1.43,0.36,898.02,930.69,"1,437.00",696.00
GFCL,37.46,400.00,400.80,393.00,396.00,396.80,573.00,400.00,"227,364.00",13,-4.00,7.80,-1.00,1.98,-0.20,564.73,619.02,"1,010.00",393.00
GHL,33.01,206.90,206.90,202.00,204.00,203.44,"19,700.00",203.00,"4,007,830.50",48,1.00,4.90,0.49,2.43,0.27,294.17,318.23,555.90,198.10
GIC,34.48,408.00,415.00,400.00,402.00,404.53,651.00,408.00,"263,348.00",16,-6.00,15.00,-1.47,3.75,-0.63,564.09,575.11,809.00,387.20
GILB,31.55,"1,200.00","1,200.10","1,196.00","1,200.00","1,198.80",259.00,"1,190.00","310,488.00",12,10.00,4.10,0.84,0.34,0.10,"1,526.18","1,705.84","3,050.00","1,190.00"
GIMES1,31.05,10.15,10.20,10.00,10.00,10.09,"25,565.00",10.05,"257,912.75",16,-0.05,0.20,-0.50,2.00,-0.89,11.29,14.17,25.09,9.90
GLBSL,46.75,"1,012.00","1,049.00","1,012.00","1,049.00","1,024.33",30.00,"1,030.00","30,730.00",2,19.00,37.00,1.84,3.66,2.35,"1,237.57","1,306.71","2,210.00",935.00
GLH,33.46,340.00,350.00,334.00,350.00,343.50,"2,120.00",346.00,"728,222.00",35,4.00,16.00,1.16,4.79,1.86,428.78,436.41,657.00,333.00
GMFBS,37.01,966.00,966.00,912.00,912.00,925.95,192.00,948.90,"177,782.30",9,-36.90,54.00,-3.89,5.92,-1.53,"1,180.47","1,285.74","1,972.00",900.00
GMFIL,38.68,270.00,270.00,260.50,263.00,266.03,"8,287.00",265.90,"2,204,623.00",24,-2.90,9.50,-1.09,3.65,-1.15,394.26,436.10,773.00,250.00
GRDBL,35.31,226.00,226.00,220.00,220.00,221.56,495.00,224.00,"109,670.00",7,-4.00,6.00,-1.79,2.73,-0.71,318.24,342.55,537.90,212.10
GUFL,38.84,384.00,391.50,380.00,380.00,384.92,"4,159.00",384.00,"1,600,870.10",56,-4.00,11.50,-1.04,3.03,-1.29,620.86,709.71,"1,500.00",365.00
GVL,44.86,300.00,308.90,292.10,300.50,303.07,"11,414.00",302.00,"3,459,292.10",295,-1.50,16.80,-0.50,5.75,-0.86,-,-,436.40,256.00
HBL,37.33,300.00,304.00,298.00,300.00,299.45,"5,355.00",300.00,"1,603,538.30",42,0.00,6.00,0.00,2.01,0.18,529.40,547.77,505.00,290.80
HDHPC,33.05,209.10,213.20,200.00,203.00,201.93,"22,585.00",205.00,"4,560,488.50",94,-2.00,13.20,-0.98,6.60,0.53,287.25,304.65,478.90,199.00
HDL,33.78,"3,080.00","3,095.00","3,030.00","3,057.00","3,053.63","4,653.00","3,050.00","14,208,531.90",180,7.00,65.00,0.23,2.15,0.11,"4,113.02","4,953.27","7,938.00","3,000.00"
HIDCL,36.40,205.00,206.00,200.50,202.00,203.22,"35,993.00",202.00,"7,314,331.90",231,0.00,5.50,0.00,2.74,-0.60,277.07,295.43,575.00,198.00
HPPL,28.50,339.00,339.00,325.00,326.00,329.86,923.00,333.00,"304,459.80",20,-7.00,14.00,-2.10,4.31,-1.18,435.41,449.09,749.10,309.90
HURJA,31.64,238.00,239.00,233.00,235.00,236.13,950.00,236.90,"224,323.00",12,-1.90,6.00,-0.80,2.58,-0.48,407.00,419.02,685.40,233.00
ICFC,32.46,411.10,426.00,411.10,415.00,415.00,"3,958.00",418.00,"1,642,576.90",47,-3.00,14.90,-0.72,3.62,0.00,588.25,653.70,"1,176.80",408.00
ICFCPO,37.76,228.00,228.00,228.00,228.00,228.00,"22,764.00",228.00,"5,190,192.00",2,0.00,0.00,0.00,0.00,0.00,-,-,366.00,228.00
IGI,35.90,385.00,390.00,378.00,388.00,381.26,"10,492.00",380.00,"4,000,140.40",59,8.00,12.00,2.11,3.17,1.74,746.34,837.23,"1,365.00",376.00
ILBS,31.05,895.00,899.00,891.00,899.00,893.39,199.00,885.00,"177,785.00",10,14.00,8.00,1.58,0.90,0.62,"1,222.58","1,374.08","2,140.00",868.00
JALPA,23.92,"2,163.00","2,200.00","2,155.30","2,165.00","2,168.87","1,087.00","2,163.00","2,357,565.00",63,2.00,44.70,0.09,2.07,-0.18,-,-,"2,693.40",318.60
JBBL,37.24,291.00,300.00,291.00,292.00,293.40,"14,987.00",295.00,"4,397,188.10",98,-3.00,9.00,-1.02,3.09,-0.48,392.10,431.14,649.90,288.00
JBLB,33.12,"2,849.00","2,849.00","2,800.00","2,800.00","2,804.90",719.00,"2,795.00","2,016,724.00",45,5.00,49.00,0.18,1.75,-0.18,"3,884.09","4,037.77","5,516.90",890.00
JFL,32.78,364.10,371.30,350.00,350.00,354.68,"2,949.00",357.00,"1,045,958.30",39,-7.00,21.30,-1.96,6.09,-1.34,505.97,548.89,836.00,348.00
JLI,38.12,371.00,374.90,368.00,371.00,369.30,"3,653.00",371.00,"1,349,059.30",44,0.00,6.90,0.00,1.88,0.46,572.75,578.04,826.20,358.00
JOSHI,32.90,204.00,206.00,202.00,205.00,202.85,"2,643.00",202.00,"536,124.40",33,3.00,4.00,1.49,1.98,1.05,281.71,304.67,507.00,198.00
JSLBB,36.41,"1,788.50","1,822.00","1,752.80","1,822.00","1,762.36",370.00,"1,825.00","652,072.00",9,-3.00,69.20,-0.16,3.95,3.27,"2,260.58","2,541.53","4,022.80","1,745.10"
KBL,32.98,205.00,205.50,200.00,203.00,203.01,"141,027.00",203.90,"28,629,249.00",266,-0.90,5.50,-0.44,2.75,0.00,236.26,251.01,413.00,196.00
KBLPO,35.14,128.00,128.00,128.00,128.00,128.00,"46,001.00",127.50,"5,888,128.00",42,0.50,0.00,0.39,0.00,0.00,131.89,-,174.53,118.00
KEF,31.66,8.36,8.44,8.36,8.44,8.43,"2,200.00",8.49,"18,545.00",5,-0.05,0.08,-0.59,0.96,0.12,9.13,9.25,11.65,8.36
KKHC,37.39,215.20,215.20,205.70,211.00,206.85,"2,155.00",211.00,"445,768.30",30,0.00,9.50,0.00,4.62,1.97,280.60,299.87,556.20,201.00
KLBSL,32.35,875.00,875.00,875.00,875.00,875.00,10.00,875.00,"8,750.00",1,0.00,0.00,0.00,0.00,0.00,"1,379.78","1,385.15","1,818.00",853.00
KMCDB,43.17,"1,086.00","1,120.00","1,047.10","1,120.00","1,089.33",522.00,"1,108.00","568,632.80",13,12.00,72.90,1.08,6.96,2.74,"1,240.07","1,247.06","1,715.00","1,005.00"
KPCL,37.27,389.00,394.00,374.40,387.80,381.12,720.00,382.00,"274,403.00",13,5.80,19.60,1.52,5.24,1.72,478.86,513.84,878.90,372.00
