Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,610.00,634.00,610.00,622.00,624.83,"3,566.00",605.50,"2,228,146.00",72,16.50,24.00,2.73,3.93,-0.46,661.84,685.58,977.10,530.00
ADBL,-,233.00,236.00,231.30,233.00,233.76,"28,078.00",231.00,"6,563,418.40",244,2.00,4.70,0.87,2.03,-0.32,271.51,286.40,355.80,224.00
ADBLD83,-,989.00,989.00,989.00,989.00,989.00,25.00,989.00,"24,725.00",1,0.00,0.00,0.00,0.00,0.00,976.53,"1,002.42","1,066.00",865.10
ADLB,-,"1,119.00","1,208.90","1,119.00","1,198.80","1,184.17","1,156.00","1,115.00","1,368,895.20",55,83.80,89.90,7.52,8.03,1.22,"1,211.67",0.00,"2,705.00",256.80
AHL,-,360.00,379.00,358.00,366.00,368.06,"14,791.00",360.00,"5,443,973.60",293,6.00,21.00,1.67,5.87,-0.56,0.00,0.00,480.90,298.80
AHPC,-,304.90,308.90,299.00,302.50,303.75,"166,201.00",299.00,"50,483,476.20",599,3.50,9.90,1.17,3.31,-0.41,297.44,294.66,408.00,250.00
AKJCL,-,220.10,223.90,216.00,218.00,220.85,"88,663.00",219.90,"19,581,031.80",395,-1.90,7.90,-0.86,3.66,-1.31,217.43,205.51,262.00,159.80
AKPL,-,376.50,384.90,370.00,373.00,379.20,"73,388.00",375.00,"27,828,895.70",360,-2.00,14.90,-0.53,4.03,-1.66,386.90,387.16,519.00,325.00
ALBSL,-,755.00,783.90,744.20,756.00,751.00,"1,991.00",742.90,"1,495,247.40",45,13.10,39.70,1.76,5.33,0.66,825.46,880.00,"1,392.00",649.00
ALICL,-,650.00,668.00,640.00,650.00,654.69,"51,689.00",650.00,"33,840,478.00",316,0.00,28.00,0.00,4.38,-0.72,613.42,572.61,758.00,428.00
ANLB,-,"2,040.00","2,130.00","2,040.00","2,060.00","2,091.78","5,476.00","2,047.00","11,454,602.70",223,13.00,90.00,0.64,4.41,-1.54,0.00,0.00,"2,130.00",403.80
API,-,256.00,265.20,252.00,257.90,260.47,"322,799.00",253.50,"84,077,972.20","1,191",4.40,13.20,1.74,5.24,-0.99,250.90,240.62,315.00,200.00
AVYAN,-,691.00,746.00,659.60,696.00,684.90,"9,664.00",683.00,"6,618,898.50",221,13.00,86.40,1.90,13.10,1.59,655.46,0.00,963.00,316.00
BARUN,-,280.90,281.00,264.70,271.00,274.54,"45,214.00",276.00,"12,412,919.00",240,-5.00,16.30,-1.81,6.16,-1.31,250.20,240.94,500.00,190.30
BBC,-,"3,664.00","3,666.90","3,506.00","3,550.00","3,601.76",926.00,"3,595.00","3,335,228.00",42,-45.00,160.90,-1.25,4.59,-1.46,"3,271.30","3,295.81","4,300.00","3,050.00"
BEDC,-,302.60,326.30,279.30,319.00,315.37,"35,632.00",296.70,"11,237,285.00","2,742",22.30,47.00,7.52,16.83,1.14,0.00,0.00,326.30,202.80
BFC,-,324.00,327.30,315.00,319.00,322.38,"18,340.00",321.00,"5,912,396.00",106,-2.00,12.30,-0.62,3.90,-1.06,324.50,327.51,475.00,287.00
BHDC,-,406.70,415.00,401.00,415.00,408.18,"7,312.00",415.00,"2,984,613.30",161,0.00,14.00,0.00,3.49,1.64,405.49,392.26,520.00,310.00
BHL,-,307.00,317.20,300.00,308.90,302.82,"16,710.00",305.00,"5,060,174.50",217,3.90,17.20,1.28,5.73,1.97,309.95,294.66,397.00,201.20
