Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,000.00","1,000.00",981.20,985.00,985.00,0.00,0.00,985.18,"1,117.00","1,000.00","1,100,443.40",39,-15.00,18.80,-1.50,1.92,-0.02,992.37,"1,022.27","1,240.00",900.00
ADBL,-,310.70,319.00,310.70,313.10,313.10,0.00,0.00,313.91,"46,720.00",317.00,"14,665,725.30",247,-3.90,8.30,-1.23,2.67,-0.26,308.02,307.62,344.90,272.30
AHL,-,536.00,540.50,532.00,537.00,537.00,0.00,0.00,535.57,"22,393.00",536.00,"11,992,934.50",99,1.00,8.50,0.19,1.60,0.27,591.32,606.32,765.80,462.60
AHPC,-,310.50,310.50,300.00,300.90,300.90,0.00,0.00,303.67,"299,605.00",308.00,"90,981,668.70",979,-7.10,10.50,-2.31,3.50,-0.92,280.60,285.38,334.00,242.50
AKJCL,-,380.00,400.00,371.00,396.00,396.00,0.00,0.00,388.83,"1,768,702.00",377.80,"687,724,761.90","2,558",18.20,29.00,4.82,7.82,1.81,232.85,225.62,409.00,172.90
AKPL,-,293.00,294.10,284.20,289.90,289.90,0.00,0.00,287.75,"414,888.00",293.00,"119,383,845.60","1,060",-3.10,9.90,-1.06,3.48,0.74,254.53,258.51,306.50,216.10
ALBSL,-,"1,131.00","1,190.00","1,130.10","1,143.90","1,143.90",0.00,0.00,"1,145.67","10,529.00","1,154.00","12,062,731.40",130,-10.10,59.90,-0.88,5.30,-0.15,"1,083.98","1,010.92","1,250.00",771.00
ALICL,-,471.50,476.00,465.30,469.50,469.50,0.00,0.00,470.00,"32,109.00",476.40,"15,091,374.20",209,-6.90,10.70,-1.45,2.30,-0.11,469.90,490.19,779.00,430.00
ANLB,-,"6,425.00","6,450.00","6,401.10","6,450.00","6,450.00",0.00,0.00,"6,415.55",246.00,"6,478.90","1,578,224.40",21,-28.90,48.90,-0.45,0.76,0.53,"6,155.31","5,964.14","6,800.00","4,895.00"
API,-,339.00,343.90,331.00,333.00,333.00,0.00,0.00,335.05,"566,324.00",339.80,"189,748,159.20","1,814",-6.80,12.90,-2.00,3.90,-0.62,292.01,294.52,355.00,258.80
AVYAN,-,"1,082.00","1,110.00","1,071.10","1,078.00","1,078.00",0.00,0.00,"1,088.43","20,694.00","1,090.00","22,523,966.40",239,-12.00,38.90,-1.10,3.63,-0.97,981.82,"1,007.95","1,225.00",906.00
BANDIPUR,-,930.00,962.00,925.30,943.00,943.00,0.00,0.00,941.75,"55,222.00",939.80,"52,005,484.10",931,3.20,36.70,0.34,3.97,0.13,0.00,0.00,"1,233.00",285.00
BARUN,-,366.40,379.90,366.30,366.50,366.50,0.00,0.00,369.83,"224,006.00",373.70,"82,843,875.30",768,-7.20,13.60,-1.93,3.71,-0.91,339.14,363.20,589.00,292.10
BBC,-,"4,890.00","4,890.00","4,792.20","4,858.60","4,858.60",0.00,0.00,"4,818.77",470.00,"4,867.00","2,264,822.80",33,-8.40,97.80,-0.17,2.04,0.82,"4,920.80","5,120.33","6,661.60","4,480.00"
BEDC,-,545.00,545.40,529.00,532.00,532.00,0.00,0.00,535.25,"6,037.00",540.00,"3,231,293.10",91,-8.00,16.40,-1.48,3.10,-0.61,580.24,626.07,960.00,500.00
BFC,-,488.00,494.70,481.10,484.00,484.00,0.00,0.00,485.70,"19,786.00",487.00,"9,610,066.10",133,-3.00,13.60,-0.62,2.83,-0.35,472.24,482.01,604.80,411.50
BGWT,-,762.00,770.00,760.00,769.00,769.00,0.00,0.00,763.11,"5,073.00",761.20,"3,871,250.70",76,7.80,10.00,1.02,1.32,0.77,799.52,846.19,"1,110.00",730.70
BHCL,-,580.10,594.30,580.00,588.00,588.00,0.00,0.00,585.63,"38,658.00",587.00,"22,639,425.50",520,1.00,14.30,0.17,2.47,0.40,0.00,0.00,699.00,292.10
BHDC,-,506.00,509.90,497.00,500.00,500.00,0.00,0.00,501.23,"67,748.00",506.00,"33,957,018.80",260,-6.00,12.90,-1.19,2.60,-0.25,511.23,512.42,706.00,426.00
BHL,-,245.00,245.00,237.50,242.50,242.50,0.00,0.00,241.71,"1,117,971.00",245.00,"270,226,926.30","3,134",-2.50,7.50,-1.02,3.16,0.32,189.72,197.69,345.00,164.00
BHPL,-,591.00,597.00,583.00,594.00,594.00,0.00,0.00,591.61,"99,611.00",581.00,"58,931,291.70",562,13.00,14.00,2.24,2.40,0.40,635.27,691.90,"1,308.40",503.10
BNHC,-,374.00,375.00,365.60,370.00,370.00,0.00,0.00,370.96,"27,406.00",369.00,"10,166,485.10",235,1.00,9.40,0.27,2.57,-0.26,456.07,476.97,613.80,313.10
BNT,-,"11,990.00","11,990.00","11,800.00","11,800.00","11,800.00",0.00,0.00,"11,828.78",80.00,"11,900.00","946,302.00",6,-100.00,190.00,-0.84,1.61,-0.24,"11,674.49","11,978.39","13,550.00","10,660.00"
BPCL,-,752.70,752.70,725.00,727.00,727.00,0.00,0.00,729.32,"110,189.00",738.00,"80,363,291.90",355,-11.00,27.70,-1.49,3.82,-0.32,746.66,764.46,"1,065.00",380.70
BUNGAL,-,650.00,667.40,640.00,648.00,648.00,0.00,0.00,649.13,"26,699.00",655.20,"17,331,084.30",396,-7.20,27.40,-1.10,4.28,-0.17,0.00,0.00,822.00,302.40
C30MF,-,10.20,10.34,10.05,10.05,10.05,0.00,0.00,10.13,"6,500.00",10.15,"65,855.00",9,-0.10,0.29,-0.99,2.89,-0.81,9.48,9.63,10.71,8.70
CBBL,-,940.00,945.00,930.10,941.00,941.00,0.00,0.00,936.88,"43,821.00",944.00,"41,054,873.10",384,-3.00,14.90,-0.32,1.60,0.44,984.52,979.28,"1,144.80",821.50
CBLD88,-,"1,192.00","1,192.00","1,192.00","1,192.00","1,192.00",0.00,0.00,"1,192.00",75.00,"1,188.00","89,400.00",3,4.00,0.00,0.34,0.00,0.00,"1,181.79","1,168.35","1,265.00","1,108.00"
CFCL,-,563.70,570.00,554.00,557.00,557.00,0.00,0.00,562.24,"49,815.00",557.80,"28,007,802.20",246,-0.80,16.00,-0.14,2.89,-0.94,505.30,513.72,651.00,445.10
CGH,-,859.00,860.00,850.00,853.90,853.90,0.00,0.00,853.16,"22,110.00",859.00,"18,863,358.40",186,-5.10,10.00,-0.59,1.18,0.09,891.06,917.62,"1,150.00",800.20
