Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,202.00","1,202.00","1,160.00","1,161.15","1,160.10",1.05,0.00,"1,173.75","6,197.00","1,182.39","7,273,717.50",107,-21.24,42.00,-1.80,3.62,-1.08,"1,096.95","1,085.92","1,345.00",965.00
ADBL,-,334.80,336.60,327.00,332.18,332.00,0.18,0.00,332.54,"128,639.00",332.08,"42,777,783.90",441,0.10,9.60,0.03,2.94,-0.11,295.62,307.46,428.40,272.30
ADBLD83,-,"1,085.00","1,130.00","1,085.00","1,108.00","1,108.00",0.00,0.00,"1,126.36","3,197.00","1,085.00","3,600,957.00",21,23.00,45.00,2.12,4.15,-1.66,"1,103.63","1,091.89","1,160.00","1,046.00"
AHL,-,665.00,674.00,655.00,670.61,665.00,5.61,0.01,662.93,"12,779.00",673.35,"8,471,597.00",239,-2.74,19.00,-0.41,2.90,1.15,700.43,711.56,891.00,579.50
AHPC,-,310.00,314.90,305.00,306.55,305.30,1.25,0.00,308.69,"424,832.00",310.13,"131,139,891.40","1,204",-3.58,9.90,-1.15,3.25,-0.70,279.84,275.35,349.00,221.10
AKJCL,-,218.00,219.00,215.00,215.36,215.40,-0.04,0.00,216.82,"308,795.00",217.82,"66,953,923.00",900,-2.46,4.00,-1.13,1.86,-0.68,209.17,208.09,274.90,187.20
AKPL,-,285.60,285.60,273.50,274.78,275.00,-0.22,0.00,276.61,"486,879.00",280.05,"134,674,065.70","1,555",-5.27,12.10,-1.88,4.42,-0.66,249.48,248.72,326.00,211.00
ALBSL,-,965.00,983.90,950.00,960.78,960.00,0.78,0.00,964.90,"34,159.00",958.20,"32,960,113.30",310,2.58,33.90,0.27,3.57,-0.43,851.96,859.86,"1,177.00",771.00
ALICL,-,531.00,531.00,516.00,516.58,517.00,-0.42,0.00,519.92,"30,999.00",522.87,"16,117,144.00",202,-6.29,15.00,-1.20,2.91,-0.65,660.32,684.46,831.00,484.80
ANLB,-,"5,812.02","5,865.00","5,684.10","5,808.88","5,865.00",-56.12,-0.01,"5,760.16",252.00,"5,812.02","1,451,560.70",32,-3.14,180.90,-0.05,3.18,0.84,"5,319.47","5,282.36","6,735.00","2,715.00"
API,-,308.00,312.00,305.60,306.41,306.00,0.41,0.00,308.37,"316,348.00",310.32,"97,551,228.60","1,149",-3.91,6.40,-1.26,2.09,-0.64,291.00,286.64,390.00,244.00
AVYAN,-,"1,150.00","1,154.00","1,120.00","1,137.64","1,125.00",12.64,0.01,"1,135.43","5,778.00","1,149.50","6,560,488.50",112,-11.86,34.00,-1.03,3.04,0.19,"1,076.09","1,062.36","1,306.80",832.00
BARUN,-,400.00,403.80,388.00,389.39,389.00,0.39,0.00,393.97,"103,878.00",398.31,"40,924,326.60",584,-8.92,15.80,-2.24,4.07,-1.17,475.89,457.33,589.00,296.10
BBC,-,"5,796.90","5,796.90","5,514.00","5,570.09","5,514.00",56.09,0.01,"5,620.62","1,060.00","5,715.06","5,957,856.70",84,-144.97,282.90,-2.54,5.13,-0.91,"5,631.35","5,573.42","7,247.00","4,010.00"
BEDC,-,836.90,836.90,778.00,793.30,786.50,6.80,0.01,797.15,"17,173.00",853.95,"13,689,534.30",287,-60.65,58.90,-7.10,7.57,-0.49,762.07,721.64,"1,080.00",417.10
BFC,-,539.00,564.00,530.30,540.74,540.00,0.74,0.00,543.06,"54,701.00",539.00,"29,706,022.50",417,1.74,33.70,0.32,6.35,-0.43,541.93,596.48,951.60,456.00
BGWT,-,945.00,957.00,945.00,948.39,948.20,0.19,0.00,948.57,"4,157.00",956.80,"3,943,209.90",89,-8.41,12.00,-0.88,1.27,-0.02,"1,004.43","1,005.84","1,241.00",857.60
BHDC,-,610.00,616.00,590.00,597.75,590.00,7.75,0.01,605.30,"77,275.00",612.57,"46,774,328.10",506,-14.82,26.00,-2.42,4.41,-1.26,561.85,596.32,829.70,426.00
BHL,-,215.80,219.40,215.50,216.06,216.10,-0.04,0.00,216.71,"216,653.00",217.63,"46,950,453.50",998,-1.57,3.90,-0.72,1.81,-0.30,267.22,304.96,520.00,202.20
BHPL,-,820.20,821.90,805.50,811.61,811.00,0.61,0.00,814.10,"3,240.00",820.14,"2,637,697.20",89,-8.53,16.40,-1.04,2.04,-0.31,956.03,913.91,"1,308.40",654.00
BNHC,-,571.70,571.70,542.10,545.28,547.00,-1.72,0.00,551.07,"46,032.00",560.52,"25,367,005.40",334,-15.24,29.60,-2.72,5.46,-1.06,521.91,515.44,689.80,440.00
