Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,563.00,566.00,552.00,565.00,561.13,"1,438.00",552.00,"806,901.60",39,13.00,14.00,2.36,2.54,0.69,590.83,637.78,906.70,528.10
ADBL,-,264.50,264.50,258.90,260.00,259.98,"39,214.00",260.50,"10,194,999.10",203,-0.50,5.60,-0.19,2.16,0.01,242.71,261.12,355.80,224.00
ADBLD83,-,965.00,970.00,965.00,970.00,966.97,165.00,964.00,"159,550.00",3,6.00,5.00,0.62,0.52,0.31,969.84,991.11,"1,144.00",865.10
AHL,-,399.00,424.00,382.80,392.00,397.05,"26,706.00",392.00,"10,603,723.50",496,0.00,41.20,0.00,10.76,-1.29,346.64,0.00,480.90,273.10
AHPC,-,233.00,244.00,233.00,236.00,238.78,"113,549.00",229.90,"27,113,738.50",369,6.10,11.00,2.65,4.72,-1.18,261.37,277.48,364.00,190.00
AKJCL,-,167.20,176.00,167.20,171.00,171.19,"30,225.00",164.00,"5,174,225.40",174,7.00,8.80,4.27,5.26,-0.11,194.60,205.22,262.00,144.10
AKPL,-,199.00,209.00,199.00,208.00,206.53,"145,228.00",196.30,"29,993,374.10",593,11.70,10.00,5.96,5.03,0.71,296.00,331.84,460.90,152.40
ALBSL,-,735.00,735.00,700.00,719.00,714.08,"5,103.00",740.00,"3,643,961.40",126,-21.00,35.00,-2.84,5.00,0.68,725.09,791.07,"1,158.90",649.00
ALICL,-,689.50,694.90,682.00,684.00,687.69,"18,071.00",676.00,"12,427,166.00",80,8.00,12.90,1.18,1.89,-0.54,656.10,655.93,812.00,428.00
ANLB,-,"2,020.00","2,048.00","2,015.00","2,031.00","2,029.72",401.00,"2,020.00","813,916.00",31,11.00,33.00,0.54,1.64,0.06,0.00,0.00,"2,651.00",403.80
API,-,191.00,200.00,191.00,194.50,196.58,"238,341.00",188.20,"46,853,723.50",713,6.30,9.00,3.35,4.71,-1.07,217.26,233.47,315.00,165.00
AVYAN,-,670.00,680.00,660.00,674.30,665.89,"4,319.00",673.00,"2,875,982.00",102,1.30,20.00,0.19,3.03,1.25,651.95,666.82,963.00,354.50
BARUN,-,238.50,246.90,237.00,244.00,241.90,"36,947.00",233.90,"8,937,499.90",173,10.10,9.90,4.32,4.18,0.86,242.15,248.00,300.00,190.30
BBC,-,"4,023.00","4,023.00","3,851.00","3,851.00","3,884.08",285.00,"3,945.00","1,106,963.00",17,-94.00,172.00,-2.38,4.47,-0.86,"3,534.03","3,469.37","4,539.00","3,050.00"
BEDC,-,230.00,245.00,230.00,244.00,239.80,"18,323.00",234.00,"4,393,785.90",543,10.00,15.00,4.27,6.52,1.72,0.00,0.00,326.30,170.00
BFC,-,321.30,321.30,315.00,320.00,318.57,"2,135.00",315.00,"680,155.00",21,5.00,6.30,1.59,2.00,0.45,319.43,326.82,406.00,287.00
BHDC,-,345.00,360.00,338.10,360.00,348.56,"6,881.00",342.70,"2,398,454.40",192,17.30,21.90,5.05,6.48,3.18,375.12,387.16,468.90,286.50
BHL,-,232.00,241.30,232.00,240.00,237.82,"6,025.00",228.30,"1,432,842.00",164,11.70,9.30,5.12,4.01,0.91,269.01,288.43,394.70,192.70
BHPL,-,407.00,422.80,407.00,418.00,415.10,"3,469.00",415.00,"1,439,971.00",108,3.00,15.80,0.72,3.88,0.69,452.11,0.00,677.20,194.30
BNHC,-,340.60,358.00,340.60,358.00,349.52,"4,070.00",345.00,"1,422,534.50",109,13.00,17.40,3.77,5.11,2.37,352.64,375.56,484.70,270.10
BOKD86,-,781.00,781.00,781.00,781.00,781.00,25.00,790.00,"19,525.00",1,-9.00,0.00,-1.14,0.00,0.00,777.86,0.00,859.40,738.50
BPCL,-,311.00,320.00,311.00,315.00,314.96,"9,923.00",309.00,"3,125,373.90",103,6.00,9.00,1.94,2.89,0.01,319.71,321.27,368.50,290.00
BPW,-,"1,159.00","1,210.00","1,135.90","1,135.90","1,160.99",448.00,"1,142.00","520,123.10",28,-6.10,74.10,-0.53,6.52,-2.21,0.00,0.00,"1,710.00",233.10
C30MF,-,7.83,7.92,7.83,7.91,7.89,900.00,7.96,"7,098.00",6,-0.05,0.09,-0.63,1.15,0.29,0.00,0.00,10.00,7.83
CBBL,-,975.00,975.00,955.00,963.00,959.81,"19,231.00",957.00,"18,458,098.70",170,6.00,20.00,0.63,2.09,0.33,902.77,959.72,"1,303.00",727.00
CBLD88,-,903.00,903.00,902.50,902.50,902.71,85.00,903.00,"76,730.00",3,-0.50,0.50,-0.06,0.06,-0.02,881.53,874.76,"1,024.00",813.00
CCBD88,-,900.00,900.00,900.00,900.00,900.00,100.00,886.50,"90,000.00",2,13.50,0.00,1.52,0.00,0.00,0.00,0.00,"1,022.90",816.00
CFCL,-,348.00,361.70,348.00,358.00,355.35,"7,213.00",347.00,"2,563,160.00",71,11.00,13.70,3.17,3.94,0.74,332.33,331.94,423.00,275.50
