Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,43.30,588.00,599.00,580.00,591.60,583.79,"2,612.00",596.70,"1,524,860.60",56,-5.10,19.00,-0.85,3.28,1.32,741.54,779.61,"1,407.00",580.00
ADBL,34.56,268.00,268.50,259.10,261.50,262.20,"59,597.00",272.00,"15,626,041.30",459,-10.50,9.40,-3.86,3.63,-0.27,311.39,315.66,405.90,259.10
ADLB,37.58,"1,407.00","1,407.00","1,345.00","1,364.00","1,355.33",496.00,"1,380.00","672,246.00",31,-16.00,62.00,-1.16,4.61,0.64,0.00,0.00,"2,705.00",256.80
AHPC,37.99,295.20,304.00,295.20,300.00,299.93,"42,757.00",301.00,"12,824,292.70",166,-1.00,8.80,-0.33,2.98,0.02,296.56,318.26,525.00,250.00
AIL,33.19,447.30,460.00,447.30,454.00,454.89,"1,714.00",455.00,"779,684.00",45,-1.00,12.70,-0.22,2.84,-0.20,484.39,553.66,768.90,344.00
AKJCL,36.00,226.00,229.00,224.00,225.00,226.11,"14,860.00",226.00,"3,359,990.10",103,-1.00,5.00,-0.44,2.23,-0.49,199.65,202.50,310.00,159.80
AKPL,37.47,406.00,409.50,403.10,405.00,405.01,"40,465.00",407.00,"16,388,884.40",214,-2.00,6.40,-0.49,1.59,0.00,390.61,412.24,530.00,325.00
ALBSL,36.54,720.00,720.00,707.00,710.00,710.05,374.00,718.00,"265,558.20",16,-8.00,13.00,-1.11,1.84,-0.01,971.69,"1,059.57","1,467.00",707.00
ALICL,31.38,611.30,623.00,611.30,614.10,619.13,"5,052.00",620.00,"3,127,863.40",71,-5.90,11.70,-0.95,1.91,-0.82,564.78,572.62,"1,007.70",428.00
API,40.25,256.50,260.80,253.00,258.60,256.98,"72,685.00",255.90,"18,678,254.30",307,2.70,7.80,1.06,3.08,0.63,239.01,245.46,510.00,200.00
AVYAN,40.40,627.20,650.00,614.80,636.00,623.55,"2,952.00",640.00,"1,840,731.00",123,-4.00,35.20,-0.63,5.73,1.96,0.00,0.00,963.00,316.00
BARUN,31.11,255.10,263.90,255.10,259.60,260.68,"15,573.00",260.00,"4,059,495.80",83,-0.40,8.80,-0.15,3.45,-0.41,235.94,275.65,541.60,190.30
BBC,37.56,"3,320.00","3,320.00","3,261.00","3,261.00","3,308.29",141.00,"3,255.00","466,469.00",5,6.00,59.00,0.18,1.81,-1.45,"3,328.73","3,433.77","4,580.00","3,083.00"
BFC,39.55,320.00,327.00,318.90,326.20,321.71,"4,280.00",325.40,"1,376,898.40",27,0.80,8.10,0.25,2.54,1.38,335.84,351.82,476.90,292.50
BHDC,50.93,450.00,468.10,433.50,452.80,446.99,"18,989.00",459.00,"8,487,903.30",235,-6.20,34.60,-1.35,7.98,1.28,381.43,0.00,520.00,310.00
BHL,34.43,328.10,335.90,328.10,335.00,334.05,"2,165.00",333.90,"723,228.50",87,1.10,7.80,0.33,2.38,0.28,289.31,286.67,397.00,104.70
BHPL,38.65,535.00,535.00,516.20,522.00,526.77,"7,001.00",525.10,"3,687,913.00",120,-3.10,18.80,-0.59,3.64,-0.91,0.00,0.00,677.20,194.30
BNHC,42.17,418.10,427.40,418.10,427.40,422.33,"3,624.00",424.90,"1,530,538.50",37,2.50,9.30,0.59,2.22,1.19,387.91,390.53,715.00,306.00
BNT,48.23,"12,350.00","12,804.00","12,103.00","12,804.00","12,327.28",195.00,"12,350.00","2,403,820.00",15,454.00,701.00,3.68,5.79,3.72,"12,873.72","12,963.09","15,371.30","11,396.00"
BOKD86,30.48,751.00,751.00,751.00,751.00,751.00,50.00,740.10,"37,550.00",2,10.90,0.00,1.47,0.00,0.00,0.00,0.00,980.00,738.50
BPCL,32.92,318.00,320.00,315.00,318.00,317.18,"3,608.00",318.00,"1,144,367.70",66,0.00,5.00,0.00,1.59,0.26,312.78,317.50,426.30,288.00
CBBL,34.23,800.00,800.00,789.00,798.00,795.97,"4,580.00",799.90,"3,645,565.20",148,-1.90,11.00,-0.24,1.39,0.25,"1,081.85","1,067.15","1,303.00",789.00
CBLD88,33.24,825.20,825.20,825.20,825.20,825.20,25.00,829.00,"20,630.00",1,-3.80,0.00,-0.46,0.00,0.00,0.00,0.00,"1,000.00",813.00
CFCL,37.24,319.30,319.30,311.40,313.00,314.76,"3,363.00",313.20,"1,058,528.90",33,-0.20,7.90,-0.06,2.54,-0.56,322.96,321.88,462.90,237.00
CGH,39.91,"1,145.00","1,160.00","1,121.50","1,129.00","1,135.42","1,985.00","1,144.00","2,253,811.00",54,-15.00,38.50,-1.31,3.43,-0.57,"1,096.85","1,083.41","1,487.00",900.20
CHCL,36.36,465.00,471.00,462.00,469.90,465.96,"17,602.00",468.00,"8,201,864.40",181,1.90,9.00,0.41,1.95,0.84,404.17,403.31,504.10,347.90
CHDC,35.52,710.60,730.00,710.60,721.30,717.27,"1,566.00",725.00,"1,123,248.10",69,-3.70,19.40,-0.51,2.73,0.56,686.27,707.11,925.00,590.00
CHL,23.70,328.00,328.40,320.50,320.70,323.20,"9,411.00",322.00,"3,041,631.50",62,-1.30,7.90,-0.40,2.46,-0.78,254.65,258.18,475.00,193.10
CIT,42.63,"1,998.00","2,024.00","1,996.00","2,015.00","2,009.23","7,686.00","2,011.00","15,442,938.70",150,4.00,28.00,0.20,1.40,0.29,"1,954.07","2,134.14","3,297.00","1,780.00"
CLBSL,37.30,608.20,620.00,608.10,619.50,611.50,622.00,620.00,"380,352.40",12,-0.50,11.90,-0.08,1.96,1.29,806.02,816.42,"1,018.00",592.00
CMF1,38.41,7.37,7.53,7.23,7.53,7.34,"3,500.00",7.51,"25,699.00",7,0.02,0.30,0.27,4.15,2.49,8.04,8.17,10.00,6.75
CORBL,39.99,306.00,310.80,300.00,306.00,303.14,"3,013.00",311.00,"913,374.00",36,-5.00,10.80,-1.61,3.60,0.93,294.49,298.10,575.00,211.30
CZBIL,39.05,179.00,181.00,178.00,180.00,178.77,"25,393.00",179.50,"4,539,463.50",120,0.50,3.00,0.28,1.69,0.68,189.62,194.95,278.00,175.00
DDBL,39.22,690.00,691.00,677.00,681.50,682.71,"7,372.00",688.00,"5,032,962.10",103,-6.50,14.00,-0.94,2.07,-0.18,938.73,954.69,"1,199.00",677.00
DHPL,38.47,225.50,233.00,225.50,229.90,230.64,"3,033.00",230.00,"699,518.50",39,-0.10,7.50,-0.04,3.33,-0.32,201.23,204.76,327.00,160.10
DLBS,39.66,843.00,860.00,833.50,840.00,840.26,877.00,859.00,"736,907.00",28,-19.00,26.50,-2.21,3.18,-0.03,0.00,0.00,"1,662.00",177.70
DORDI,43.66,321.20,321.20,309.20,314.00,311.80,"7,107.00",315.00,"2,215,946.80",132,-1.00,12.00,-0.32,3.88,0.70,276.80,0.00,408.00,217.00
EBL,36.83,500.00,506.00,498.10,501.10,501.32,"14,420.00",504.90,"7,229,027.60",113,-3.80,7.90,-0.75,1.59,-0.04,499.19,489.87,558.90,411.00
EBLD86,30.45,750.00,765.00,750.00,765.00,757.50,50.00,760.00,"37,875.00",2,5.00,15.00,0.66,2.00,0.98,0.00,0.00,"1,000.00",725.00
EDBL,35.50,323.80,323.80,315.00,319.00,316.47,"3,708.00",322.00,"1,173,470.20",55,-3.00,8.80,-0.93,2.79,0.79,325.25,335.58,495.00,291.20
EHPL,46.86,466.80,466.80,444.50,464.10,451.83,"3,720.00",457.70,"1,680,824.00",86,6.40,22.30,1.40,5.02,2.64,0.00,0.00,508.00,216.00
ENL,34.40,652.00,660.10,646.50,659.00,650.30,815.00,665.00,"529,995.50",18,-6.00,13.60,-0.90,2.10,1.32,633.90,656.07,"1,481.90",438.20
FMDBL,37.52,541.00,542.00,531.10,536.10,534.98,"7,229.00",541.00,"3,867,402.00",80,-4.90,10.90,-0.91,2.05,0.21,657.59,667.13,835.00,531.10
