Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,52.59,"1,142.40","1,185.00","1,142.40","1,154.00","1,157.89","9,296.00","1,120.00","10,763,712.20",148,34.00,42.60,3.04,3.73,-0.34,"1,091.71",961.15,"1,491.00",500.10
ADBL,42.08,366.00,370.90,361.00,363.00,363.61,"72,913.00",365.10,"26,511,770.10",419,-2.10,9.90,-0.58,2.74,-0.17,331.21,298.18,428.40,223.00
ADBLD83,38.38,"1,150.00","1,160.00","1,150.00","1,160.00","1,156.43",140.00,"1,150.00","161,900.00",4,10.00,10.00,0.87,0.87,0.31,"1,064.39","1,043.17","1,160.00",966.00
AHL,51.19,721.10,748.00,721.00,728.00,731.24,"14,665.00",719.00,"10,723,631.50",193,9.00,27.00,1.25,3.74,-0.45,610.81,555.39,904.00,297.30
AHPC,46.35,293.70,299.00,291.00,292.00,294.29,"263,006.00",288.00,"77,400,729.90",748,4.00,8.00,1.39,2.75,-0.79,228.76,212.74,349.00,149.00
AKJCL,35.05,214.00,221.80,213.00,214.80,215.86,"427,283.00",211.10,"92,231,937.30","1,368",3.70,8.80,1.75,4.13,-0.49,212.38,214.73,274.90,141.30
AKPL,46.18,275.00,285.00,270.30,274.90,275.20,"345,797.00",270.00,"95,162,139.60",781,4.90,14.70,1.81,5.44,-0.11,218.26,205.17,326.00,154.50
ALBSL,45.97,944.00,946.00,925.00,925.00,935.81,"15,986.00",946.00,"14,959,906.00",232,-21.00,21.00,-2.22,2.27,-1.17,"1,025.17",920.27,"1,177.00",543.00
ALICL,35.81,765.00,770.00,755.10,759.00,764.15,"45,391.00",750.00,"34,685,698.20",204,9.00,14.90,1.20,1.97,-0.68,672.47,643.00,825.00,523.00
ANLB,47.85,"4,693.00","4,973.00","4,550.00","4,751.00","4,683.12","10,126.00","4,780.00","47,421,270.70",123,-29.00,423.00,-0.61,9.30,1.43,"3,473.35","2,970.90","5,705.00","1,550.00"
API,42.15,307.00,313.00,302.10,303.00,306.53,"275,272.00",301.50,"84,378,490.60",843,1.50,10.90,0.50,3.61,-1.16,250.09,227.14,390.00,154.70
AVYAN,54.96,"1,062.00","1,100.00","1,050.00","1,075.00","1,081.69","24,338.00","1,060.00","26,326,140.00",378,15.00,50.00,1.42,4.76,-0.62,955.96,855.71,"1,195.00",550.00
BARUN,50.46,427.00,450.00,425.00,436.00,439.02,"289,892.00",418.70,"127,269,749.80","1,160",17.30,25.00,4.13,5.88,-0.69,330.58,303.05,450.00,191.10
BBC,47.08,"4,302.00","4,500.00","4,300.00","4,465.00","4,447.72",770.00,"4,375.00","3,424,748.00",40,90.00,200.00,2.06,4.65,0.39,"4,232.43","4,081.71","5,314.00","3,410.40"
BEDC,53.55,526.00,576.00,526.00,576.00,569.71,"75,113.00",536.10,"42,792,984.30",537,39.90,50.00,7.44,9.51,1.09,452.06,421.85,576.00,184.10
BFC,48.38,787.40,787.40,712.00,735.00,747.52,"235,566.00",772.00,"176,089,962.40","1,453",-37.00,75.40,-4.79,10.59,-1.70,549.25,482.04,800.00,284.00
BGWT,54.96,990.00,"1,080.00",967.00,"1,068.00","1,054.25","39,441.00",985.00,"41,580,479.60",524,83.00,113.00,8.43,11.69,1.29,938.99,827.63,"1,361.70",375.00
BHDC,38.26,690.00,696.80,670.00,679.90,681.18,"27,258.00",698.00,"18,567,584.70",226,-18.10,26.80,-2.59,4.00,-0.19,605.08,561.59,829.70,305.00
BHL,51.12,410.00,418.20,396.00,398.50,401.58,"57,919.00",410.00,"23,258,842.60",353,-11.50,22.20,-2.80,5.61,-0.77,403.05,383.03,520.00,195.00
BHPL,54.96,718.00,805.20,718.00,800.00,793.26,"26,541.00",732.00,"21,053,827.10",398,68.00,87.20,9.29,12.14,0.84,666.32,608.96,805.20,374.60
BNHC,53.89,550.00,583.00,544.50,546.00,556.98,"52,450.00",550.00,"29,213,705.50",435,-4.00,38.50,-0.73,7.07,-2.01,577.81,541.06,742.00,282.50
BNT,38.30,"14,911.00","14,911.00","14,416.00","14,453.20","14,569.67",396.00,"14,649.00","5,769,590.80",19,-195.80,495.00,-1.34,3.43,-0.81,"14,219.47","13,910.53","18,100.00","10,500.00"
BOKD86,35.72,"1,042.00","1,042.00","1,042.00","1,042.00","1,042.00",25.00,"1,036.00","26,050.00",1,6.00,0.00,0.58,0.00,0.00,976.52,925.55,"1,042.00",791.00
BOKD86KA,42.72,"1,100.00","1,100.00","1,100.00","1,100.00","1,100.00",25.00,"1,100.00","27,500.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,124.00","1,000.00"
BPCL,37.64,462.80,463.00,454.00,455.30,457.98,"20,766.00",453.80,"9,510,501.70",148,1.50,9.00,0.33,1.98,-0.59,383.48,357.04,536.50,284.40
C30MF,48.18,9.90,10.10,9.65,9.65,9.81,"20,170.00",10.00,"197,897.80",19,-0.35,0.45,-3.50,4.66,-1.67,9.49,9.25,10.92,7.61
CBBL,51.24,976.10,993.00,975.30,983.10,985.83,"13,580.00",974.00,"13,387,608.00",200,9.10,17.70,0.93,1.81,-0.28,941.10,907.11,"1,155.00",800.00
CBLD88,30.75,"1,147.00","1,147.00","1,147.00","1,147.00","1,147.00",120.00,"1,136.50","137,640.00",1,10.50,0.00,0.92,0.00,0.00,"1,066.22","1,040.61","1,185.80",888.10
CCBD88,31.81,"1,166.00","1,166.00","1,160.00","1,160.00","1,161.79",50.00,"1,213.50","58,089.30",3,-53.50,6.00,-4.41,0.52,-0.15,"1,076.57","1,041.11","1,213.50",926.00
CFCL,41.32,729.00,739.00,702.00,711.00,717.29,"106,180.00",727.40,"76,161,877.00",679,-16.40,37.00,-2.25,5.27,-0.88,566.04,495.46,820.00,298.00
CGH,54.86,999.60,"1,030.10",995.00,"1,011.00","1,015.13","135,288.00",980.00,"137,334,545.40","1,123",31.00,35.10,3.16,3.53,-0.41,959.20,914.74,"1,360.00",760.00
CHCL,43.22,597.20,605.00,595.00,595.00,599.82,"72,076.00",593.00,"43,232,569.80",301,2.00,10.00,0.34,1.68,-0.81,530.82,507.68,697.00,426.30
CHDC,40.29,"1,670.00","1,690.00","1,645.00","1,647.10","1,664.69","36,712.00","1,665.00","61,114,281.50",415,-17.90,45.00,-1.08,2.74,-1.07,"1,449.74","1,267.62","2,370.00",627.00
CHL,53.71,402.80,417.00,399.10,401.10,406.85,"30,146.00",395.00,"12,264,976.90",214,6.10,17.90,1.54,4.49,-1.43,348.80,334.11,447.00,197.00
CIT,43.66,"2,231.00","2,235.00","2,208.20","2,210.10","2,214.95","17,829.00","2,207.00","39,490,301.30",285,3.10,26.80,0.14,1.21,-0.22,"2,194.29","2,164.59","2,700.00","1,880.00"
CITY,47.13,965.00,985.80,942.00,947.00,959.78,"25,601.00",949.00,"24,571,275.20",290,-2.00,43.80,-0.21,4.65,-1.35,802.70,735.35,"1,168.50",503.70
CKHL,41.75,704.80,721.80,700.00,700.00,713.36,"14,067.00",691.00,"10,034,845.90",226,9.00,21.80,1.30,3.11,-1.91,631.57,609.66,783.00,300.00
CLI,44.60,689.70,695.00,679.10,694.00,687.38,"95,387.00",676.20,"65,567,354.00","1,060",17.80,15.90,2.63,2.34,0.95,584.41,539.55,731.00,389.10
CMF1,30.35,10.75,10.80,10.51,10.60,10.61,"18,786.00",10.71,"199,270.86",10,-0.11,0.29,-1.03,2.76,-0.07,9.90,9.54,11.12,7.59
CMF2,47.03,9.65,9.80,9.65,9.70,9.75,"4,800.00",9.82,"46,802.00",6,-0.12,0.15,-1.22,1.55,-0.52,9.19,8.76,10.68,6.81
CORBL,46.05,"1,180.00","1,200.00","1,118.00","1,160.00","1,152.67","12,343.00","1,158.00","14,227,363.20",157,2.00,82.00,0.17,7.33,0.63,714.73,620.76,"1,200.00",303.00
CYCL,50.18,"1,870.00","1,870.00","1,725.00","1,820.00","1,815.14","13,440.00","1,870.00","24,395,470.70",325,-50.00,145.00,-2.67,8.41,0.27,"1,552.58","1,491.21","1,923.90",882.00
CZBIL,39.51,239.00,240.60,234.00,235.00,236.49,"50,377.00",236.00,"11,913,823.40",192,-1.00,6.60,-0.42,2.82,-0.64,214.96,197.20,296.00,152.50
DDBL,51.69,940.00,945.00,931.00,931.20,938.03,"12,073.00",922.00,"11,324,893.20",119,9.20,14.00,1.00,1.50,-0.73,892.42,841.69,"1,099.00",650.00
DHPL,45.09,272.10,283.00,270.00,276.00,276.36,"72,929.00",266.80,"20,154,331.30",369,9.20,13.00,3.45,4.81,-0.13,231.63,221.58,312.00,134.00
DLBS,51.10,"1,730.00","1,870.00","1,730.00","1,737.00","1,784.45","6,760.00","1,700.00","12,062,914.80",192,37.00,140.00,2.18,8.09,-2.73,"1,333.84","1,240.00","1,870.00",585.10
DOLTI,36.47,620.00,630.00,606.10,606.10,616.38,"34,075.00",620.00,"21,002,979.90",255,-13.90,23.90,-2.24,3.94,-1.70,505.79,476.93,742.00,190.00
DORDI,46.50,490.10,516.90,490.10,512.90,507.49,"63,768.00",489.80,"32,361,447.80",524,23.10,26.80,4.72,5.47,1.06,453.54,450.88,576.00,197.00
EBL,45.29,623.00,623.00,607.10,608.00,612.34,"21,975.00",614.00,"13,456,171.30",163,-6.00,15.90,-0.98,2.62,-0.71,607.72,574.91,790.00,458.20
EBLD86,39.13,"1,042.00","1,042.00","1,021.20","1,028.00","1,029.55",100.00,"1,051.60","102,955.00",4,-23.60,20.80,-2.24,2.04,-0.15,979.03,927.08,"1,051.60",791.00
EDBL,33.34,678.00,679.00,658.00,660.00,665.17,"55,303.00",666.00,"36,786,164.90",273,-6.00,21.00,-0.90,3.19,-0.78,529.75,472.70,742.00,290.20
EHPL,27.85,799.00,799.00,770.00,774.00,780.30,"16,287.00",784.30,"12,708,776.40",184,-10.30,29.00,-1.31,3.77,-0.81,644.79,579.64,997.00,288.00
ENL,52.61,"1,210.00","1,273.00","1,199.00","1,223.90","1,231.64","6,451.00","1,199.90","7,945,326.30",79,24.00,74.00,2.00,6.17,-0.63,"1,115.63","1,005.24","1,453.50",728.00
FMDBL,54.96,844.00,856.00,820.10,835.90,828.57,"102,975.00",832.00,"85,321,818.80",281,3.90,35.90,0.47,4.38,0.88,757.05,709.26,"1,004.00",561.10
FOWAD,54.15,"1,524.90","1,552.00","1,485.00","1,520.00","1,516.45","7,948.00","1,501.00","12,052,730.20",99,19.00,67.00,1.27,4.51,0.23,"1,422.74","1,312.52","1,739.00",974.00
GBBD85,33.53,"1,044.00","1,044.00","1,036.10","1,036.10","1,043.39",325.00,"1,036.00","339,102.50",2,0.10,7.90,0.01,0.76,-0.70,"1,002.83",972.73,"1,055.00",808.10
GBBL,48.51,464.90,465.90,457.50,457.50,460.95,"54,168.00",457.50,"24,968,888.90",226,0.00,8.40,0.00,1.84,-0.75,420.51,403.13,531.40,350.00
GBBLPO,39.32,205.00,205.00,205.00,205.00,205.00,"16,510.00",205.00,"3,384,550.00",9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.00,205.00
GBILD84/85,45.18,"1,195.60","1,195.60","1,195.60","1,195.60","1,195.60",10.00,"1,220.00","11,956.00",1,-24.40,0.00,-2.00,0.00,0.00,0.00,0.00,"1,220.00","1,000.00"
GBILD86/87,47.29,"1,042.00","1,042.00","1,028.00","1,028.00","1,041.08",382.00,"1,030.00","397,694.00",3,-2.00,14.00,-0.19,1.36,-1.27,971.38,918.30,"1,060.00",803.00
GBIME,37.96,258.00,260.00,257.00,257.20,258.86,"134,999.00",256.60,"34,946,218.30",578,0.60,3.00,0.23,1.17,-0.65,223.84,210.76,302.00,170.00
GBLBS,54.96,840.00,877.00,840.00,877.00,865.84,"55,041.00",835.00,"47,656,656.90",466,42.00,37.00,5.03,4.40,1.27,796.51,730.90,979.50,438.00
GCIL,40.34,503.00,507.00,495.30,496.00,500.29,"119,156.00",512.90,"59,612,745.90","1,105",-16.90,11.70,-3.29,2.36,-0.87,511.71,509.09,668.00,376.00
GFCL,34.83,"1,024.00","1,040.00",995.00,"1,003.00","1,008.98","81,302.00","1,004.00","82,032,434.80",760,-1.00,45.00,-0.10,4.52,-0.60,812.06,692.89,"1,353.00",378.10
GHL,33.87,234.00,237.60,229.60,230.10,233.86,"154,854.00",229.50,"36,213,566.30",506,0.60,8.00,0.26,3.48,-1.63,194.29,182.32,283.00,120.00
GIBF1,49.66,10.35,10.50,9.80,9.80,10.47,"127,600.00",10.32,"1,336,267.00",25,-0.52,0.70,-5.04,7.14,-6.86,9.30,9.01,10.60,7.20
GILB,54.81,"1,375.00","1,402.00","1,361.00","1,370.00","1,369.44","11,559.00","1,349.00","15,829,304.20",104,21.00,41.00,1.56,3.01,0.04,"1,346.64","1,201.69","1,815.00",748.00
GLBSL,50.77,"2,996.90","3,300.00","2,752.20","2,752.20","2,802.33","39,740.00","3,058.00","111,364,674.90",688,-305.80,547.80,-10.00,19.90,-1.82,"1,874.85","1,717.62","3,300.00",589.10
GLH,45.49,281.00,286.00,268.60,268.60,275.88,"101,898.00",276.00,"28,111,664.40",495,-7.40,17.40,-2.68,6.48,-2.71,244.17,236.08,336.00,194.60
GMFBS,53.04,"1,845.00","1,959.40","1,845.00","1,883.10","1,909.73","18,670.00","1,810.00","35,654,676.50",265,73.10,114.40,4.04,6.20,-1.41,"1,594.34","1,392.15","2,327.00",652.00
GMFIL,48.02,713.50,723.00,687.10,691.00,703.13,"145,396.00",713.50,"102,232,841.30",652,-22.50,35.90,-3.15,5.22,-1.76,541.93,481.93,759.00,312.20
GRDBL,44.95,912.00,929.00,879.00,900.00,910.17,"34,200.00",898.90,"31,127,803.70",257,1.10,50.00,0.12,5.69,-1.13,606.01,530.16,929.00,282.20
