Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,38.36,915.20,919.00,911.10,919.00,919.00,0.00,0.00,916.30,357.00,937.00,"327,120.10",16,-18.00,7.90,-1.92,0.87,0.29,961.66,963.09,"1,157.00",827.90
ADBL,33.19,304.00,305.00,299.70,302.20,302.20,0.00,0.00,300.41,"121,643.00",304.00,"36,543,087.00",298,-1.80,5.30,-0.59,1.77,0.59,311.68,308.07,340.00,285.20
ADBLD83,34.57,"1,030.00","1,030.00","1,030.00","1,030.00","1,030.00",0.00,0.00,"1,030.00",50.00,"1,015.00","51,500.00",1,15.00,0.00,1.48,0.00,0.00,"1,077.15","1,085.61","1,132.90","1,015.00"
AHL,36.09,415.00,419.00,410.50,419.00,419.00,0.00,0.00,413.17,738.00,420.50,"304,919.60",25,-1.50,8.50,-0.36,2.07,1.39,485.08,516.10,699.00,405.00
AHPC,32.28,266.00,266.00,263.20,263.40,263.40,0.00,0.00,264.00,"47,294.00",264.90,"12,485,481.40",170,-1.50,2.80,-0.57,1.06,-0.23,279.48,277.94,323.30,250.10
AKJCL,20.97,345.00,368.00,345.00,355.50,355.50,0.00,0.00,359.00,"188,646.00",360.00,"67,723,412.90",466,-4.50,23.00,-1.25,6.67,-0.98,378.41,328.12,461.40,172.90
AKPL,32.47,253.00,253.60,250.70,252.00,252.00,0.00,0.00,251.66,"60,461.00",253.20,"15,215,479.00",218,-1.20,2.90,-0.47,1.16,0.14,268.96,263.14,317.00,227.50
ALBSL,30.94,"1,080.00","1,164.90","1,079.00","1,094.50","1,094.50",0.00,0.00,"1,101.18","3,739.00","1,122.90","4,117,329.50",93,-28.40,85.90,-2.53,7.96,-0.61,"1,120.08","1,125.28","1,334.00",930.00
ALICL,42.01,416.30,421.60,416.30,421.60,421.60,0.00,0.00,418.72,"14,256.00",420.00,"5,969,332.30",80,1.60,5.30,0.38,1.27,0.68,449.64,456.45,507.00,413.40
ANLB,27.72,"5,200.00","5,325.00","5,200.00","5,310.00","5,310.00",0.00,0.00,"5,239.27",699.00,"5,320.00","3,662,252.40",37,-10.00,125.00,-0.19,2.40,1.33,"6,137.43","6,137.87","7,560.00","5,200.00"
APHL,17.41,799.00,805.00,781.00,782.00,782.00,0.00,0.00,795.72,"9,719.00",805.00,"7,733,637.50",259,-23.00,24.00,-2.86,3.07,-1.75,0.00,0.00,"1,053.40",299.70
