Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,26.77,916.00,942.90,916.00,925.00,925.00,0.00,0.00,932.54,512.00,942.20,"477,462.80",20,-17.20,26.90,-1.83,2.94,-0.82,967.47,976.46,"1,240.00",827.90
ADBL,36.77,310.00,310.00,304.00,307.00,307.00,0.00,0.00,306.11,"10,218.00",306.80,"3,127,809.50",126,0.20,6.00,0.07,1.97,0.29,308.56,308.52,344.90,285.20
ADBLB,21.13,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",0.00,0.00,"1,000.00","430,000.00",0.00,"430,000,000.00",5,"1,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"1,000.00","1,000.00"
ADBLD83,46.13,"1,056.20","1,070.00","1,056.20","1,070.00","1,070.00",0.00,0.00,"1,058.04","10,526.00","1,056.40","11,136,958.10",77,13.60,13.80,1.29,1.31,1.12,"1,086.99","1,092.70","1,160.00","1,022.00"
AHL,22.40,435.50,453.70,435.50,437.00,437.00,0.00,0.00,440.99,"2,107.00",447.30,"929,158.40",46,-10.30,18.20,-2.30,4.18,-0.91,521.28,551.97,700.00,435.00
AHPC,37.81,266.00,267.00,263.00,264.00,264.00,0.00,0.00,265.02,"87,859.00",264.00,"23,284,341.20",257,0.00,4.00,0.00,1.52,-0.39,280.21,280.62,334.00,250.10
AKJCL,31.47,363.90,364.20,356.00,358.00,358.00,0.00,0.00,359.74,"230,860.00",362.00,"83,048,904.40",538,-4.00,8.20,-1.10,2.30,-0.49,353.64,298.65,461.40,172.90
AKPL,32.18,259.70,259.80,255.00,256.10,256.10,0.00,0.00,256.39,"26,934.00",257.70,"6,905,511.30",133,-1.60,4.80,-0.62,1.88,-0.11,269.40,261.47,317.00,227.50
ALBSL,43.76,"1,065.00","1,158.00","1,065.00","1,098.00","1,098.00",0.00,0.00,"1,084.72","9,852.00","1,099.60","10,686,622.20",221,-1.60,93.00,-0.15,8.73,1.21,"1,142.89","1,110.63","1,334.00",801.10
ALICL,37.81,436.50,439.00,435.00,437.10,437.10,0.00,0.00,436.96,"24,533.00",436.50,"10,720,052.60",117,0.60,4.00,0.14,0.92,0.03,461.44,463.33,550.00,430.00
ANLB,37.82,"7,006.60","7,006.60","7,006.60","7,006.60","7,006.60",0.00,0.00,"7,006.60",10.00,"6,673.00","70,066.00",1,333.60,0.00,5.00,0.00,0.00,"6,178.13","6,191.56","7,006.60","5,220.00"
APHL,21.92,859.80,954.80,859.80,898.00,898.00,0.00,0.00,898.63,"25,254.00",905.00,"22,694,076.70",782,-7.00,95.00,-0.77,11.05,-0.07,0.00,0.00,"1,053.40",299.70
API,33.80,333.00,335.90,332.50,334.90,334.90,0.00,0.00,334.15,"139,836.00",333.80,"46,725,557.00",435,1.10,3.40,0.33,1.02,0.23,329.22,314.01,370.00,258.80
AVYAN,39.82,"1,096.00","1,096.00","1,059.00","1,067.00","1,067.00",0.00,0.00,"1,076.61","4,295.00","1,044.00","4,624,022.00",92,23.00,37.00,2.20,3.49,-0.90,"1,063.87","1,036.83","1,366.00",906.00
BANDIPUR,25.13,749.00,756.00,745.10,746.00,746.00,0.00,0.00,750.51,"12,987.00",753.00,"9,746,860.50",289,-7.00,10.90,-0.93,1.46,-0.60,886.30,0.00,"1,233.00",285.00
BARUN,31.88,323.00,324.90,321.50,323.50,323.50,0.00,0.00,323.51,"12,129.00",322.00,"3,923,839.40",95,1.50,3.40,0.47,1.06,0.00,348.71,341.51,473.00,292.10
BBC,33.15,"4,298.90","4,298.90","4,201.00","4,286.00","4,286.00",0.00,0.00,"4,265.80",127.00,"4,260.00","541,756.50",12,26.00,97.90,0.61,2.33,0.47,"4,745.63","4,797.86","6,120.00","4,100.00"
BEDC,25.10,340.00,340.00,333.00,334.00,334.00,0.00,0.00,335.96,"21,770.00",340.00,"7,313,873.00",126,-6.00,7.00,-1.76,2.10,-0.59,451.36,496.10,872.00,314.90
BFC,35.72,497.80,537.90,497.80,535.00,535.00,0.00,0.00,533.61,"187,575.00",524.00,"100,092,721.50",790,11.00,40.10,2.10,8.06,0.26,478.55,473.86,579.90,411.50
BGWT,32.44,585.40,585.40,559.00,559.00,559.00,0.00,0.00,571.99,"4,345.00",586.20,"2,485,286.50",72,-27.20,26.40,-4.64,4.72,-2.32,721.19,746.16,"1,110.00",559.00
BHCL,29.41,535.00,540.00,525.00,526.20,526.20,0.00,0.00,531.98,"53,824.00",534.00,"28,633,300.70",366,-7.80,15.00,-1.46,2.86,-1.10,563.96,529.85,699.00,292.10
BHDC,34.08,441.00,444.90,436.00,443.00,443.00,0.00,0.00,442.07,"6,224.00",442.90,"2,751,451.90",58,0.10,8.90,0.02,2.04,0.21,472.20,488.10,706.00,422.00
BHL,34.04,208.10,213.30,208.10,210.00,210.00,0.00,0.00,210.53,"49,877.00",210.00,"10,500,664.50",256,0.00,5.20,0.00,2.50,-0.25,213.80,202.84,264.40,164.00
BHPL,30.20,512.80,512.80,495.00,498.00,498.00,0.00,0.00,498.25,"4,400.00",504.90,"2,192,315.90",48,-6.90,17.80,-1.37,3.60,-0.05,547.94,584.44,916.90,480.00
BJHL,33.15,775.00,840.00,775.00,832.00,832.00,0.00,0.00,819.09,"7,754.00",815.10,"6,351,204.60",139,16.90,65.00,2.07,8.39,1.55,0.00,0.00,"1,305.00",270.10
BNHC,35.76,308.00,314.00,306.20,311.00,311.00,0.00,0.00,309.55,"9,307.00",314.70,"2,881,028.30",74,-3.70,7.80,-1.18,2.55,0.46,380.93,401.98,613.80,306.10
BNT,24.64,"11,510.20","11,600.10","11,510.20","11,600.10","11,600.10",0.00,0.00,"11,577.63",40.00,"11,700.00","463,105.00",2,-99.90,89.90,-0.85,0.78,0.19,"11,781.76","11,669.45","13,205.00","10,660.00"
BOKD86,23.58,"1,088.10","1,088.10","1,086.10","1,086.50","1,086.50",0.00,0.00,"1,086.33","9,600.00","1,085.00","10,428,741.00",37,1.50,2.00,0.14,0.18,0.02,"1,075.45","1,062.15","1,139.30","1,025.10"
BPCL,39.97,692.80,692.80,646.40,665.00,665.00,0.00,0.00,652.70,"18,917.00",659.90,"12,347,192.30",134,5.10,46.40,0.77,7.18,1.85,711.59,716.87,"1,065.00",617.50
BUNGAL,29.39,652.00,669.70,652.00,665.10,665.10,0.00,0.00,664.72,"33,322.00",652.00,"22,149,801.70",251,13.10,17.70,2.01,2.71,0.06,662.53,0.00,895.00,302.40
C30MF,34.62,10.00,10.18,10.00,10.18,10.18,0.00,0.00,10.03,"2,400.00",10.18,"24,069.00",3,0.00,0.18,0.00,1.80,1.49,9.91,9.67,10.71,8.70
CBBL,41.17,918.70,918.70,912.00,917.80,917.80,0.00,0.00,916.42,"16,357.00",910.00,"14,989,930.20",159,7.80,6.70,0.86,0.73,0.15,926.37,952.37,"1,144.80",882.00
CFCL,28.22,615.00,633.00,612.80,620.00,620.00,0.00,0.00,625.78,"143,035.00",617.90,"89,508,121.20",522,2.10,20.20,0.34,3.30,-0.93,545.92,524.82,695.00,445.10
CGH,37.65,776.00,778.00,770.00,772.20,772.20,0.00,0.00,773.26,"7,038.00",768.40,"5,442,221.40",60,3.80,8.00,0.49,1.04,-0.14,828.27,846.76,"1,150.00",748.00
CHCL,37.05,480.00,483.90,478.00,482.00,482.00,0.00,0.00,482.24,"8,055.00",480.00,"3,884,457.50",103,2.00,5.90,0.42,1.23,-0.05,483.34,486.10,584.00,450.30
CHDC,34.95,"2,109.00","2,139.00","2,080.00","2,110.00","2,110.00",0.00,0.00,"2,107.45","33,496.00","2,124.00","70,591,169.50",242,-14.00,59.00,-0.66,2.84,0.12,"2,351.67","2,331.69","2,997.90","1,990.00"
CHL,33.45,268.00,273.80,265.00,267.00,267.00,0.00,0.00,266.92,"5,273.00",267.10,"1,407,473.50",40,-0.10,8.80,-0.04,3.32,0.03,287.12,276.04,352.00,223.40
CIT,33.02,"1,700.00","1,709.00","1,700.00","1,700.00","1,700.00",0.00,0.00,"1,701.27","3,365.00","1,704.00","5,724,759.90",104,-4.00,9.00,-0.23,0.53,-0.07,"1,776.18","1,801.95","2,168.00","1,630.30"
CITY,21.35,404.90,404.90,390.00,392.50,392.50,0.00,0.00,393.80,"137,190.00",401.80,"54,025,562.50",558,-9.30,14.90,-2.31,3.82,-0.33,454.22,480.91,998.40,349.20
CKHL,28.87,622.00,622.00,590.00,600.00,600.00,0.00,0.00,603.87,336.00,609.00,"202,901.00",16,-9.00,32.00,-1.48,5.42,-0.65,682.51,662.00,804.00,550.00
CLI,34.82,445.30,452.00,445.30,448.90,448.90,0.00,0.00,449.13,"6,174.00",451.00,"2,772,898.90",133,-2.10,6.70,-0.47,1.50,-0.05,465.39,467.18,540.00,411.00
CORBL,38.24,"1,775.00","1,800.00","1,705.00","1,775.00","1,775.00",0.00,0.00,"1,763.03","2,314.00","1,700.00","4,079,641.10",134,75.00,95.00,4.41,5.57,0.67,"1,851.28","1,815.21","3,183.00","1,431.00"
