Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,32.04,710.00,721.00,709.00,710.00,710.40,177.00,709.10,"125,740.00",16,0.90,12.00,0.13,1.69,-0.06,790.46,849.89,"1,566.00",688.20
ADBL,44.92,315.00,315.00,311.00,311.10,311.16,"156,925.00",312.50,"48,829,366.90",90,-1.40,4.00,-0.45,1.29,-0.02,319.95,333.94,510.00,298.00
ADBLD83,29.95,931.00,931.00,931.00,931.00,931.00,25.00,931.00,"23,275.00",1,0.00,0.00,0.00,0.00,0.00,"1,013.77",-,"1,091.00",931.00
AHPC,26.92,267.00,270.70,266.00,267.80,267.13,"9,326.00",267.00,"2,491,296.80",70,0.80,4.70,0.30,1.77,0.25,322.17,353.27,628.30,251.40
AIL,34.41,384.00,385.00,365.00,365.00,371.60,"7,213.00",380.00,"2,680,368.30",93,-15.00,20.00,-3.95,5.48,-1.81,584.43,626.94,806.00,365.00
AKJCL,29.08,171.00,174.00,168.00,169.40,170.50,"8,254.00",171.00,"1,407,277.00",45,-1.60,6.00,-0.94,3.57,-0.65,194.10,209.16,350.00,161.00
AKPL,37.21,342.10,346.70,342.10,343.00,344.42,"15,365.00",343.00,"5,291,944.90",95,0.00,4.60,0.00,1.34,-0.41,419.00,427.37,624.00,340.00
ALBSL,41.36,909.00,945.00,909.00,930.00,922.40,729.00,909.00,"672,428.00",19,21.00,36.00,2.31,3.96,0.82,"1,101.73","1,171.85","1,750.00",874.30
ALICL,33.03,503.00,515.00,503.00,510.00,509.19,"5,296.00",510.20,"2,696,674.50",64,-0.20,12.00,-0.04,2.39,0.16,538.95,596.11,"1,374.00",428.00
API,36.57,211.00,211.00,207.00,210.00,208.51,"73,733.00",211.00,"15,373,904.30",175,-1.00,4.00,-0.47,1.93,0.71,237.84,261.63,575.00,200.00
AVYAN,35.09,706.00,721.00,693.00,700.00,701.63,"1,775.00",693.10,"1,245,397.00",118,6.90,28.00,1.00,4.04,-0.23,-,-,963.00,316.00
BARUN,31.46,198.00,203.90,197.00,201.00,200.87,"10,121.00",200.00,"2,032,977.90",81,1.00,6.90,0.50,3.50,0.07,281.31,336.06,595.00,197.00
BBC,43.66,"3,210.00","3,268.00","3,210.00","3,268.00","3,239.00",20.00,"3,269.00","64,780.00",2,-1.00,58.00,-0.03,1.81,0.89,"3,476.03","3,632.20","5,763.00","3,130.10"
BFC,32.02,310.00,310.00,306.00,306.00,306.33,"1,488.00",311.00,"455,819.80",17,-5.00,4.00,-1.61,1.31,-0.11,357.41,371.19,577.00,298.00
BHDC,36.02,343.00,354.50,343.00,350.00,350.35,"6,181.00",348.00,"2,165,538.00",106,2.00,11.50,0.57,3.35,-0.10,-,-,520.00,310.00
BHL,26.83,241.90,260.00,241.90,249.60,249.62,"5,119.00",246.80,"1,277,820.00",92,2.80,18.10,1.13,7.48,-0.01,272.70,-,397.00,104.70
BNHC,30.70,323.00,335.50,323.00,335.50,325.44,205.00,329.50,"66,716.00",19,6.00,12.50,1.82,3.87,3.00,380.32,416.06,744.00,246.70
BNT,36.83,"12,970.00","13,050.00","12,651.00","12,970.00","12,886.09",780.00,"12,870.00","10,051,153.00",22,100.00,399.00,0.78,3.15,0.65,"12,871.42","13,224.36","17,670.00","11,088.70"
BOKL,29.68,204.00,207.90,202.00,205.50,205.01,"12,243.00",206.00,"2,509,919.80",112,-0.50,5.90,-0.24,2.92,0.24,260.88,281.08,330.00,202.00
BPCL,26.24,305.00,306.00,302.00,302.60,304.45,"3,996.00",305.80,"1,216,576.80",48,-3.20,4.00,-1.05,1.32,-0.61,315.02,331.83,498.00,288.00
CBBL,31.52,"1,105.00","1,113.00","1,105.00","1,106.00","1,108.97","3,916.00","1,109.90","4,342,729.40",80,-3.90,8.00,-0.35,0.72,-0.27,"1,044.70","1,054.64","1,630.00",882.00
CBL,25.92,211.20,214.80,211.10,214.80,212.23,"27,380.00",213.00,"5,810,867.30",102,1.80,3.70,0.85,1.75,1.20,219.38,230.50,285.40,194.00
CBLD88,31.91,838.00,838.00,838.00,838.00,838.00,25.00,836.00,"20,950.00",1,2.00,0.00,0.24,0.00,0.00,-,-,"1,000.00",834.30
