Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,46.56,679.90,679.90,653.80,670.00,663.01,"1,425.00",667.10,"944,793.90",40,2.90,26.10,0.43,3.99,1.04,634.86,669.56,977.10,530.00
ADBL,59.02,262.00,262.00,252.00,255.00,257.12,"50,631.00",258.80,"13,018,196.60",355,-3.80,10.00,-1.47,3.97,-0.83,253.28,275.05,355.80,224.00
AHL,58.20,328.10,347.00,328.10,339.10,340.80,"4,735.00",334.00,"1,613,691.00",150,5.10,18.90,1.53,5.76,-0.50,0.00,0.00,480.90,298.80
AHPC,53.60,259.90,261.50,252.90,255.10,257.29,"102,058.00",257.00,"26,258,892.50",363,-1.90,8.60,-0.74,3.40,-0.86,293.49,289.27,408.00,240.50
AKJCL,53.18,194.00,195.30,190.30,192.90,192.70,"23,105.00",191.50,"4,452,335.50",124,1.40,5.00,0.73,2.63,0.10,218.85,206.62,262.00,159.80
AKPL,51.13,228.00,231.90,223.00,226.10,226.82,"93,412.00",227.50,"21,187,317.10",424,-1.40,8.90,-0.62,3.99,-0.32,373.96,372.40,519.00,220.00
ALBSL,51.32,830.00,830.00,802.00,807.00,806.68,"1,500.00",818.00,"1,210,015.20",52,-11.00,28.00,-1.34,3.49,0.04,783.32,840.08,"1,392.00",649.00
ALICL,43.88,770.00,770.00,747.00,755.00,753.31,"50,722.00",762.00,"38,209,274.20",258,-7.00,23.00,-0.92,3.08,0.22,642.96,603.10,812.00,428.00
ANLB,43.22,"2,410.00","2,424.90","2,325.00","2,355.00","2,365.19","3,026.00","2,410.00","7,157,066.60",87,-55.00,99.90,-2.28,4.30,-0.43,0.00,0.00,"2,651.00",403.80
API,51.81,200.00,201.50,195.00,198.10,198.40,"88,593.00",198.00,"17,577,184.90",477,0.10,6.50,0.05,3.33,-0.15,249.44,240.35,315.00,192.00
AVYAN,59.64,717.40,777.00,717.40,777.00,733.13,"7,940.00",732.00,"5,821,089.00",171,45.00,59.60,6.15,8.31,5.65,649.48,674.85,963.00,316.00
BARUN,58.24,252.00,259.00,248.00,255.80,254.73,"32,288.00",248.00,"8,224,774.20",238,7.80,11.00,3.15,4.44,0.42,256.08,243.23,319.00,190.30
BBC,63.15,"3,700.00","4,101.90","3,680.00","4,101.90","3,983.98","3,432.00","3,729.00","13,673,019.50",155,372.90,421.90,10.00,11.46,2.87,"3,315.18","3,307.51","4,101.90","3,050.00"
BEDC,56.46,230.00,236.60,226.00,236.00,229.67,"12,037.00",232.00,"2,764,530.80",330,4.00,10.60,1.72,4.69,2.68,0.00,0.00,326.30,202.80
BFC,42.95,365.00,365.00,353.10,357.00,355.70,"10,567.00",358.70,"3,758,653.60",80,-1.70,11.90,-0.47,3.37,0.36,326.66,326.14,475.00,287.00
BHDC,37.64,363.00,377.00,363.00,377.00,368.01,"1,395.00",370.00,"513,369.00",77,7.00,14.00,1.89,3.86,2.39,407.99,389.48,520.00,310.00
BHL,53.10,260.00,265.00,250.00,258.00,254.08,"12,072.00",260.00,"3,067,222.00",126,-2.00,15.00,-0.77,6.00,1.52,311.93,293.25,397.00,225.40
BHPL,53.91,441.50,465.10,441.50,457.10,456.22,"2,687.00",450.00,"1,225,854.80",72,7.10,23.60,1.58,5.35,0.19,500.49,0.00,677.20,194.30
BNHC,56.28,332.30,340.00,321.60,339.00,333.42,"2,820.00",339.00,"940,258.20",40,0.00,18.40,0.00,5.72,1.64,395.55,384.74,484.70,312.00
BNT,62.91,"14,640.00","16,005.00","14,640.00","15,695.00","15,322.95","1,150.00","14,550.00","17,621,387.00",70,"1,145.00","1,365.00",7.87,9.32,2.37,"12,730.17","12,708.11","16,005.00","11,152.00"
BOKD86,46.48,800.00,810.00,800.00,810.00,807.45,415.00,808.80,"335,090.00",8,1.20,10.00,0.15,1.25,0.32,0.00,0.00,859.40,738.50
BPCL,59.37,325.30,342.90,325.30,333.30,331.47,"26,102.00",330.00,"8,651,980.10",153,3.30,17.60,1.00,5.41,0.55,323.03,318.61,377.00,288.00
BPW,55.01,"1,510.00","1,519.90","1,389.00","1,448.00","1,433.45","3,428.00","1,490.70","4,913,855.00",182,-42.70,130.90,-2.86,9.42,1.01,0.00,0.00,"1,710.00",233.10
CBBL,42.57,"1,010.00","1,012.90",998.00,"1,001.00","1,001.92","13,129.00","1,004.00","13,154,216.00",231,-3.00,14.90,-0.30,1.49,-0.09,927.22,986.54,"1,303.00",727.00
CBLD88,38.87,935.00,935.00,934.00,934.00,934.50,100.00,952.20,"93,450.00",2,-18.20,1.00,-1.91,0.11,-0.05,869.38,0.00,"1,024.00",813.00
CFCL,41.45,403.20,403.20,391.00,394.00,394.97,"17,179.00",396.20,"6,785,249.90",103,-2.20,12.20,-0.56,3.12,-0.25,325.99,323.29,423.00,275.50
CGH,47.50,"1,327.00","1,353.00","1,283.20","1,309.00","1,306.69","2,627.00","1,301.00","3,432,676.00",71,8.00,69.80,0.61,5.44,0.18,"1,193.29","1,145.83","1,487.00",940.00
CHCL,57.27,548.00,554.90,535.00,542.00,541.56,"43,407.00",538.10,"23,507,522.50",254,3.90,19.90,0.72,3.72,0.08,493.36,456.35,594.00,350.10
CHDC,57.47,940.00,975.00,910.00,965.00,951.04,"35,587.00",927.50,"33,844,496.50",502,37.50,65.00,4.04,7.14,1.45,779.63,738.30,975.00,590.00
CHL,51.65,273.00,273.00,265.60,266.00,268.56,"4,283.00",271.00,"1,150,227.60",29,-5.00,7.40,-1.85,2.79,-0.96,302.62,276.31,370.00,193.10
CIT,52.33,"2,130.00","2,130.00","2,115.00","2,118.10","2,120.09","13,474.00","2,130.00","28,566,137.00",350,-11.90,15.00,-0.56,0.71,-0.09,"2,132.99","2,061.99","3,072.00","1,780.00"
CITY,45.07,680.00,689.00,670.00,673.00,677.02,"35,863.00",681.00,"24,279,836.50",702,-8.00,19.00,-1.17,2.84,-0.60,0.00,0.00,744.00,111.10
CLBSL,55.04,766.00,819.00,750.00,819.00,759.90,"1,704.00",771.00,"1,294,869.30",34,48.00,69.00,6.23,9.20,7.22,681.34,719.48,"1,018.00",524.90
CMF1,41.64,8.33,8.33,8.03,8.25,8.14,"11,150.00",8.50,"90,799.50",14,-0.25,0.30,-2.94,3.74,1.29,8.01,7.95,9.40,6.75
CMF2,54.88,10.19,10.19,9.35,9.35,9.67,700.00,10.39,"6,771.00",7,-1.04,0.84,-10.01,8.98,-3.45,8.18,8.14,10.39,7.03
CORBL,56.73,374.20,400.00,362.40,386.50,378.30,"35,716.00",367.00,"13,511,434.90",230,19.50,37.60,5.31,10.38,2.12,311.20,302.50,400.00,243.20
CYCL,58.17,"1,469.00","1,498.20","1,400.00","1,497.00","1,419.33","4,976.00","1,448.00","7,062,605.70",215,49.00,98.20,3.38,7.01,5.19,0.00,0.00,"2,734.80","1,168.00"
CZBIL,61.15,194.00,196.90,187.50,189.00,190.10,"115,934.00",193.20,"22,038,959.60",443,-4.20,9.40,-2.17,5.01,-0.58,178.53,181.78,224.00,165.00
DDBL,41.49,837.50,838.00,812.40,814.00,820.99,"9,196.00",837.00,"7,549,814.10",167,-23.00,25.60,-2.75,3.15,-0.86,752.45,827.52,"1,178.00",606.70
DHPL,48.44,181.00,188.00,181.00,184.10,184.24,"5,358.00",183.00,"987,173.90",48,1.10,7.00,0.60,3.87,-0.08,214.13,204.59,262.00,160.10
DOLTI,58.69,225.00,242.70,225.00,242.70,233.10,"15,045.00",228.30,"3,507,026.00",392,14.40,17.70,6.31,7.87,3.95,0.00,0.00,311.00,221.80
DORDI,51.88,242.00,257.00,240.50,249.30,245.17,"1,816.00",245.00,"445,220.60",123,4.30,16.50,1.76,6.86,1.66,286.94,274.19,408.00,217.00
