Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,39.36,711.00,719.90,680.00,680.00,691.24,"1,492.00",698.00,"1,031,322.70",48,-18.00,39.90,-2.58,5.87,-1.65,760.37,793.01,"1,407.00",600.00
ADBL,35.10,286.70,292.00,283.00,285.00,285.74,"23,893.00",286.00,"6,827,199.00",213,-1.00,9.00,-0.35,3.18,-0.26,315.14,318.85,411.00,280.00
ADLB,34.84,"1,734.00","1,734.00","1,600.40","1,650.00","1,649.06","1,238.00","1,700.00","2,041,531.00",73,-50.00,133.60,-2.94,8.35,0.06,0.00,0.00,"2,705.00",256.80
AHPC,46.02,305.00,307.00,290.20,304.00,299.41,"159,699.00",302.00,"47,815,709.00",466,2.00,16.80,0.66,5.79,1.51,301.96,324.03,565.00,250.00
AIL,45.17,488.00,488.00,461.00,474.00,469.97,"6,017.00",479.90,"2,827,807.00",88,-5.90,27.00,-1.23,5.86,0.85,501.47,571.19,768.90,344.00
AKBSL,37.87,975.00,975.00,916.00,950.00,945.41,"1,838.00",972.00,"1,737,657.80",62,-22.00,59.00,-2.26,6.44,0.48,835.24,0.00,"1,907.00",391.50
AKJCL,47.21,236.60,237.00,224.60,231.00,231.74,"66,921.00",232.00,"15,508,511.40",292,-1.00,12.40,-0.43,5.52,-0.32,198.85,201.95,330.00,159.80
AKPL,42.36,407.00,407.00,392.90,398.00,397.25,"49,443.00",402.00,"19,641,077.10",292,-4.00,14.10,-1.00,3.59,0.19,395.85,414.96,560.60,325.00
ALBSL,32.94,895.00,900.00,856.00,899.00,883.30,"1,586.00",890.10,"1,400,912.90",37,8.90,44.00,1.00,5.14,1.75,"1,008.61","1,087.95","1,470.00",822.00
ALICL,43.66,653.00,658.00,630.20,650.00,642.27,"38,234.00",650.00,"24,556,488.90",194,0.00,27.80,0.00,4.41,1.19,560.90,568.13,"1,007.70",428.00
API,40.12,256.00,267.00,255.00,258.20,259.96,"139,651.00",261.00,"36,303,528.20",619,-2.80,12.00,-1.07,4.71,-0.68,240.11,246.33,531.00,200.00
AVYAN,37.43,693.00,693.00,653.50,662.00,671.07,"5,296.00",680.00,"3,554,012.20",156,-18.00,39.50,-2.65,6.04,-1.37,0.00,0.00,963.00,316.00
BARUN,45.23,272.00,272.00,256.00,267.80,263.41,"35,738.00",268.00,"9,413,920.20",184,-0.20,16.00,-0.07,6.25,1.64,237.54,287.24,574.00,190.30
BBC,42.36,"3,230.00","3,354.00","3,230.00","3,354.00","3,279.24",170.00,"3,230.00","557,470.00",6,124.00,124.00,3.84,3.84,2.23,"3,364.18","3,454.45","4,794.00","3,083.00"
BFC,42.19,343.50,344.00,316.80,332.10,329.54,"15,969.00",338.00,"5,262,416.30",125,-5.90,27.20,-1.75,8.59,0.77,342.15,354.86,491.70,292.50
BHDC,47.91,419.00,426.60,408.00,418.00,414.03,"10,820.00",424.00,"4,479,844.00",153,-6.00,18.60,-1.42,4.56,0.95,386.05,0.00,520.00,310.00
BHL,40.46,352.00,357.00,334.00,356.00,346.63,"9,301.00",351.00,"3,224,031.50",161,5.00,23.00,1.42,6.89,2.63,289.29,279.33,397.00,104.70
BHPL,28.50,590.00,610.00,570.00,584.00,581.54,"8,772.00",601.80,"5,101,242.50",96,-17.80,40.00,-2.96,7.02,0.42,0.00,0.00,677.20,194.30
BNHC,42.01,430.00,437.80,414.30,433.50,421.81,"4,256.00",430.00,"1,795,206.00",73,3.50,23.50,0.81,5.67,2.70,387.43,388.89,715.00,306.00
BNT,49.42,"13,300.00","13,900.00","12,551.00","13,900.00","12,942.75",606.00,"13,327.10","7,843,305.00",32,572.90,"1,349.00",4.30,10.75,6.89,"12,971.44","13,023.44","15,371.30","11,396.00"
BPCL,43.40,322.00,323.00,315.80,318.00,317.57,"4,231.00",319.00,"1,343,623.10",67,-1.00,7.20,-0.31,2.28,0.14,313.18,318.36,448.30,288.00
CBBL,35.98,"1,094.00","1,115.00","1,055.00","1,072.00","1,083.72","29,668.00","1,094.00","32,151,702.10",641,-22.00,60.00,-2.01,5.69,-1.09,"1,094.94","1,072.70","1,305.00",882.00
CBLD88,31.07,813.00,813.00,813.00,813.00,813.00,25.00,826.00,"20,325.00",1,-13.00,0.00,-1.57,0.00,0.00,0.00,0.00,"1,000.00",813.00
CCBD88,27.90,816.00,820.00,816.00,820.00,818.00,50.00,825.10,"40,900.00",2,-5.10,4.00,-0.62,0.49,0.24,0.00,0.00,"1,000.00",816.00
CFCL,43.77,329.90,336.30,311.10,323.00,323.79,"11,506.00",329.90,"3,725,580.60",92,-6.90,25.20,-2.09,8.10,-0.25,325.88,320.24,462.90,237.00
CGH,39.59,"1,228.00","1,240.00","1,181.20","1,202.00","1,199.26","2,825.00","1,228.90","3,387,918.00",75,-26.90,58.80,-2.19,4.98,0.23,"1,087.08","1,077.66","1,487.00",900.20
CHCL,33.61,460.00,469.20,452.00,465.90,459.15,"49,232.00",459.00,"22,604,865.70",238,6.90,17.20,1.50,3.81,1.45,397.66,399.20,529.00,347.90
CHDC,46.18,744.00,749.00,728.00,743.00,733.44,"4,416.00",744.00,"3,238,860.90",86,-1.00,21.00,-0.13,2.88,1.29,688.59,706.35,"1,024.00",590.00
CHL,45.68,370.00,370.00,340.10,352.00,352.44,"69,897.00",369.00,"24,634,671.40",333,-17.00,29.90,-4.61,8.79,-0.13,248.68,255.71,506.00,193.10
