Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,31.36,651.00,663.00,641.00,641.00,649.56,593.00,663.50,"385,189.00",32,-22.50,22.00,-3.39,3.43,-1.34,755.81,789.92,"1,407.00",600.00
ADBL,31.73,280.20,281.10,278.60,279.30,279.78,"17,392.00",282.00,"4,865,932.90",173,-2.70,2.50,-0.96,0.90,-0.17,314.13,317.74,411.00,278.60
ADBLD83,29.48,865.10,865.10,865.10,865.10,865.10,50.00,865.10,"43,255.00",1,0.00,0.00,0.00,0.00,0.00,991.41,"1,018.18","1,066.00",865.10
ADLB,27.89,"1,675.00","1,675.00","1,499.00","1,592.00","1,575.47","1,447.00","1,663.70","2,279,699.80",79,-71.70,176.00,-4.31,11.74,1.04,0.00,0.00,"2,705.00",256.80
AHPC,35.46,302.00,302.00,290.50,292.00,294.18,"81,929.00",302.00,"24,102,052.40",315,-10.00,11.50,-3.31,3.96,-0.75,300.40,322.36,534.40,250.00
AIL,27.84,454.00,460.00,453.00,460.00,454.75,"2,081.00",463.00,"946,336.00",38,-3.00,7.00,-0.65,1.55,1.14,496.50,566.93,768.90,344.00
AKBSL,37.27,981.00,"1,000.00",967.20,975.00,975.95,348.00,"1,000.00","339,629.30",28,-25.00,32.80,-2.50,3.39,-0.10,849.80,0.00,"1,907.00",391.50
AKJCL,28.60,225.10,228.60,222.00,222.00,223.42,"33,899.00",225.10,"7,573,624.60",164,-3.10,6.60,-1.38,2.97,-0.64,199.08,202.02,314.00,159.80
AKPL,29.71,397.00,400.00,393.00,394.00,395.77,"46,273.00",397.00,"18,313,437.10",204,-3.00,7.00,-0.76,1.78,-0.45,394.56,414.01,530.00,325.00
ALBSL,32.22,844.00,844.00,828.10,841.00,835.15,"1,249.00",859.00,"1,043,100.10",34,-18.00,15.90,-2.10,1.92,0.70,"1,000.64","1,081.22","1,468.20",822.00
ALICL,32.29,636.30,644.00,630.00,631.50,635.82,"18,874.00",642.20,"12,000,377.10",110,-10.70,14.00,-1.67,2.22,-0.68,562.02,569.23,"1,007.70",428.00
API,31.01,257.90,260.80,252.00,252.70,255.37,"60,897.00",257.90,"15,551,234.00",383,-5.20,8.80,-2.02,3.49,-1.06,239.98,245.99,525.00,200.00
AVYAN,28.82,637.00,648.00,623.00,625.10,632.64,"2,099.00",650.00,"1,327,905.00",92,-24.90,25.00,-3.83,4.01,-1.21,0.00,0.00,963.00,316.00
BARUN,19.43,269.30,269.30,257.00,257.60,261.20,"19,087.00",265.00,"4,985,517.20",115,-7.40,12.30,-2.79,4.79,-1.40,237.12,284.01,541.60,190.30
BBC,34.62,"3,250.00","3,260.00","3,206.00","3,206.00","3,247.45",121.00,"3,255.00","392,941.00",8,-49.00,54.00,-1.51,1.68,-1.29,"3,353.39","3,448.22","4,670.00","3,083.00"
BFC,24.38,323.00,325.00,322.00,323.00,323.08,"5,087.00",329.00,"1,643,507.90",44,-6.00,3.00,-1.82,0.93,-0.02,340.38,353.91,491.70,292.50
BHDC,26.06,409.20,417.00,409.20,412.10,412.80,"6,480.00",415.10,"2,674,941.00",99,-3.00,7.80,-0.72,1.91,-0.17,384.65,0.00,520.00,310.00
BHL,24.21,344.00,348.00,333.00,342.70,337.61,"7,078.00",350.90,"2,389,609.00",109,-8.20,15.00,-2.34,4.50,1.49,289.62,282.59,397.00,104.70
BHPL,23.09,605.80,605.80,547.00,565.90,554.70,"5,055.00",594.00,"2,804,012.50",123,-28.10,58.80,-4.73,10.75,1.98,0.00,0.00,677.20,194.30
BNHC,42.78,411.60,439.00,404.00,438.00,415.99,"4,300.00",420.00,"1,788,760.00",85,18.00,35.00,4.29,8.66,5.02,387.62,389.12,715.00,306.00
BNT,32.82,"12,815.00","13,056.00","12,294.00","13,056.00","12,416.65",912.00,"12,564.70","11,323,982.00",27,491.30,762.00,3.91,6.20,4.90,"12,956.45","13,004.36","15,371.30","11,396.00"
BOKD86,25.25,760.00,760.00,760.00,760.00,760.00,25.00,775.00,"19,000.00",1,-15.00,0.00,-1.94,0.00,0.00,0.00,0.00,980.00,738.50
BPCL,31.89,315.00,318.00,312.20,312.70,314.11,"8,951.00",318.00,"2,811,600.40",67,-5.30,5.80,-1.67,1.86,-0.45,313.01,317.91,426.30,288.00
CBBL,32.00,"1,035.00","1,040.00","1,010.00","1,016.00","1,018.20","18,807.00","1,035.00","19,149,281.40",388,-19.00,30.00,-1.84,2.97,-0.22,"1,094.59","1,073.20","1,305.00",882.00
CFCL,24.73,315.00,321.00,311.00,315.00,314.26,"7,605.00",318.40,"2,389,931.10",79,-3.40,10.00,-1.07,3.22,0.24,325.56,320.66,462.90,237.00
CGH,27.30,"1,185.00","1,187.00","1,170.00","1,185.00","1,177.81",866.00,"1,187.00","1,019,985.80",44,-2.00,17.00,-0.17,1.45,0.61,"1,090.30","1,079.19","1,487.00",900.20
CHCL,38.23,472.00,479.50,469.50,472.50,474.02,"30,451.00",475.30,"14,434,417.40",141,-2.80,10.00,-0.59,2.13,-0.32,399.46,400.08,506.00,347.90
CHDC,25.63,740.00,740.00,712.30,715.10,717.23,"2,910.00",726.00,"2,087,128.40",76,-10.90,27.70,-1.50,3.89,-0.30,687.53,706.38,964.00,590.00
CHL,23.81,331.20,338.00,328.50,328.50,332.76,"17,364.00",337.00,"5,778,058.90",122,-8.50,9.50,-2.52,2.89,-1.30,250.32,256.43,495.00,193.10
CIT,32.25,"2,040.00","2,040.00","2,010.00","2,017.00","2,017.21","7,833.00","2,041.00","15,800,821.90",195,-24.00,30.00,-1.18,1.49,-0.01,"1,959.72","2,150.93","3,297.00","1,780.00"
CLBSL,37.98,653.00,653.00,592.00,627.00,613.83,"7,130.00",653.00,"4,376,609.40",88,-26.00,61.00,-3.98,10.30,2.10,824.62,822.89,"1,018.00",592.00
CMF1,29.42,7.84,7.84,7.54,7.55,7.57,"3,400.00",8.00,"25,741.00",4,-0.45,0.30,-5.63,3.98,-0.28,8.10,8.23,10.00,6.75
CMF2,20.48,7.88,7.88,7.87,7.87,7.88,500.00,7.97,"3,939.00",2,-0.10,0.01,-1.25,0.13,-0.10,8.29,8.60,10.76,7.24
CORBL,25.08,305.10,309.00,300.00,307.00,302.39,"5,400.00",309.00,"1,632,924.50",53,-2.00,9.00,-0.65,3.00,1.50,294.95,298.46,600.20,211.30
CYCL,29.11,"1,508.00","1,538.00","1,479.40","1,483.00","1,490.29",880.00,"1,538.00","1,311,451.00",51,-55.00,58.60,-3.58,3.96,-0.49,0.00,0.00,"2,734.80",382.20
CZBIL,31.35,185.00,187.60,182.70,182.70,184.26,"15,120.00",184.10,"2,785,999.00",117,-1.40,4.90,-0.76,2.68,-0.85,190.88,196.68,278.60,175.00
DDBL,40.98,811.10,827.00,811.10,819.00,819.65,"20,946.00",818.00,"17,168,347.60",341,1.00,15.90,0.12,1.96,-0.08,959.25,966.78,"1,199.00",756.00
DHPL,26.48,235.00,235.00,223.00,227.00,225.00,"7,318.00",232.00,"1,646,530.90",80,-5.00,12.00,-2.16,5.38,0.88,200.24,204.41,327.00,160.10
DLBS,31.32,995.00,995.00,968.00,968.00,980.06,350.00,995.00,"343,021.00",24,-27.00,27.00,-2.71,2.79,-1.25,0.00,0.00,"1,662.00",177.70
DORDI,26.09,319.00,319.00,309.10,309.10,311.52,"14,823.00",319.70,"4,617,639.40",178,-10.60,9.90,-3.32,3.20,-0.78,279.29,0.00,408.00,217.00
EBL,25.65,505.00,510.00,500.00,503.00,502.38,"26,744.00",509.00,"13,435,697.70",197,-6.00,10.00,-1.18,2.00,0.12,499.29,487.67,561.00,411.00
EBLD86,36.46,745.00,745.00,745.00,745.00,745.00,25.00,731.10,"18,625.00",1,13.90,0.00,1.90,0.00,0.00,0.00,0.00,"1,000.00",725.00
EDBL,21.69,325.00,331.00,322.40,325.00,324.67,"4,054.00",330.30,"1,316,230.20",57,-5.30,8.60,-1.60,2.67,0.10,326.89,337.26,495.00,291.20
EHPL,25.67,443.00,460.00,435.10,444.90,444.40,"5,547.00",451.50,"2,465,103.10",107,-6.60,24.90,-1.46,5.72,0.11,0.00,0.00,508.00,216.00
ENL,21.70,652.00,664.00,641.10,664.00,650.66,535.00,652.70,"348,101.70",15,11.30,22.90,1.73,3.57,2.01,635.46,658.23,"1,481.90",287.10
FMDBL,29.51,580.20,588.00,577.00,577.00,581.45,"5,775.00",582.00,"3,357,856.40",81,-5.00,11.00,-0.86,1.91,-0.77,668.03,670.36,835.00,559.00
FOWAD,32.15,"1,450.00","1,450.00","1,405.00","1,424.00","1,429.49","2,706.00","1,469.10","3,868,192.90",87,-45.10,45.00,-3.07,3.20,-0.39,"2,338.81","2,385.19","2,950.00","1,357.00"
GBBD85,33.60,744.10,744.10,744.10,744.10,744.10,25.00,755.00,"18,602.50",1,-10.90,0.00,-1.44,0.00,0.00,0.00,0.00,"1,000.00",722.50
GBBL,25.54,356.00,359.00,353.10,358.00,356.34,"18,980.00",358.00,"6,763,345.10",113,0.00,5.90,0.00,1.67,0.46,376.53,378.08,582.10,318.00
GBILD86/87,39.73,759.40,759.40,759.40,759.40,759.40,25.00,744.60,"18,985.00",1,14.80,0.00,1.99,0.00,0.00,0.00,0.00,"1,000.00",730.00
GBIME,29.56,193.10,194.20,191.00,191.00,192.26,"75,249.00",194.00,"14,467,387.10",569,-3.00,3.20,-1.55,1.68,-0.66,287.31,304.08,334.50,191.00
GBLBS,33.33,516.00,516.00,503.00,503.00,511.09,"6,688.00",521.90,"3,418,182.50",64,-18.90,13.00,-3.62,2.58,-1.61,627.23,672.54,957.00,500.00
GFCL,27.49,461.20,469.90,461.20,463.00,463.68,"2,165.00",467.00,"1,003,869.80",33,-4.00,8.70,-0.86,1.89,-0.15,473.85,474.44,634.00,358.00
GHL,22.79,262.00,267.00,258.30,259.00,262.14,"31,012.00",267.00,"8,129,504.80",185,-8.00,8.70,-3.00,3.37,-1.21,220.49,218.75,341.00,164.20
GIBF1,40.88,7.96,7.96,7.92,7.92,7.95,"1,600.00",8.07,"12,716.00",6,-0.15,0.04,-1.86,0.51,-0.35,0.00,0.00,10.00,7.55
GILB,33.77,854.00,854.00,810.00,810.00,820.80,"7,983.00",871.00,"6,552,411.70",117,-61.00,44.00,-7.00,5.43,-1.33,"1,180.11","1,220.51","1,689.80",810.00
GIMES1,38.98,9.50,9.63,9.48,9.63,9.49,"19,100.00",9.62,"181,339.00",9,0.01,0.15,0.10,1.58,1.41,9.03,9.29,12.07,8.08
GLBSL,32.16,701.40,715.40,701.40,715.40,712.58,51.00,710.60,"36,341.40",4,4.80,14.00,0.68,2.00,0.39,863.75,919.08,"1,379.00",682.00
GLH,22.39,300.00,305.00,297.00,300.00,300.57,"9,459.00",305.00,"2,843,096.30",109,-5.00,8.00,-1.64,2.69,-0.19,274.40,292.07,511.00,219.00
GLICL,29.87,412.90,419.90,406.70,406.70,411.53,"16,166.00",419.10,"6,652,797.40",129,-12.40,13.20,-2.96,3.25,-1.19,570.23,579.29,721.00,406.70
GMFBS,33.23,730.10,745.00,706.60,745.00,714.72,107.00,745.00,"76,474.80",7,0.00,38.40,0.00,5.43,4.06,854.22,897.50,"1,232.10",706.00
GMFIL,33.98,319.50,330.00,318.00,330.00,320.06,762.00,326.00,"243,886.00",5,4.00,12.00,1.23,3.77,3.01,337.12,329.94,437.50,223.90
GRDBL,23.20,256.00,261.00,256.00,257.00,258.40,"2,393.00",261.00,"618,362.00",19,-4.00,5.00,-1.53,1.95,-0.55,252.84,249.37,363.90,182.00
GUFL,29.80,509.00,515.00,506.10,507.00,510.31,"26,082.00",518.90,"13,309,815.90",162,-11.90,8.90,-2.29,1.76,-0.65,540.35,527.40,715.00,357.00
GVL,22.03,446.00,448.80,435.20,437.00,438.65,"7,456.00",443.00,"3,270,574.00",172,-6.00,13.60,-1.35,3.13,-0.38,354.04,344.41,511.00,255.10
HBL,30.87,276.00,276.00,268.00,268.00,268.84,"4,873.00",272.00,"1,310,052.70",66,-4.00,8.00,-1.47,2.99,-0.31,319.65,317.02,505.00,268.00
HDHPC,30.22,222.10,226.50,219.90,220.00,222.28,"80,942.00",225.00,"17,991,959.60",277,-5.00,6.60,-2.22,3.00,-1.04,199.38,203.50,332.00,161.00
HDL,35.42,"2,256.00","2,256.00","2,195.10","2,196.10","2,207.08","36,830.00","2,256.00","81,286,854.40","1,142",-59.90,60.90,-2.66,2.77,-0.50,"3,309.87","3,354.12","4,323.00","2,195.10"
HEI,29.71,434.00,434.00,416.00,418.90,421.83,"10,161.00",428.00,"4,286,223.00",35,-9.10,18.00,-2.13,4.33,-0.70,400.40,0.00,525.00,345.00
HEIP,36.37,276.40,287.10,276.40,287.10,282.64,738.00,281.50,"208,590.20",6,5.60,10.70,1.99,3.87,1.55,0.00,0.00,367.40,214.20
HHL,30.82,305.20,309.00,300.00,304.00,303.05,"17,888.00",309.00,"5,420,877.20",208,-5.00,9.00,-1.62,3.00,0.31,257.09,0.00,362.10,202.00
HIDCL,26.38,195.50,196.50,193.00,194.10,194.52,"75,535.00",196.00,"14,693,374.00",454,-1.90,3.50,-0.97,1.81,-0.22,186.53,193.75,313.10,159.80
HIDCLP,25.28,103.00,103.00,101.40,101.40,102.08,"33,358.00",102.10,"3,405,233.20",83,-0.70,1.60,-0.69,1.58,-0.67,0.00,0.00,126.40,95.00
HPPL,32.78,316.00,316.00,299.00,304.10,302.09,"15,235.00",312.00,"4,602,397.10",96,-7.90,17.00,-2.53,5.69,0.66,302.55,317.53,476.00,217.60
HURJA,31.06,358.60,370.00,358.60,358.60,362.36,"13,264.00",364.00,"4,806,352.80",22,-5.40,11.40,-1.48,3.18,-1.05,264.35,259.08,508.00,190.50
ICFC,24.23,435.00,436.00,429.00,431.00,432.28,"11,723.00",439.90,"5,067,633.70",114,-8.90,7.00,-2.02,1.63,-0.30,456.96,460.96,680.00,363.00
ICFCD83,25.25,"1,009.00","1,009.00","1,009.00","1,009.00","1,009.00",50.00,990.00,"50,450.00",2,19.00,0.00,1.92,0.00,0.00,"1,052.18","1,081.85","1,144.00",988.10
IGI,29.94,415.00,419.90,410.00,410.00,413.27,"6,394.00",415.00,"2,642,431.90",73,-5.00,9.90,-1.20,2.41,-0.80,402.01,401.19,740.00,333.20
ILBS,37.66,677.00,686.90,650.00,686.90,655.11,"2,692.00",689.00,"1,763,543.50",65,-2.10,36.90,-0.30,5.68,4.63,919.73,942.06,"1,223.00",650.00
JALPA,35.32,"2,499.00","2,550.00","2,450.00","2,455.00","2,478.96","3,050.00","2,550.00","7,560,817.20",141,-95.00,100.00,-3.73,4.08,-0.98,"3,206.41","2,965.56","3,770.00",318.60
JBBL,28.58,272.00,274.00,269.00,271.50,271.13,"23,561.00",272.50,"6,388,178.00",172,-1.00,5.00,-0.37,1.86,0.13,288.83,293.90,434.00,248.00
JBLB,34.50,"2,070.00","2,070.00","1,996.00","1,999.00","2,010.09","8,673.00","2,093.00","17,433,510.30",428,-94.00,74.00,-4.49,3.71,-0.55,"2,660.45","2,704.37","5,260.00","1,896.00"
JFL,21.80,383.20,389.00,381.40,381.40,385.00,"3,950.00",387.90,"1,520,745.10",45,-6.50,7.60,-1.68,1.99,-0.94,389.10,390.69,535.00,305.00
JOSHI,18.49,267.60,269.00,260.00,262.40,264.21,"22,250.00",273.00,"5,878,589.80",145,-10.60,9.00,-3.88,3.46,-0.69,215.44,214.58,320.00,164.80
JSLBB,37.54,"1,240.00","1,276.00","1,225.10","1,269.90","1,244.53",969.00,"1,251.10","1,205,953.30",33,18.80,50.90,1.50,4.15,2.00,"1,624.24","1,697.02","2,335.80","1,225.10"
KBL,32.99,178.40,180.80,178.00,179.00,178.72,"41,960.00",180.00,"7,499,140.80",261,-1.00,2.80,-0.56,1.57,0.16,194.79,201.18,247.00,176.50
KBLPO,30.88,113.00,113.00,113.00,113.00,113.00,"21,019.00",115.00,"2,375,147.00",5,-2.00,0.00,-1.74,0.00,0.00,133.16,0.00,130.00,100.00
KDBY,28.86,8.06,8.20,8.06,8.10,8.09,"1,800.00",8.06,"14,562.00",17,0.04,0.14,0.50,1.74,0.12,8.30,0.00,10.43,7.46
KEF,35.94,8.01,8.18,8.00,8.04,8.04,"11,940.00",8.17,"96,003.60",22,-0.13,0.18,-1.59,2.25,-0.01,8.30,8.49,10.07,7.73
KKHC,20.16,244.10,247.90,243.80,245.00,245.18,"7,473.00",248.50,"1,832,234.80",44,-3.50,4.10,-1.41,1.68,-0.07,208.00,210.73,318.00,163.80
KLBS,40.92,"1,139.70","1,190.30","1,095.00","1,145.00","1,141.58",319.00,"1,162.90","364,165.00",24,-17.90,95.30,-1.54,8.70,0.30,0.00,0.00,"1,870.00",303.20
KLBSL,39.76,680.00,693.00,654.00,693.00,659.77,"1,466.00",689.00,"967,224.70",21,4.00,39.00,0.58,5.96,4.79,836.49,867.21,"1,590.00",646.80
KMCDB,32.67,830.00,830.00,795.00,810.00,801.95,313.00,841.00,"251,010.90",17,-31.00,35.00,-3.69,4.40,0.99,953.77,"1,002.08","1,359.00",775.00
KPCL,28.37,382.50,389.90,372.20,386.00,380.40,"6,448.00",375.00,"2,452,814.00",60,11.00,17.70,2.93,4.76,1.45,348.20,362.13,535.00,289.00
KRBL,25.37,270.00,277.00,265.10,268.00,268.48,"7,465.00",274.00,"2,004,174.50",47,-6.00,11.90,-2.19,4.49,-0.18,255.84,252.56,435.00,198.90
KSBBL,24.64,315.00,316.00,310.00,311.00,311.37,"15,255.00",315.00,"4,750,024.90",93,-4.00,6.00,-1.27,1.94,-0.12,323.47,334.18,515.00,292.00
LBBL,27.63,335.00,335.00,328.00,333.80,330.41,"14,136.00",336.00,"4,670,646.10",101,-2.20,7.00,-0.65,2.13,1.02,355.60,358.04,503.00,290.10
LBL,35.33,191.80,191.80,186.50,186.60,187.72,"25,208.00",190.00,"4,731,924.00",121,-3.40,5.30,-1.79,2.84,-0.60,198.47,200.00,277.00,185.50
LEC,29.00,291.00,291.00,273.60,280.00,280.42,"20,978.00",289.00,"5,882,599.50",132,-9.00,17.40,-3.11,6.36,-0.15,245.81,249.20,395.00,203.00
