Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,057.85","1,060.00","1,041.00","1,044.31","1,044.00",0.31,0.00,"1,045.28",723.00,"1,057.85","755,735.30",26,-13.54,19.00,-1.28,1.83,-0.09,"1,082.19","1,078.68","1,491.00",951.00
ADBL,-,285.00,288.00,284.00,285.52,285.90,-0.38,0.00,285.59,"17,243.00",284.77,"4,924,385.60",132,0.75,4.00,0.26,1.41,-0.02,294.33,317.53,428.40,256.00
ADBLD83,-,"1,097.00","1,097.00","1,080.00","1,080.00","1,080.00",0.00,0.00,"1,084.23",65.00,"1,077.00","70,475.00",4,3.00,17.00,0.28,1.57,-0.39,"1,099.12","1,078.27","1,160.00","1,046.00"
AHL,-,610.50,612.00,590.00,599.35,595.00,4.35,0.01,599.87,"6,273.00",607.79,"3,763,012.70",93,-8.44,22.00,-1.39,3.73,-0.09,732.76,717.71,904.00,482.60
AHPC,-,294.00,307.00,294.00,296.76,297.90,-1.14,0.00,298.37,"376,357.00",298.66,"112,293,054.60",953,-1.90,13.00,-0.64,4.42,-0.54,269.27,272.17,349.00,149.00
AKJCL,-,210.00,213.50,210.00,211.23,211.90,-0.67,0.00,211.77,"123,710.00",209.72,"26,197,602.50",402,1.51,3.50,0.72,1.67,-0.25,205.59,207.76,274.90,150.90
AKPL,-,278.00,283.00,275.60,277.98,278.00,-0.02,0.00,278.50,"467,900.00",278.24,"130,309,764.30","1,285",-0.26,7.40,-0.09,2.69,-0.19,241.60,245.19,326.00,157.20
ALBSL,-,823.00,823.00,802.00,806.68,806.00,0.68,0.00,806.70,"1,367.00",807.58,"1,102,761.80",43,-0.90,21.00,-0.11,2.62,0.00,839.89,889.76,"1,177.00",771.00
ALICL,-,495.20,504.00,495.20,500.28,500.00,0.28,0.00,500.05,"14,101.00",498.13,"7,051,236.90",85,2.15,8.80,0.43,1.78,0.05,714.98,719.25,831.00,493.00
ANLB,-,"5,445.00","5,550.00","5,346.10","5,538.40","5,550.00",-11.60,0.00,"5,469.12",936.00,"5,555.50","5,119,091.90",34,-17.10,203.90,-0.31,3.81,1.25,"5,289.38","5,163.17","6,735.00","2,290.10"
API,-,295.00,304.00,295.00,298.10,297.00,1.10,0.00,298.50,"326,931.00",299.55,"97,587,749.20",812,-1.45,9.00,-0.48,3.05,-0.13,282.08,287.92,390.00,164.00
AVYAN,-,"1,003.00","1,035.00","1,003.00","1,007.99","1,008.10",-0.11,0.00,"1,016.02","3,710.00","1,022.88","3,769,434.00",55,-14.89,32.00,-1.46,3.19,-0.80,"1,067.59","1,036.89","1,306.80",832.00
BARUN,-,374.00,392.00,361.00,387.92,390.00,-2.08,-0.01,376.93,"271,048.00",366.70,"102,167,381.40","1,018",21.22,31.00,5.79,8.59,2.83,478.41,446.46,589.00,290.00
BBC,-,"5,446.10","5,593.00","5,446.10","5,526.27","5,500.00",26.27,0.00,"5,518.41",249.00,"5,535.70","1,374,084.90",24,-9.43,146.90,-0.17,2.70,0.14,"5,747.48","5,372.05","7,247.00","3,851.00"
BEDC,-,714.90,771.00,675.00,761.05,695.00,66.05,0.10,721.08,"118,031.00",729.46,"85,109,797.40",341,31.59,96.00,4.33,14.22,5.25,770.54,679.66,"1,080.00",395.00
BFC,-,489.10,489.10,475.00,475.88,476.30,-0.42,0.00,477.96,"9,446.00",479.60,"4,514,765.30",108,-3.72,14.10,-0.78,2.97,-0.44,582.68,610.76,951.60,440.00
BGWT,-,935.90,935.90,901.60,918.86,920.00,-1.14,0.00,914.64,"1,340.00",917.58,"1,225,616.00",40,1.28,34.30,0.14,3.80,0.46,"1,023.87","1,004.11","1,241.00",857.60
BHDC,-,495.00,506.00,485.10,490.61,490.00,0.61,0.00,495.47,"49,702.00",497.70,"24,625,994.00",347,-7.09,20.90,-1.42,4.31,-0.99,601.88,608.99,829.70,426.00
BHL,-,212.00,215.50,210.10,212.41,213.00,-0.59,0.00,212.78,"196,163.00",211.66,"41,739,305.70",688,0.75,5.40,0.35,2.57,-0.17,305.80,345.05,520.00,209.00
BHPL,-,761.10,781.10,758.00,759.54,759.00,0.54,0.00,761.62,"3,973.00",769.30,"3,025,916.30",95,-9.76,23.10,-1.27,3.05,-0.27,988.16,896.95,"1,308.40",615.00
BNHC,-,522.90,522.90,503.00,505.82,514.90,-9.08,-0.02,507.76,"7,173.00",515.67,"3,642,171.40",106,-9.85,19.90,-1.91,3.96,-0.38,516.23,512.17,742.00,440.00
BNL,-,"16,700.00","16,700.00","16,700.00","16,700.00","16,700.00",0.00,0.00,"16,700.00",10.00,"16,700.00","167,000.00",1,0.00,0.00,0.00,0.00,0.00,"17,281.29","17,246.08","22,500.00","14,900.00"
BNT,-,"12,500.50","12,500.50","12,450.00","12,478.00","12,478.00",0.00,0.00,"12,475.64",90.00,"12,696.84","1,122,808.00",9,-218.84,50.50,-1.72,0.41,0.02,"13,199.46","13,629.94","18,100.00","12,300.00"
BPCL,-,821.00,885.20,821.00,877.13,878.80,-1.67,0.00,857.45,"528,656.00",828.98,"453,298,214.50","2,583",48.15,64.20,5.81,7.82,2.24,451.32,449.38,885.20,286.00
C30MF,-,9.45,9.82,9.30,9.81,9.82,-0.01,0.00,9.59,"7,850.00",9.27,"75,299.00",10,0.54,0.52,5.83,5.59,2.22,9.30,9.47,10.92,8.45
CBBL,-,915.00,915.00,893.00,896.58,896.20,0.38,0.00,898.10,"13,406.00",904.84,"12,039,936.70",123,-8.26,22.00,-0.91,2.46,-0.17,867.81,901.56,"1,155.00",815.00
CBLD88,-,"1,126.00","1,126.00","1,126.00","1,126.00","1,126.00",0.00,0.00,"1,126.00",25.00,"1,130.00","28,150.00",1,-4.00,0.00,-0.35,0.00,0.00,"1,137.38","1,111.43","1,254.20","1,030.00"
CFCL,-,513.00,530.00,511.00,514.00,513.00,1.00,0.00,517.58,"14,433.00",511.07,"7,470,222.70",111,2.93,19.00,0.57,3.72,-0.70,575.32,597.13,820.00,420.00
CGH,-,"1,043.50","1,043.50",976.10,996.84,984.00,12.84,0.01,"1,014.55","202,952.00","1,023.18","205,904,751.50","1,111",-26.34,67.40,-2.57,6.91,-1.78,892.24,909.23,"1,360.00",833.00
CHCL,-,577.00,582.10,571.00,574.90,577.00,-2.10,0.00,576.91,"306,230.00",574.13,"176,668,559.10","1,073",0.77,11.10,0.13,1.94,-0.35,512.59,532.86,697.00,427.00
CHDC,-,"2,598.80","2,598.80","2,538.10","2,541.09","2,538.10",2.99,0.00,"2,554.81","39,919.00","2,564.97","101,985,507.20",457,-23.88,60.70,-0.93,2.39,-0.54,"2,215.16","2,064.17","2,829.00",976.10
CHL,-,314.70,315.00,303.00,307.38,306.40,0.98,0.00,307.72,"40,814.00",309.14,"12,559,270.80",193,-1.76,12.00,-0.57,3.96,-0.11,443.71,417.68,599.70,276.00
CIT,-,"1,886.00","1,898.00","1,886.00","1,890.21","1,891.00",-0.79,0.00,"1,891.39","10,782.00","1,893.47","20,392,986.20",205,-3.26,12.00,-0.17,0.64,-0.06,"1,981.02","2,057.95","2,700.00","1,885.00"
CITY,-,840.40,863.00,840.00,841.82,842.20,-0.38,0.00,846.99,"3,899.00",852.45,"3,302,422.90",73,-10.63,23.00,-1.25,2.74,-0.61,876.53,873.09,"1,168.50",673.10
CKHL,-,630.00,636.00,625.00,626.33,632.00,-5.67,-0.01,626.66,"3,298.00",627.60,"2,066,729.00",62,-1.27,11.00,-0.20,1.76,-0.05,737.83,712.53,910.00,551.00
CLI,-,469.00,472.90,465.00,465.49,465.10,0.39,0.00,466.77,"18,909.00",468.72,"8,826,092.20",385,-3.23,7.90,-0.69,1.70,-0.27,595.04,616.59,774.90,461.00
CMF2,-,9.41,9.55,9.41,9.55,9.55,0.00,0.00,9.51,"3,400.00",9.55,"32,344.00",6,0.00,0.14,0.00,1.49,0.39,9.45,9.52,10.68,8.09
CORBL,-,"2,624.10","2,624.10","2,409.90","2,409.90","2,409.90",0.00,0.00,"2,420.38","8,586.00","2,677.62","20,781,413.50",216,-267.72,214.20,-10.00,8.89,-0.44,"2,022.90","1,713.51","2,842.30",498.20
