Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,58.70,"1,281.00","1,354.00","1,280.00","1,302.00","1,308.08","12,969.00","1,256.00","16,964,444.20",157,46.00,74.00,3.66,5.78,-0.47,"1,477.73","1,522.31","1,938.00",752.00
ADBL,40.69,416.00,418.00,412.00,415.00,415.38,"35,929.00",411.00,"14,924,061.50",390,4.00,6.00,0.97,1.46,-0.09,515.69,492.04,620.00,398.00
AHPC,53.26,447.00,448.00,435.00,435.00,440.74,"125,498.00",442.00,"55,311,521.00",686,-7.00,13.00,-1.58,2.99,-1.32,513.66,466.68,785.00,204.00
AIL,40.28,691.00,717.00,690.00,700.00,704.01,"8,681.00",682.00,"6,111,506.00",157,18.00,27.00,2.64,3.91,-0.57,757.74,795.26,"1,125.00",588.80
AKJCL,43.09,278.00,285.00,272.50,273.90,277.76,"71,847.00",273.00,"19,956,561.10",385,0.90,12.50,0.33,4.59,-1.41,334.74,295.11,502.00,116.00
AKPL,47.69,514.00,515.00,500.00,504.90,507.89,"112,793.00",506.00,"57,286,458.40",674,-1.10,15.00,-0.22,3.00,-0.59,561.97,506.01,882.40,253.00
ALBSL,50.25,"1,417.00","1,522.00","1,417.00","1,518.70","1,486.88","6,071.00","1,438.00","9,026,867.20",64,80.70,105.00,5.61,7.41,2.10,"1,666.08","1,701.11","2,101.20",985.00
ALICL,39.33,"1,165.00","1,200.00","1,163.00","1,171.00","1,180.73","23,341.00","1,165.00","27,559,474.40",230,6.00,37.00,0.52,3.18,-0.83,"1,267.29","1,295.68","1,565.00",903.00
API,60.05,476.30,479.00,460.60,469.00,469.08,"390,115.00",467.00,"182,993,656.30","1,512",2.00,18.40,0.43,3.99,-0.02,474.18,437.50,670.00,239.00
BARUN,37.84,451.00,467.00,451.00,462.00,461.20,"12,098.00",458.00,"5,579,628.90",93,4.00,16.00,0.87,3.55,0.17,522.35,473.49,763.40,167.00
