Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
GBIME,17.53,240.10,240.10,223.00,229.00,229.00,0.00,0.00,227.01,"27,308.00",244.98,"6,199,178.80",80,-15.98,17.10,-6.52,7.67,0.87,236.69,232.40,278.90,210.70
GBLBS,21.91,738.90,738.90,724.20,724.20,724.20,0.00,0.00,734.00,30.00,753.93,"22,020.00",2,-29.73,14.70,-3.94,2.03,-1.35,814.52,819.43,987.00,667.10
GCIL,18.35,467.10,467.10,441.00,441.00,441.00,0.00,0.00,448.48,"2,850.00",476.56,"1,278,165.00",10,-35.56,26.10,-7.46,5.92,-1.70,512.74,511.81,613.00,441.00
GFCL,22.10,586.50,586.50,550.00,550.00,550.00,0.00,0.00,575.03,"1,465.00",598.40,"842,421.50",16,-48.40,36.50,-8.09,6.64,-4.55,654.70,690.78,"1,200.00",550.00
GHL,25.29,212.90,212.90,202.00,204.60,204.60,0.00,0.00,204.51,"17,852.00",217.18,"3,650,951.90",42,-12.58,10.90,-5.79,5.40,0.04,256.86,247.19,318.00,193.50
GIBF1,14.50,9.67,9.67,9.67,9.67,9.67,0.00,0.00,9.67,170.00,9.86,"1,643.90",1,-0.19,0.00,-1.93,0.00,0.00,10.57,10.35,11.68,8.84
GILB,22.29,"1,225.00","1,225.00","1,155.00","1,155.00","1,155.00",0.00,0.00,"1,179.40","1,145.00","1,239.52","1,350,416.50",5,-84.52,70.00,-6.82,6.06,-2.11,"1,278.36","1,272.21","1,441.60","1,118.20"
GLBSL,24.93,"2,018.00","2,018.00","1,977.00","1,977.00","1,977.00",0.00,0.00,"1,987.43",40.00,"2,017.92","79,497.00",4,-40.92,41.00,-2.03,2.07,-0.53,"2,508.58","2,519.42","3,486.00","1,560.00"
GLH,21.81,246.00,246.10,232.00,232.00,232.00,0.00,0.00,236.80,"4,833.00",250.93,"1,144,454.30",19,-18.93,14.10,-7.54,6.08,-2.07,263.42,260.28,306.30,223.80
GMFBS,30.14,"1,560.00","1,600.00","1,560.00","1,600.00","1,600.00",0.00,0.00,"1,564.44",90.00,"1,591.00","140,800.00",3,9.00,40.00,0.57,2.56,2.22,"1,593.24","1,663.38","1,980.00","1,397.00"
GMFIL,22.20,454.50,454.50,454.50,454.50,454.50,0.00,0.00,454.50,400.00,463.70,"181,800.00",2,-9.20,0.00,-1.98,0.00,0.00,492.44,508.62,735.90,436.50
GRDBL,27.14,990.00,990.00,950.60,950.60,950.60,0.00,0.00,963.18,345.00,"1,005.25","332,298.00",11,-54.65,39.40,-5.44,4.14,-1.32,"1,264.50","1,274.88","2,001.40",617.40
GSY,26.54,8.92,8.92,8.92,8.92,8.92,0.00,0.00,8.92,"10,000.00",9.10,"89,200.00",1,-0.18,0.00,-1.98,0.00,0.00,9.30,0.00,10.30,8.80
GUFL,21.27,499.60,499.60,465.50,465.50,465.50,0.00,0.00,479.82,"2,390.00",509.72,"1,146,772.00",22,-44.22,34.10,-8.68,7.33,-3.08,557.93,586.96,840.00,465.50
GVL,18.40,515.30,515.30,473.20,490.00,490.00,0.00,0.00,484.49,"5,977.00",525.73,"2,895,781.00",35,-35.73,42.10,-6.80,8.90,1.13,489.20,505.97,662.00,424.00
