Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,996.90,996.90,980.00,993.90,993.90,0.00,0.00,987.35,"3,124.00",996.90,"3,084,482.40",65,-3.00,16.90,-0.30,1.72,0.66,984.32,"1,017.68","1,240.00",900.00
ADBL,-,313.30,327.00,313.30,322.00,322.00,0.00,0.00,321.69,"195,466.00",315.30,"62,879,665.10",443,6.70,13.70,2.12,4.37,0.10,306.95,310.78,344.90,272.30
AHL,-,539.20,593.00,528.50,560.00,560.00,0.00,0.00,550.22,"45,497.00",550.20,"25,033,135.00",334,9.80,64.50,1.78,12.20,1.75,571.42,592.00,750.00,461.10
AHPC,-,294.50,301.90,293.00,300.40,300.40,0.00,0.00,299.07,"368,792.00",290.30,"110,295,308.60","1,226",10.10,8.90,3.48,3.04,0.44,282.02,285.77,334.00,246.00
AKJCL,-,405.90,413.10,400.00,403.50,403.50,0.00,0.00,405.47,"727,048.00",401.60,"294,796,667.80","1,167",1.90,13.10,0.47,3.28,-0.49,265.99,246.81,431.80,172.90
AKPL,-,279.00,291.00,278.30,286.50,286.50,0.00,0.00,286.57,"380,076.00",278.00,"108,917,073.30","1,137",8.50,12.70,3.06,4.56,-0.02,259.22,260.83,317.00,224.70
ALBSL,-,"1,125.00","1,173.00","1,125.00","1,161.00","1,161.00",0.00,0.00,"1,160.11","9,881.00","1,147.90","11,463,068.00",216,13.10,48.00,1.14,4.27,0.08,"1,114.70","1,054.25","1,334.00",771.00
ALICL,-,463.80,469.00,460.50,466.00,466.00,0.00,0.00,466.23,"19,077.00",463.80,"8,894,241.40",138,2.20,8.50,0.47,1.85,-0.05,468.03,478.41,762.00,430.00
ANLB,-,"6,336.00","6,655.00","6,230.00","6,590.00","6,590.00",0.00,0.00,"6,406.06",441.00,"6,465.00","2,825,072.00",32,125.00,425.00,1.93,6.82,2.79,"6,251.47","6,074.36","6,800.00","5,055.20"
API,-,345.00,357.20,345.00,353.70,353.70,0.00,0.00,354.50,"568,585.00",348.20,"201,565,221.10","1,373",5.50,12.20,1.58,3.54,-0.23,301.90,300.22,368.90,258.80
AVYAN,-,"1,150.00","1,184.00","1,150.00","1,170.00","1,170.00",0.00,0.00,"1,163.30","10,297.00","1,163.10","11,978,498.20",146,6.90,34.00,0.59,2.96,0.57,"1,011.26","1,026.45","1,366.00",906.00
BANDIPUR,-,889.00,927.90,887.10,904.00,904.00,0.00,0.00,906.54,"74,798.00",889.00,"67,807,251.10","1,300",15.00,40.80,1.69,4.60,-0.28,0.00,0.00,"1,233.00",285.00
BARUN,-,372.00,377.00,369.90,369.90,369.90,0.00,0.00,373.08,"107,080.00",369.90,"39,949,358.00",401,0.00,7.10,0.00,1.92,-0.86,342.83,356.76,589.00,292.10
BBC,-,"4,928.90","5,000.00","4,920.00","4,969.00","4,969.00",0.00,0.00,"4,951.84",435.00,"4,851.10","2,154,052.00",22,117.90,80.00,2.43,1.63,0.35,"4,879.68","5,054.54","6,537.00","4,480.00"
BEDC,-,464.00,475.00,460.00,475.00,475.00,0.00,0.00,470.94,"10,726.00",464.00,"5,051,282.30",169,11.00,15.00,2.37,3.26,0.86,546.90,600.61,872.00,424.00
BFC,-,475.00,481.00,470.00,477.50,477.50,0.00,0.00,475.49,"8,547.00",465.70,"4,064,014.80",72,11.80,11.00,2.53,2.34,0.42,472.29,481.64,579.90,411.50
BGWT,-,740.00,750.00,740.00,749.00,749.00,0.00,0.00,746.73,"2,581.00",753.00,"1,927,322.30",65,-4.00,10.00,-0.53,1.35,0.30,775.41,827.16,"1,110.00",710.00
BHCL,-,566.00,572.90,555.00,569.00,569.00,0.00,0.00,565.04,"37,995.00",557.00,"21,468,751.20",650,12.00,17.90,2.15,3.23,0.70,524.96,0.00,699.00,292.10
BHDC,-,498.50,498.50,485.00,489.90,489.90,0.00,0.00,490.38,"34,142.00",488.80,"16,742,507.50",232,1.10,13.50,0.23,2.78,-0.10,496.87,514.86,706.00,426.00
BHL,-,235.70,241.90,232.10,236.30,236.30,0.00,0.00,237.96,"505,034.00",231.10,"120,178,202.30","1,764",5.20,9.80,2.25,4.22,-0.70,196.64,200.12,266.10,164.00
BHPL,-,555.00,566.70,555.00,561.00,561.00,0.00,0.00,563.03,"8,178.00",559.90,"4,604,443.80",91,1.10,11.70,0.20,2.11,-0.36,605.09,660.90,"1,308.40",503.10
BJHL,-,"1,255.00","1,305.00","1,191.00","1,286.00","1,286.00",0.00,0.00,"1,247.22","50,568.00","1,240.00","63,069,335.50","3,131",46.00,114.00,3.71,9.57,3.02,0.00,0.00,"1,305.00",270.10
BNHC,-,353.00,355.00,351.10,354.00,354.00,0.00,0.00,353.64,"18,890.00",353.00,"6,680,343.30",154,1.00,3.90,0.28,1.11,0.10,431.53,459.68,613.80,313.10
BNT,-,"11,620.20","11,625.00","11,620.10","11,625.00","11,625.00",0.00,0.00,"11,621.77",30.00,"11,800.00","348,653.00",3,-175.00,4.90,-1.48,0.04,0.03,"11,654.67","11,897.20","13,349.00","10,660.00"
BPCL,-,729.00,729.00,710.90,711.00,711.00,0.00,0.00,715.56,"56,657.00",714.90,"40,541,351.40",248,-3.90,18.10,-0.55,2.55,-0.64,730.77,774.33,"1,065.00",397.00
BUNGAL,-,615.00,633.30,610.10,618.00,618.00,0.00,0.00,626.48,"15,769.00",615.00,"9,878,921.00",442,3.00,23.20,0.49,3.80,-1.37,0.00,0.00,822.00,302.40
C30MF,-,10.00,10.18,10.00,10.17,10.17,0.00,0.00,10.17,"14,710.00",10.19,"149,585.20",8,-0.02,0.18,-0.20,1.80,0.01,9.51,9.66,10.71,8.70
CBBL,-,915.00,924.00,910.10,921.00,921.00,0.00,0.00,920.30,"10,670.00",912.00,"9,819,597.00",187,9.00,13.90,0.99,1.53,0.08,967.35,984.42,"1,144.80",822.00
CBLD88,-,"1,280.00","1,280.00","1,280.00","1,280.00","1,280.00",0.00,0.00,"1,280.00",10.00,"1,290.00","12,800.00",1,-10.00,0.00,-0.78,0.00,0.00,"1,192.03","1,176.28","1,325.00","1,108.00"
CCBD88,-,"1,240.00","1,240.00","1,232.00","1,232.00","1,232.00",0.00,0.00,"1,236.00",50.00,"1,217.00","61,800.00",2,15.00,8.00,1.23,0.65,-0.32,"1,190.47","1,176.14","1,297.40","1,126.00"
CFCL,-,538.10,539.00,521.30,530.00,530.00,0.00,0.00,533.14,"11,343.00",528.10,"6,047,392.10",74,1.90,17.70,0.36,3.40,-0.59,511.85,515.84,623.00,445.10
