Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,244.60","1,319.00","1,230.00","1,250.00","1,247.80","14,944.00","1,270.00","18,647,137.50",279,-20.00,89.00,-1.57,7.24,0.18,918.35,801.67,"1,491.00",500.10
ADBL,-,383.90,392.50,383.10,392.00,389.00,"283,100.00",383.90,"110,126,483.80","1,289",8.10,9.40,2.11,2.45,0.76,264.46,257.98,400.00,223.00
ADBLD83,-,"1,092.00","1,092.00","1,090.00","1,090.00","1,090.31",325.00,"1,090.00","354,350.00",3,0.00,2.00,0.00,0.18,-0.03,"1,044.87","1,019.51","1,138.50",941.00
AHL,-,725.00,735.00,700.00,705.00,724.66,"26,675.00",720.00,"19,330,195.80",419,-15.00,35.00,-2.08,5.00,-2.79,500.30,460.35,904.00,273.10
AHPC,-,283.20,305.40,281.30,302.80,294.02,"1,404,188.00",277.70,"412,855,574.80","3,988",25.10,24.10,9.04,8.57,2.90,178.60,195.93,305.40,149.00
AKJCL,-,222.10,239.50,222.10,239.50,236.45,"336,436.00",217.80,"79,550,569.00","1,582",21.70,17.40,9.96,7.83,1.27,212.65,205.42,250.00,141.30
AKPL,-,266.80,287.70,263.00,287.70,276.64,"1,084,050.00",261.60,"299,894,769.60","3,858",26.10,24.70,9.98,9.39,3.84,180.34,181.30,287.70,152.40
ALBSL,-,"1,132.20","1,177.00","1,100.00","1,121.00","1,121.83","18,045.00","1,110.00","20,243,450.80",407,11.00,77.00,0.99,7.00,-0.07,869.05,802.53,"1,177.00",543.00
ALICL,-,778.00,813.00,778.00,808.00,793.72,"211,990.00",771.90,"168,260,344.70",946,36.10,35.00,4.68,4.50,1.77,599.58,618.75,813.00,523.00
ANLB,-,"3,126.40","3,386.00","3,126.40","3,386.00","3,301.04","5,770.00","3,190.20","19,046,975.30",126,195.80,259.60,6.14,8.30,2.51,"2,266.02","2,094.58","3,386.00","1,550.00"
API,-,297.90,325.00,297.90,320.00,312.49,"1,627,746.00",297.90,"508,647,336.00","4,913",22.10,27.10,7.42,9.10,2.35,187.20,185.65,325.00,154.70
AVYAN,-,"1,097.00","1,097.50","1,045.00","1,092.00","1,066.37","8,087.00","1,076.00","8,623,698.40",236,16.00,52.50,1.49,5.02,2.35,823.02,751.15,"1,195.00",550.00
BARUN,-,393.00,400.00,384.00,390.00,390.96,"184,407.00",393.00,"72,094,852.20",729,-3.00,16.00,-0.76,4.17,-0.24,274.00,261.47,422.00,191.10
BBC,-,"5,210.00","5,314.00","5,000.00","5,020.00","5,065.45",956.00,"5,110.00","4,842,572.90",58,-90.00,314.00,-1.76,6.28,-0.91,"3,951.13","3,885.90","5,314.00","3,405.50"
BEDC,-,510.00,534.00,506.00,523.00,522.45,"37,230.00",510.00,"19,450,874.40",527,13.00,28.00,2.55,5.53,0.10,397.76,359.11,534.00,170.00
BFC,-,600.00,624.80,595.00,618.00,609.55,"135,748.00",589.00,"82,745,717.30",923,29.00,29.80,4.92,5.01,1.37,419.03,384.74,650.00,284.00
BGWT,-,"1,101.80","1,105.00","1,047.20","1,075.00","1,070.09","23,153.00","1,080.20","24,775,870.30",433,-5.20,57.80,-0.48,5.52,0.46,773.34,685.81,"1,361.70",352.00
BHDC,-,690.00,759.00,690.00,756.00,724.22,"61,152.00",690.00,"44,287,356.40",682,66.00,69.00,9.57,10.00,4.20,533.99,491.99,759.00,286.50
BHL,-,430.40,448.00,422.00,438.90,433.00,"68,970.00",422.00,"29,863,902.60",684,16.90,26.00,4.00,6.16,1.34,359.68,327.72,465.70,192.70
BHPL,-,742.00,759.00,740.00,742.00,746.04,"13,877.00",729.90,"10,352,753.80",251,12.10,19.00,1.66,2.57,-0.54,573.91,529.78,769.70,304.10
BNHC,-,620.00,678.30,620.00,652.60,650.52,"30,813.00",630.00,"20,044,399.40",423,22.60,58.30,3.59,9.40,0.32,554.88,494.31,742.00,270.10
BNL,-,"19,450.00","19,500.00","19,200.10","19,500.00","19,418.28",104.00,"19,800.00","2,019,501.40",7,-300.00,299.90,-1.52,1.56,0.42,"15,009.12",0.00,"23,765.60","2,453.30"
BNT,-,"17,001.00","17,298.00","17,000.00","17,000.00","17,069.41",995.00,"17,080.00","16,984,066.00",69,-80.00,298.00,-0.47,1.75,-0.41,"13,539.08","13,142.10","18,100.00","10,500.00"
BOKD86,-,975.10,994.60,975.10,994.60,981.60,150.00,995.00,"147,240.00",2,-0.40,19.50,-0.04,2.00,1.31,914.08,874.05,"1,020.00",772.00
BOKD86KA,-,"1,050.00","1,062.00","1,050.00","1,062.00","1,052.00",150.00,"1,046.00","157,800.00",4,16.00,12.00,1.53,1.14,0.94,0.00,0.00,"1,075.00","1,000.00"
BPCL,-,455.00,455.00,440.00,445.00,446.55,"133,173.00",447.00,"59,468,796.60",749,-2.00,15.00,-0.45,3.41,-0.35,312.48,311.02,459.90,284.40
C30MF,-,9.95,10.92,9.95,10.50,10.02,"54,800.00",9.93,"548,859.00",21,0.57,0.97,5.74,9.75,4.61,8.95,8.70,10.92,7.61
CBBL,-,"1,077.70","1,110.00","1,059.00","1,069.00","1,073.63","83,906.00","1,056.60","90,084,040.40",798,12.40,51.00,1.17,4.82,-0.43,869.11,874.72,"1,150.00",800.00
CBLD88,-,"1,038.00","1,039.00","1,038.00","1,038.00","1,038.25",101.00,"1,051.00","104,863.00",5,-13.00,1.00,-1.24,0.10,-0.02,"1,024.61",990.13,"1,185.80",884.00
CCBD88,-,"1,090.00","1,090.00","1,090.00","1,090.00","1,090.00",55.00,"1,090.00","59,950.00",2,0.00,0.00,0.00,0.00,0.00,"1,033.36",996.44,"1,150.00",869.00
CFCL,-,647.50,695.00,636.00,665.00,663.96,"136,968.00",635.00,"90,941,158.60",950,30.00,59.00,4.72,9.28,0.16,429.90,398.75,712.90,298.00
CGH,-,"1,258.00","1,290.00","1,239.00","1,263.00","1,268.54","45,812.00","1,250.00","58,114,387.60",581,13.00,51.00,1.04,4.12,-0.44,885.16,926.63,"1,360.00",760.00
CHCL,-,678.60,690.00,668.40,677.00,679.30,"501,315.00",678.60,"340,543,033.10","1,570",-1.60,21.60,-0.24,3.23,-0.34,473.62,481.98,697.00,426.30
