Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,049.00","1,049.00","1,034.00","1,036.20","1,036.20",0.00,0.00,"1,036.53","2,160.00","1,033.95","2,238,914.00",37,2.25,15.00,0.22,1.45,-0.03,"1,092.72","1,093.60","1,491.00",880.00
ADBL,-,280.10,284.90,280.10,282.78,283.00,-0.22,0.00,282.77,"21,693.00",280.36,"6,134,099.50",133,2.42,4.80,0.86,1.71,0.00,304.96,328.53,428.40,242.00
ADBLD83,-,"1,081.20","1,081.20","1,046.00","1,060.38","1,060.00",0.38,0.00,"1,060.17",650.00,"1,103.00","689,109.50",19,-42.62,35.20,-3.86,3.37,0.02,"1,097.99","1,072.64","1,160.00","1,046.00"
AHL,-,664.00,675.00,640.40,661.64,661.70,-0.06,0.00,649.83,"2,804.00",663.63,"1,822,114.70",59,-1.99,34.60,-0.30,5.40,1.79,745.31,724.78,904.00,426.10
AHPC,-,282.00,288.00,281.00,283.90,283.10,0.80,0.00,284.16,"233,777.00",278.14,"66,431,055.00",630,5.76,7.00,2.07,2.49,-0.09,266.87,271.62,349.00,149.00
AKJCL,-,201.30,208.00,201.30,206.78,207.00,-0.22,0.00,206.87,"94,361.00",205.35,"19,520,806.30",306,1.43,6.70,0.70,3.33,-0.05,206.24,209.92,274.90,150.90
AKPL,-,239.00,243.00,239.00,240.41,241.10,-0.69,0.00,240.85,"161,118.00",236.88,"38,804,966.50",553,3.53,4.00,1.49,1.67,-0.18,240.56,245.50,326.00,157.20
ALBSL,-,801.10,809.00,793.90,800.57,805.00,-4.43,-0.01,802.79,"4,249.00",803.20,"3,411,055.90",83,-2.63,15.10,-0.33,1.90,-0.28,852.19,920.52,"1,177.00",771.00
ALICL,-,724.00,724.00,713.00,718.63,718.90,-0.27,0.00,717.51,"21,407.00",711.84,"15,359,716.40",129,6.79,11.00,0.95,1.54,0.16,742.90,740.26,831.00,542.10
ANLB,-,"5,151.10","5,304.00","5,055.20","5,299.50","5,300.00",-0.50,0.00,"5,104.62","1,745.00","5,248.03","8,907,558.70",39,51.47,248.80,0.98,4.92,3.68,"5,206.62","4,917.02","6,735.00","2,150.00"
