Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,066.00","1,070.00","1,031.00","1,031.10","1,051.02","6,402.00","1,066.00","6,728,640.50",113,-34.90,39.00,-3.27,3.78,-1.93,"1,011.25",875.67,"1,491.00",500.10
ADBL,-,360.00,360.00,349.00,349.10,352.95,"67,066.00",360.00,"23,670,900.50",484,-10.90,11.00,-3.03,3.15,-1.10,292.21,275.12,428.40,223.00
AHL,-,717.00,717.00,665.00,675.00,682.88,"12,472.00",719.00,"8,516,897.00",163,-44.00,52.00,-6.12,7.82,-1.17,545.85,504.61,904.00,288.00
AHPC,-,279.00,285.00,270.00,271.10,273.71,"392,145.00",279.00,"107,332,175.70","1,096",-7.90,15.00,-2.83,5.56,-0.96,199.32,207.58,349.00,149.00
AKJCL,-,211.70,215.80,208.00,210.00,210.69,"83,837.00",215.90,"17,663,425.50",399,-5.90,7.80,-2.73,3.75,-0.33,213.52,215.30,274.90,141.30
AKPL,-,246.00,250.00,239.70,241.10,243.45,"222,235.00",248.60,"54,102,909.10",886,-7.50,10.30,-3.02,4.30,-0.97,196.74,194.55,326.00,154.50
ALBSL,-,"1,025.00","1,045.00","1,015.00","1,015.00","1,026.61","4,861.00","1,045.10","4,990,359.60",110,-30.10,30.00,-2.88,2.96,-1.14,945.42,859.70,"1,177.00",543.00
ALICL,-,693.00,711.00,687.50,698.90,694.29,"44,455.00",707.00,"30,864,513.30",312,-8.10,23.50,-1.15,3.42,0.66,626.72,634.39,825.00,523.00
ANLB,-,"4,900.00","5,500.00","4,820.00","5,500.00","5,009.26","4,441.00","5,000.00","22,246,123.20",220,500.00,680.00,10.00,14.11,8.92,"2,688.18","2,405.14","5,705.00","1,550.00"
API,-,329.40,329.40,314.60,318.70,319.81,"453,103.00",323.00,"144,906,562.60","1,753",-4.30,14.80,-1.33,4.70,-0.35,215.17,207.29,390.00,154.70
AVYAN,-,984.00,"1,015.00",930.00,949.00,940.44,"5,159.00",964.90,"4,851,741.90",102,-15.90,85.00,-1.65,9.14,0.90,891.42,797.57,"1,195.00",550.00
BARUN,-,345.00,358.90,335.00,336.00,343.00,"37,267.00",345.00,"12,782,636.10",210,-9.00,23.90,-2.61,7.13,-2.08,293.50,280.60,431.20,191.10
BBC,-,"4,390.00","4,450.00","4,300.00","4,378.00","4,335.27",627.00,"4,450.00","2,718,214.50",34,-72.00,150.00,-1.62,3.49,0.98,"4,098.71","4,002.59","5,314.00","3,405.50"
BEDC,-,440.00,472.00,440.00,453.90,453.44,"16,410.00",445.80,"7,440,932.40",196,8.10,32.00,1.82,7.27,0.10,419.34,392.07,550.80,184.10
BFC,-,619.10,619.10,570.00,575.90,584.09,"74,632.00",607.00,"43,591,467.40",602,-31.10,49.10,-5.12,8.61,-1.42,476.61,427.56,745.00,284.00
BGWT,-,"1,002.10","1,009.00",952.00,955.10,975.57,"12,559.00",995.00,"12,252,206.00",232,-39.90,57.00,-4.01,5.99,-2.14,842.98,754.30,"1,361.70",352.00
BHDC,-,624.00,624.00,583.10,602.10,591.02,"23,810.00",612.00,"14,072,076.60",207,-9.90,40.90,-1.62,7.01,1.84,568.03,531.75,829.70,298.00
BHL,-,495.00,499.00,467.40,475.00,479.04,"39,975.00",490.00,"19,149,558.00",385,-15.00,31.60,-3.06,6.76,-0.85,375.77,356.35,499.00,195.00
BHPL,-,719.90,721.10,680.10,684.10,694.25,"4,240.00",707.00,"2,943,624.00",107,-22.90,41.00,-3.24,6.03,-1.48,608.96,565.44,780.00,315.00
BNHC,-,555.00,570.00,544.40,546.90,553.51,"3,611.00",565.00,"1,998,709.00",60,-18.10,25.60,-3.20,4.70,-1.21,575.52,523.62,742.00,282.50
BNL,-,"16,268.00","16,549.90","16,268.00","16,549.90","16,455.90",30.00,"16,600.00","493,677.00",3,-50.10,281.90,-0.30,1.73,0.57,"17,136.99","12,347.25","23,765.60","2,453.30"
BNT,-,"14,598.10","14,628.90","14,350.00","14,372.10","14,416.96",170.00,"14,896.00","2,450,884.00",15,-523.90,278.90,-3.52,1.94,-0.31,"13,799.38","13,516.60","18,100.00","10,500.00"
BOKD86,-,"1,012.00","1,015.00","1,012.00","1,015.00","1,012.38",200.00,"1,011.10","202,475.00",4,3.90,3.00,0.39,0.30,0.26,946.97,901.60,"1,042.00",772.00
