Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,060.80","1,060.80","1,022.00","1,023.00","1,023.00",0.00,0.00,"1,031.68","11,783.00","1,040.00","12,156,296.70",100,-17.00,38.80,-1.63,3.80,-0.85,989.18,"1,020.80","1,240.00",900.00
ADBL,-,333.00,335.00,320.50,324.00,324.00,0.00,0.00,324.54,"106,944.00",333.10,"34,707,703.50",450,-9.10,14.50,-2.73,4.52,-0.17,307.81,309.10,344.90,272.30
AHL,-,521.00,525.00,511.00,511.00,511.00,0.00,0.00,515.91,"9,552.00",521.00,"4,927,952.80",116,-10.00,14.00,-1.92,2.74,-0.96,583.64,599.99,751.70,462.60
AHPC,-,315.00,315.00,303.00,304.10,304.10,0.00,0.00,307.83,"478,250.00",314.00,"147,221,493.00","1,256",-9.90,12.00,-3.15,3.96,-1.23,281.73,286.50,334.00,246.00
AKJCL,-,415.00,420.10,402.00,406.90,406.90,0.00,0.00,409.40,"565,146.00",415.00,"231,370,717.40","1,025",-8.10,18.10,-1.95,4.50,-0.61,246.59,234.66,431.80,172.90
AKPL,-,304.90,305.00,291.20,291.90,291.90,0.00,0.00,296.10,"547,794.00",304.90,"162,204,106.30","1,669",-13.00,13.80,-4.26,4.74,-1.44,257.45,260.99,317.00,221.20
ALBSL,-,"1,269.00","1,326.00","1,207.00","1,248.00","1,248.00",0.00,0.00,"1,256.21","31,473.00","1,293.90","39,536,768.90",307,-45.90,119.00,-3.55,9.86,-0.66,"1,100.56","1,029.25","1,334.00",771.00
ALICL,-,490.00,495.00,470.00,470.00,470.00,0.00,0.00,476.61,"120,921.00",488.00,"57,631,824.90",422,-18.00,25.00,-3.69,5.32,-1.41,469.85,480.97,779.00,430.00
ANLB,-,"6,514.10","6,639.00","6,455.00","6,639.00","6,639.00",0.00,0.00,"6,529.13",175.00,"6,647.00","1,142,597.00",23,-8.00,184.00,-0.12,2.85,1.65,"6,204.89","6,017.58","6,800.00","4,995.00"
API,-,360.00,366.00,353.00,356.00,356.00,0.00,0.00,356.69,"1,046,367.00",364.20,"373,223,843.00","2,414",-8.20,13.00,-2.25,3.68,-0.19,295.90,297.04,368.90,258.80
AVYAN,-,"1,253.50","1,275.00","1,200.00","1,210.00","1,210.00",0.00,0.00,"1,226.78","21,765.00","1,279.00","26,700,786.40",305,-69.00,75.00,-5.39,6.25,-1.39,994.84,"1,016.26","1,366.00",906.00
BANDIPUR,-,985.00,985.00,939.00,941.00,941.00,0.00,0.00,957.24,"81,178.00",985.00,"77,706,732.20","1,233",-44.00,46.00,-4.47,4.90,-1.73,0.00,0.00,"1,233.00",285.00
BARUN,-,373.60,385.00,366.00,367.00,367.00,0.00,0.00,372.92,"187,101.00",381.20,"69,774,574.60",870,-14.20,19.00,-3.73,5.19,-1.61,340.46,357.19,589.00,292.10
BBC,-,"5,225.40","5,300.00","5,067.60","5,200.00","5,200.00",0.00,0.00,"5,186.01","1,472.00","5,332.00","7,633,808.00",92,-132.00,232.40,-2.48,4.59,0.27,"4,903.45","5,094.96","6,661.60","4,480.00"
BEDC,-,534.00,539.00,520.00,522.00,522.00,0.00,0.00,525.59,"8,164.00",531.00,"4,290,900.00",119,-9.00,19.00,-1.69,3.65,-0.69,566.69,618.07,872.00,500.00
BFC,-,506.00,507.10,485.00,486.00,486.00,0.00,0.00,494.45,"46,321.00",506.50,"22,903,556.30",297,-20.50,22.10,-4.05,4.56,-1.74,472.62,482.64,594.90,411.50
BGWT,-,771.00,784.90,755.60,763.00,763.00,0.00,0.00,767.25,"4,726.00",785.00,"3,626,033.70",97,-22.00,29.30,-2.80,3.88,-0.56,790.69,839.02,"1,110.00",730.70
BHCL,-,608.20,618.00,590.00,590.50,590.50,0.00,0.00,602.42,"64,741.00",618.00,"39,001,586.60",775,-27.50,28.00,-4.45,4.75,-2.02,517.92,0.00,699.00,292.10
BHDC,-,499.00,500.00,489.00,490.00,490.00,0.00,0.00,492.37,"38,352.00",499.00,"18,883,546.80",262,-9.00,11.00,-1.80,2.25,-0.48,506.11,514.21,706.00,426.00
BHL,-,253.90,253.90,236.10,237.00,237.00,0.00,0.00,240.68,"857,803.00",249.00,"206,459,025.30","2,906",-12.00,17.80,-4.82,7.54,-1.55,193.10,199.21,340.00,164.00
BHPL,-,600.00,600.00,566.00,570.90,570.90,0.00,0.00,576.52,"48,069.00",588.90,"27,712,822.70",329,-18.00,34.00,-3.06,6.01,-0.98,622.54,675.85,"1,308.40",503.10
BJHL,-,430.80,478.20,430.80,478.20,478.20,0.00,0.00,473.12,300.00,434.80,"141,936.00",30,43.40,47.40,9.98,11.00,1.06,0.00,0.00,478.20,270.10
BNHC,-,379.00,384.90,368.60,368.60,368.60,0.00,0.00,373.52,"26,091.00",379.00,"9,745,500.70",181,-10.40,16.30,-2.74,4.42,-1.33,446.09,470.55,613.80,313.10
BNL,-,"15,300.00","15,800.00","15,300.00","15,500.00","15,500.00",0.00,0.00,"15,656.86",70.00,"15,606.00","1,095,980.00",6,-106.00,500.00,-0.68,3.27,-1.01,"16,031.06","16,633.83","19,533.10","14,635.80"
BNT,-,"11,781.00","11,800.00","11,781.00","11,800.00","11,800.00",0.00,0.00,"11,793.27",73.00,"12,000.00","860,909.00",7,-200.00,19.00,-1.67,0.16,0.06,"11,660.03","11,954.43","13,550.00","10,660.00"
BPCL,-,750.00,758.90,726.00,729.00,729.00,0.00,0.00,738.81,"135,155.00",750.00,"99,854,369.40",528,-21.00,32.90,-2.80,4.53,-1.35,740.94,775.16,"1,065.00",393.00
BUNGAL,-,664.50,684.90,650.00,653.00,653.00,0.00,0.00,662.48,"22,456.00",678.00,"14,876,660.10",445,-25.00,34.90,-3.69,5.37,-1.45,0.00,0.00,822.00,302.40
C30MF,-,10.45,10.45,10.05,10.30,10.30,0.00,0.00,10.26,"22,014.00",10.25,"225,912.80",15,0.05,0.40,0.49,3.98,0.37,9.48,9.65,10.71,8.70
CBBL,-,963.00,963.00,936.00,939.10,939.10,0.00,0.00,945.11,"86,579.00",963.00,"81,826,485.20",667,-23.90,27.00,-2.48,2.88,-0.64,978.21,981.94,"1,144.80",822.00
CBLD88,-,"1,221.00","1,221.00","1,212.50","1,212.50","1,212.50",0.00,0.00,"1,216.75",50.00,"1,244.40","60,837.50",2,-31.90,8.50,-2.56,0.70,-0.35,"1,184.30","1,170.86","1,265.00","1,108.00"
CFCL,-,561.00,564.00,538.60,549.70,549.70,0.00,0.00,549.17,"47,872.00",567.00,"26,290,049.00",188,-17.30,25.40,-3.05,4.72,0.10,509.05,515.40,651.00,445.10
CGH,-,868.10,878.10,850.00,856.00,856.00,0.00,0.00,861.65,"30,844.00",877.50,"26,576,691.30",298,-21.50,28.10,-2.45,3.31,-0.66,881.19,917.27,"1,150.00",800.20
CHCL,-,520.70,520.70,498.00,498.00,498.00,0.00,0.00,503.59,"128,953.00",510.50,"64,939,020.80",605,-12.50,22.70,-2.45,4.56,-1.12,488.18,504.41,599.60,456.00
CHDC,-,"2,561.00","2,575.00","2,480.00","2,490.00","2,490.00",0.00,0.00,"2,522.29","36,782.00","2,590.00","92,774,878.80",529,-100.00,95.00,-3.86,3.83,-1.30,"2,368.13","2,464.74","2,997.90","1,990.00"
