Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,529.00,535.00,520.10,530.00,527.94,471.00,539.00,"248,659.40",31,-9.00,14.90,-1.67,2.86,0.39,587.42,621.38,906.70,520.10
ADBL,-,250.00,250.00,246.00,248.00,246.73,"11,941.00",248.30,"2,946,188.80",136,-0.30,4.00,-0.12,1.63,0.51,244.14,256.26,355.80,224.00
AHL,-,329.00,333.00,321.50,321.70,324.49,"4,145.00",335.40,"1,345,026.50",92,-13.70,11.50,-4.08,3.58,-0.87,341.59,0.00,480.90,273.10
AHPC,-,209.20,210.00,205.10,210.00,207.59,"23,257.00",213.00,"4,827,822.30",131,-3.00,4.90,-1.41,2.39,1.15,254.23,272.15,364.00,190.00
AKJCL,-,150.00,156.00,148.00,148.10,150.29,"11,405.00",150.00,"1,714,033.90",100,-1.90,8.00,-1.27,5.41,-1.48,188.52,202.55,262.00,144.10
AKPL,-,173.00,174.00,167.00,168.80,169.52,"38,705.00",171.00,"6,561,460.80",234,-2.20,7.00,-1.29,4.19,-0.43,275.16,318.53,460.90,152.40
ALBSL,-,655.00,660.00,650.20,651.00,651.69,"1,535.00",663.00,"1,000,349.90",77,-12.00,9.80,-1.81,1.51,-0.11,723.10,769.30,"1,158.90",649.00
ALICL,-,630.10,641.00,620.20,625.00,628.09,"9,685.00",631.00,"6,083,078.10",88,-6.00,20.80,-0.95,3.35,-0.49,661.70,657.89,812.00,428.00
ANLB,-,"1,867.00","1,898.00","1,850.00","1,850.00","1,869.69",390.00,"1,899.00","729,181.00",29,-49.00,48.00,-2.58,2.59,-1.06,0.00,0.00,"2,651.00",403.80
API,-,168.50,172.00,166.00,167.50,168.18,"73,028.00",171.00,"12,282,134.20",299,-3.50,6.00,-2.05,3.61,-0.41,210.06,229.66,315.00,165.00
AVYAN,-,591.00,599.00,581.50,581.50,589.18,"1,190.00",600.00,"701,130.00",82,-18.50,17.50,-3.08,3.01,-1.32,654.18,658.64,963.00,549.00
BARUN,-,215.00,216.00,209.00,212.00,211.77,"6,228.00",215.00,"1,318,891.00",55,-3.00,7.00,-1.40,3.35,0.11,238.84,247.80,300.00,190.30
BBC,-,"3,565.00","3,671.00","3,501.00","3,550.00","3,550.34",285.00,"3,634.00","1,011,847.00",17,-84.00,170.00,-2.31,4.86,-0.01,"3,585.22","3,497.69","4,539.00","3,050.00"
BEDC,-,204.90,205.50,201.20,205.00,203.26,"4,810.00",209.00,"977,672.20",206,-4.00,4.30,-1.91,2.14,0.85,0.00,0.00,326.30,170.00
BFC,-,295.20,300.00,290.60,295.30,294.77,"4,701.00",300.00,"1,385,715.20",56,-4.70,9.40,-1.57,3.23,0.18,318.39,324.10,406.00,287.00
BGWT,-,405.10,436.90,358.20,362.50,390.14,"69,045.00",397.20,"26,937,096.60","5,496",-34.70,78.70,-8.74,21.97,-7.62,0.00,0.00,436.90,358.20
BHDC,-,331.30,331.30,319.00,331.30,321.08,590.00,338.00,"189,435.00",52,-6.70,12.30,-1.98,3.86,3.09,367.68,385.21,468.90,286.50
BHL,-,204.00,211.00,203.60,207.00,204.53,"1,615.00",207.80,"330,315.00",96,-0.80,7.40,-0.38,3.63,1.19,259.96,285.33,394.70,192.70
BHPL,-,420.00,456.20,418.00,429.00,438.88,"21,261.00",415.00,"9,331,022.70",158,14.00,38.20,3.37,9.14,-2.30,447.97,474.12,677.20,194.30
BNHC,-,329.00,335.00,315.10,325.00,321.56,"3,163.00",335.00,"1,017,096.00",61,-10.00,19.90,-2.99,6.32,1.06,345.67,372.59,484.70,270.10
BNT,-,"13,000.00","13,000.10","12,900.00","13,000.00","12,962.58",160.00,"13,000.00","2,074,012.00",9,0.00,100.10,0.00,0.78,0.29,"13,120.28","13,096.15","16,200.00","11,152.00"
BOKD86,-,780.00,780.00,772.00,772.00,776.00,50.00,785.00,"38,800.00",2,-13.00,8.00,-1.66,1.04,-0.52,777.77,0.00,859.40,738.50
