Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,25.89,853.70,853.70,788.00,796.50,803.86,"1,455.00",837.00,"1,169,612.20",61,-40.50,65.70,-4.84,8.34,-0.92,"1,109.25","1,196.63","1,870.00",744.00
ADBL,26.15,318.00,320.00,310.00,312.40,312.07,"31,001.00",323.00,"9,674,338.90",323,-10.60,10.00,-3.28,3.23,0.11,373.20,408.76,620.00,298.00
ADBLD83,51.50,971.00,971.00,970.20,970.20,970.70,40.00,990.00,"38,828.00",2,-19.80,0.80,-2.00,0.08,-0.05,"1,018.47",-,"1,150.00",945.70
AHPC,29.92,344.00,345.00,329.10,335.80,335.37,"151,780.00",347.00,"50,902,943.70",768,-11.20,15.90,-3.23,4.83,0.13,449.98,449.42,785.00,310.00
AIL,28.75,448.20,448.20,430.00,431.00,432.51,"2,037.00",449.50,"881,022.00",51,-18.50,18.20,-4.12,4.23,-0.35,615.87,644.29,900.00,422.10
AKJCL,29.35,200.00,200.10,186.60,189.00,190.72,"54,405.00",200.00,"10,375,953.60",357,-11.00,13.50,-5.50,7.23,-0.91,259.22,276.08,502.00,162.00
AKPL,29.83,445.00,445.00,427.00,427.00,434.28,"137,285.00",453.00,"59,619,950.10",765,-26.00,18.00,-5.74,4.22,-1.70,480.04,501.59,882.40,369.20
ALBSL,27.25,"1,231.00","1,231.00","1,150.00","1,180.00","1,176.83","2,320.00","1,210.00","2,730,235.50",63,-30.00,81.00,-2.48,7.04,0.27,"1,382.44","1,411.34","2,101.20","1,147.00"
ALICL,28.17,595.00,595.00,548.00,560.00,560.16,"145,918.00",590.00,"81,736,771.80",554,-30.00,47.00,-5.08,8.58,-0.03,794.94,923.80,"1,513.00",484.00
API,28.07,245.00,245.00,236.00,238.00,240.52,"120,708.00",250.00,"29,032,113.30",632,-12.00,9.00,-4.80,3.81,-1.06,376.26,405.59,670.00,217.60
BARUN,28.76,441.00,441.00,406.70,412.00,422.22,"28,745.00",441.00,"12,136,736.50",268,-29.00,34.30,-6.58,8.43,-2.48,476.26,471.06,763.40,345.60
BBC,29.90,"3,629.00","3,629.00","3,485.00","3,485.00","3,541.15",255.00,"3,690.00","902,994.00",23,-205.00,144.00,-5.56,4.13,-1.61,"4,200.73","4,493.80","8,124.30","3,195.00"
BFC,29.21,358.00,358.00,340.00,344.00,345.52,"22,080.00",362.00,"7,628,972.30",202,-18.00,18.00,-4.97,5.29,-0.44,424.77,445.72,630.00,298.00
BHL,26.60,228.40,233.00,219.00,219.00,223.15,"7,360.00",233.00,"1,642,411.00",182,-14.00,14.00,-6.01,6.39,-1.90,-,-,328.10,104.70
BNHC,27.42,360.70,375.30,342.00,342.10,348.90,"2,499.00",368.00,"871,906.00",64,-25.90,33.30,-7.04,9.74,-1.99,-,-,744.00,246.70
BNT,27.74,"12,175.00","12,350.00","12,088.30","12,100.00","12,120.38",750.00,"12,400.00","9,090,284.00",39,-300.00,261.70,-2.42,2.16,-0.17,"13,788.06","13,317.21","17,670.00","9,750.00"
BOKD86,39.86,814.00,854.10,814.00,837.10,834.06,135.00,821.00,"112,597.50",8,16.10,40.10,1.96,4.93,0.36,-,-,"1,000.00",800.00
BPCL,32.21,315.00,320.00,307.00,307.10,313.10,"24,489.00",321.00,"7,667,433.80",193,-13.90,13.00,-4.33,4.23,-1.95,383.94,414.54,703.00,294.00
CBBL,27.29,"1,003.20","1,018.00",970.00,980.00,984.31,"19,496.00","1,003.20","19,190,058.60",355,-23.20,48.00,-2.31,4.95,-0.44,"1,142.55","1,284.30","2,065.20",882.00
CBL,46.01,203.90,203.90,196.40,197.00,198.05,"89,868.00",207.90,"17,798,250.40",339,-10.90,7.50,-5.24,3.82,-0.53,225.48,232.70,316.00,194.00
CCBL,26.97,186.00,186.00,178.50,178.80,180.61,"72,765.00",186.00,"13,142,395.40",440,-7.20,7.50,-3.87,4.20,-1.01,219.67,224.44,311.50,178.50
CFCL,28.65,279.50,280.00,266.60,266.60,272.41,"22,722.00",285.10,"6,189,729.00",212,-18.50,13.40,-6.49,5.03,-2.18,376.05,417.83,814.90,237.00
CGH,29.82,995.70,995.70,950.00,950.00,965.50,"4,568.00","1,016.00","4,410,423.30",123,-66.00,45.70,-6.50,4.81,-1.63,"1,256.96","1,316.34","1,790.00",900.20
CHCL,28.02,400.00,400.00,383.20,387.00,390.00,"22,174.00",404.00,"8,647,965.00",184,-17.00,16.80,-4.21,4.38,-0.78,458.01,489.62,760.00,347.90
CHDC,30.83,700.00,700.00,672.70,687.00,682.56,"10,919.00",710.00,"7,452,866.80",159,-23.00,27.30,-3.24,4.06,0.65,826.17,827.88,"1,415.00",604.00
CHL,23.86,250.00,250.00,237.20,237.20,241.14,"17,468.00",255.10,"4,212,285.90",106,-17.90,12.80,-7.02,5.40,-1.66,374.50,409.48,715.00,207.00
CIT,29.28,"2,500.00","2,500.00","2,413.00","2,429.00","2,434.81","15,550.00","2,525.00","37,861,284.40",485,-96.00,87.00,-3.80,3.61,-0.24,"2,898.96","3,004.74","4,560.00","2,137.00"
CLBSL,29.21,730.00,730.00,701.00,701.00,717.44,"5,611.00",744.80,"4,025,582.60",54,-43.80,29.00,-5.88,4.14,-2.35,901.60,969.04,"1,811.00",662.50
CMF1,34.39,8.11,8.27,7.95,7.95,8.03,"48,730.00",8.25,"391,523.10",21,-0.30,0.32,-3.64,4.03,-1.06,9.33,9.46,16.01,7.87
CMF2,32.71,8.35,8.45,8.20,8.45,8.32,"19,100.00",8.50,"158,935.00",8,-0.05,0.25,-0.59,3.05,1.52,9.81,9.85,16.87,8.20
CORBL,33.71,296.00,296.00,276.00,276.00,285.33,"12,041.00",300.00,"3,435,619.50",123,-24.00,20.00,-8.00,7.25,-3.38,456.83,586.00,"1,155.00",211.30
CZBIL,38.55,202.00,202.00,196.50,198.00,197.90,"78,240.00",202.00,"15,483,850.40",363,-4.00,5.50,-1.98,2.80,0.05,254.09,265.18,444.00,196.50
DDBL,27.39,949.00,953.90,915.00,916.10,927.53,"9,888.00",968.00,"9,171,448.70",169,-51.90,38.90,-5.36,4.25,-1.25,"1,100.71","1,141.74","2,000.00",876.00
DHPL,27.34,204.00,204.00,189.30,192.50,194.02,"12,661.00",207.20,"2,456,467.70",102,-14.70,14.70,-7.09,7.77,-0.79,266.83,280.49,485.20,168.00
EBL,31.70,430.00,433.00,415.00,415.00,421.48,"49,290.00",434.00,"20,774,636.00",302,-19.00,18.00,-4.38,4.34,-1.56,515.03,546.60,805.00,415.00
EDBL,30.49,357.00,357.90,346.00,348.00,349.94,"35,671.00",357.00,"12,482,633.20",216,-9.00,11.90,-2.52,3.44,-0.56,437.52,481.60,"1,195.00",308.00
ENL,40.08,674.20,674.20,637.30,658.00,647.40,"3,705.00",687.90,"2,398,605.00",60,-29.90,36.90,-4.35,5.79,1.61,-,-,"1,481.90",287.10
