Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,939.00,949.00,935.10,948.90,948.90,0.00,0.00,941.48,"2,262.00",939.00,"2,129,619.60",50,9.90,13.90,1.05,1.49,0.78,"1,045.63","1,057.11","1,284.90",934.00
ADBL,-,292.00,292.90,288.00,292.90,292.90,0.00,0.00,291.12,"14,912.00",289.40,"4,341,221.60",145,3.50,4.90,1.21,1.70,0.61,311.88,304.42,344.90,272.30
AHL,-,595.00,595.00,580.00,587.00,587.00,0.00,0.00,584.60,"14,683.00",590.00,"8,583,658.50",150,-3.00,15.00,-0.51,2.59,0.41,626.89,656.11,891.00,577.40
AHPC,-,279.90,282.00,277.00,281.00,281.00,0.00,0.00,279.38,"63,161.00",278.00,"17,645,741.40",249,3.00,5.00,1.08,1.81,0.58,289.42,283.78,334.00,239.30
AKJCL,-,185.00,186.00,183.00,184.00,184.00,0.00,0.00,184.24,"38,330.00",183.00,"7,062,089.70",165,1.00,3.00,0.55,1.64,-0.13,200.66,203.24,233.50,172.90
AKPL,-,240.50,245.30,240.10,245.00,245.00,0.00,0.00,243.70,"95,341.00",240.40,"23,234,443.10",267,4.60,5.20,1.91,2.17,0.53,257.84,251.40,306.50,216.10
ALBSL,-,"1,082.90","1,120.00","1,079.00","1,095.00","1,095.00",0.00,0.00,"1,089.24","20,486.00","1,105.00","22,314,118.10",202,-10.00,41.00,-0.90,3.80,0.53,961.79,920.08,"1,237.90",771.00
ALICL,-,474.00,488.80,462.10,468.20,468.20,0.00,0.00,471.10,"30,196.00",465.00,"14,225,201.70",196,3.20,26.70,0.69,5.78,-0.62,486.48,570.51,831.00,430.00
ANLB,-,"6,028.40","6,150.00","6,028.40","6,150.00","6,150.00",0.00,0.00,"6,077.05",417.00,"6,150.00","2,534,131.60",23,0.00,121.60,0.00,2.02,1.19,"5,914.88","5,677.37","6,800.00","4,673.00"
API,-,285.50,289.00,285.50,288.40,288.40,0.00,0.00,287.56,"93,849.00",285.50,"26,986,829.60",290,2.90,3.50,1.02,1.23,0.29,291.73,290.27,335.00,246.20
AVYAN,-,949.70,975.00,949.70,958.00,958.00,0.00,0.00,961.74,"1,234.00",969.00,"1,186,788.80",44,-11.00,25.30,-1.14,2.66,-0.39,"1,024.36","1,035.33","1,306.80",906.00
BANDIPUR,-,765.00,780.00,765.00,775.00,775.00,0.00,0.00,775.17,"61,768.00",765.00,"47,880,768.50","2,971",10.00,15.00,1.31,1.96,-0.02,0.00,0.00,837.00,285.00
BARUN,-,316.00,325.00,316.00,325.00,325.00,0.00,0.00,322.23,"84,224.00",318.00,"27,139,818.10",340,7.00,9.00,2.20,2.85,0.85,360.57,416.79,589.00,292.10
BBC,-,"4,792.10","4,871.90","4,792.10","4,863.00","4,863.00",0.00,0.00,"4,841.06",177.00,"4,869.90","856,868.00",15,-6.90,79.80,-0.14,1.67,0.45,"5,213.88","5,383.55","6,661.60","4,480.00"
BEDC,-,545.00,555.90,540.00,544.00,544.00,0.00,0.00,547.43,"4,823.00",542.10,"2,640,248.10",91,1.90,15.90,0.35,2.94,-0.63,661.34,694.21,"1,080.00",501.00
BFC,-,473.80,473.80,461.00,461.00,461.00,0.00,0.00,465.09,"18,894.00",464.80,"8,787,470.00",80,-3.80,12.80,-0.82,2.78,-0.89,484.92,504.24,775.00,411.50
BGWT,-,771.00,780.00,771.00,779.00,779.00,0.00,0.00,777.16,876.00,783.90,"680,790.00",23,-4.90,9.00,-0.63,1.17,0.24,872.47,917.36,"1,241.00",750.10
BHCL,-,501.00,510.00,496.00,508.20,508.20,0.00,0.00,503.24,"74,667.00",507.90,"37,575,563.00","1,087",0.30,14.00,0.06,2.82,0.98,0.00,0.00,625.70,292.10
BHDC,-,480.00,487.00,475.70,486.00,486.00,0.00,0.00,483.21,"20,492.00",480.00,"9,901,841.00",153,6.00,11.30,1.25,2.38,0.58,529.26,539.64,760.20,426.00
BHL,-,179.00,179.00,174.10,177.50,177.50,0.00,0.00,176.67,"73,456.00",175.90,"12,977,529.50",364,1.60,4.90,0.91,2.81,0.47,197.15,223.21,410.00,164.00
BHPL,-,570.50,624.20,570.40,623.00,623.00,0.00,0.00,609.76,"3,900.00",582.00,"2,378,062.10",111,41.00,53.80,7.04,9.43,2.13,731.44,832.05,"1,308.40",570.40
BNHC,-,433.50,443.90,433.50,442.00,442.00,0.00,0.00,438.26,"2,022.00",439.90,"886,167.00",45,2.10,10.40,0.48,2.40,0.85,485.24,495.28,608.00,393.00
BNL,-,"15,680.00","15,680.00","15,680.00","15,680.00","15,680.00",0.00,0.00,"15,680.00",20.00,"16,000.00","313,600.00",2,-320.00,0.00,-2.00,0.00,0.00,"16,969.69","16,937.15","22,500.00","14,900.00"
BNT,-,"12,000.00","12,000.00","11,880.00","12,000.00","12,000.00",0.00,0.00,"11,947.54",57.00,"11,995.20","681,010.00",6,4.80,120.00,0.04,1.01,0.44,"11,988.20","12,329.55","14,680.00","10,660.00"
BPCL,-,705.00,719.00,705.00,713.00,713.00,0.00,0.00,712.28,"50,531.00",703.10,"35,992,158.90",171,9.90,14.00,1.41,1.99,0.10,790.75,673.30,"1,065.00",375.10
BUNGAL,-,590.10,630.00,588.50,611.00,611.00,0.00,0.00,614.26,"40,189.00",594.00,"24,686,504.00","1,068",17.00,41.50,2.86,7.05,-0.53,0.00,0.00,675.00,302.40
C30MF,-,9.28,9.46,9.15,9.15,9.15,0.00,0.00,9.27,"5,950.00",9.10,"55,185.50",11,0.05,0.31,0.55,3.39,-1.36,9.60,9.47,10.71,8.65
CBBL,-,"1,027.10","1,040.00","1,015.00","1,025.00","1,025.00",0.00,0.00,"1,027.12","70,909.00","1,007.00","72,831,880.90",606,18.00,25.00,1.79,2.46,-0.21,998.45,952.02,"1,144.80",821.50
CBLD88,-,"1,229.00","1,229.00","1,229.00","1,229.00","1,229.00",0.00,0.00,"1,229.00",25.00,"1,254.00","30,725.00",1,-25.00,0.00,-1.99,0.00,0.00,"1,164.41","1,156.27","1,254.20","1,104.50"
CFCL,-,467.10,480.00,467.10,469.00,469.00,0.00,0.00,471.78,"11,234.00",469.00,"5,299,974.90",81,0.00,12.90,0.00,2.76,-0.59,506.99,528.20,701.00,445.10
CGH,-,884.30,915.00,884.30,905.00,905.00,0.00,0.00,899.81,"57,201.00",867.00,"51,470,137.40",577,38.00,30.70,4.38,3.47,0.57,944.00,921.91,"1,150.00",800.20
CHCL,-,493.00,495.00,490.00,495.00,495.00,0.00,0.00,492.50,"13,540.00",490.00,"6,668,480.30",135,5.00,5.00,1.02,1.02,0.50,514.99,508.19,599.60,456.00
CHDC,-,"2,240.00","2,258.90","2,190.00","2,230.00","2,230.00",0.00,0.00,"2,208.48","41,845.00","2,215.00","92,413,983.80",319,15.00,68.90,0.68,3.15,0.96,"2,491.91","2,479.24","2,997.90","1,545.30"
CHL,-,263.00,266.00,258.00,261.10,261.10,0.00,0.00,260.50,"23,744.00",261.60,"6,185,220.00",109,-0.50,8.00,-0.19,3.10,0.23,285.11,343.52,599.70,223.40
CIT,-,"1,847.00","1,855.00","1,842.00","1,850.00","1,850.00",0.00,0.00,"1,848.04","4,072.00","1,842.00","7,525,223.00",83,8.00,13.00,0.43,0.71,0.11,"1,903.35","1,922.88","2,200.00","1,730.80"
CITY,-,489.00,495.00,489.00,490.00,490.00,0.00,0.00,491.23,"11,055.00",489.00,"5,430,496.40",167,1.00,6.00,0.20,1.23,-0.25,685.00,744.12,998.40,485.10
CIZBD90,-,"1,220.00","1,220.00","1,220.00","1,220.00","1,220.00",0.00,0.00,"1,220.00",25.00,"1,214.00","30,500.00",1,6.00,0.00,0.49,0.00,0.00,"1,147.32",0.00,"1,295.00","1,113.00"
CKHL,-,650.00,661.00,650.00,654.90,654.90,0.00,0.00,654.47,"5,124.00",650.00,"3,353,491.70",87,4.90,11.00,0.75,1.69,0.07,640.87,664.31,910.00,550.00
CLI,-,500.00,508.60,498.90,507.00,507.00,0.00,0.00,503.28,"70,846.00",501.00,"35,655,268.50",750,6.00,9.70,1.20,1.94,0.73,473.58,492.34,774.90,411.00
CMF2,-,9.17,9.21,9.17,9.20,9.20,0.00,0.00,9.20,"16,200.00",9.35,"148,997.00",5,-0.15,0.04,-1.60,0.44,0.03,9.53,9.50,10.86,8.64
CORBL,-,"1,641.20","1,651.00","1,625.00","1,651.00","1,651.00",0.00,0.00,"1,637.24","5,911.00","1,659.00","9,677,699.90",77,-8.00,26.00,-0.48,1.60,0.83,"2,006.05","2,029.12","2,842.30","1,240.00"
CREST,-,"1,265.90","1,289.00","1,228.00","1,258.90","1,258.90",0.00,0.00,"1,251.62","8,504.00","1,241.10","10,643,744.00",346,17.80,61.00,1.43,4.97,0.58,"1,309.42",0.00,"2,458.20",302.50
CYCL,-,"1,466.20","1,507.00","1,466.00","1,495.00","1,495.00",0.00,0.00,"1,480.33","3,549.00","1,471.20","5,253,682.40",94,23.80,41.00,1.62,2.80,0.98,"1,648.01","1,646.02","2,040.00","1,462.00"
CZBIL,-,188.20,192.00,188.20,189.80,189.80,0.00,0.00,190.04,"15,274.00",192.00,"2,902,623.20",90,-2.20,3.80,-1.15,2.02,-0.12,207.42,208.18,240.10,183.00
DDBL,-,882.00,882.00,871.00,877.10,877.10,0.00,0.00,877.10,"8,687.00",874.40,"7,619,385.50",74,2.70,11.00,0.31,1.26,0.00,860.29,837.53,"1,010.00",759.00
DHEL,-,575.00,599.00,575.00,587.00,587.00,0.00,0.00,590.18,"37,183.00",578.90,"21,944,726.00","1,186",8.10,24.00,1.40,4.17,-0.54,0.00,0.00,640.00,402.20
DHPL,-,295.00,297.90,292.00,295.00,295.00,0.00,0.00,295.44,"5,030.00",295.90,"1,486,078.70",36,-0.90,5.90,-0.30,2.02,-0.15,310.54,332.79,427.20,265.00
DLBS,-,"1,338.00","1,350.00","1,323.00","1,340.00","1,340.00",0.00,0.00,"1,326.45",188.00,"1,338.00","249,372.00",11,2.00,27.00,0.15,2.04,1.01,"1,430.12","1,472.75","2,250.00","1,240.00"
DOLTI,-,511.50,529.00,511.50,528.30,528.30,0.00,0.00,525.40,"3,609.00",521.90,"1,896,170.80",89,6.40,17.50,1.23,3.42,0.55,553.15,584.84,"1,017.00",470.60
DORDI,-,259.90,262.90,257.10,259.00,259.00,0.00,0.00,259.77,"41,421.00",258.00,"10,759,852.70",226,1.00,5.80,0.39,2.26,-0.30,289.35,321.44,696.00,213.10
EBL,-,649.00,652.90,645.10,650.60,650.60,0.00,0.00,650.93,"16,393.00",646.20,"10,670,736.80",110,4.40,7.80,0.68,1.21,-0.05,677.05,658.09,780.60,570.00
EBLD85,-,"1,204.90","1,205.00","1,200.00","1,203.00","1,203.00",0.00,0.00,"1,202.91",122.00,"1,204.90","146,755.00",4,-1.90,5.00,-0.16,0.42,0.01,"1,147.21","1,134.98","1,209.50","1,102.50"
EBLD86,-,"1,111.00","1,111.00","1,111.00","1,111.00","1,111.00",0.00,0.00,"1,111.00",30.00,"1,103.00","33,330.00",1,8.00,0.00,0.73,0.00,0.00,"1,060.28","1,053.06","1,136.20","1,010.20"
EBLD91,-,"1,120.00","1,120.00","1,120.00","1,120.00","1,120.00",0.00,0.00,"1,120.00",50.00,"1,132.00","56,000.00",2,-12.00,0.00,-1.06,0.00,0.00,0.00,0.00,"1,133.00",994.40
EDBL,-,584.00,584.00,575.00,581.00,581.00,0.00,0.00,579.32,"4,975.00",575.70,"2,882,105.30",37,5.30,9.00,0.92,1.57,0.29,605.35,614.46,838.20,530.70
EHPL,-,414.60,436.00,410.00,418.00,418.00,0.00,0.00,415.35,"76,803.00",423.00,"31,899,943.60",376,-5.00,26.00,-1.18,6.34,0.63,528.70,583.49,937.00,385.00
ENL,-,910.00,915.00,875.20,895.00,895.00,0.00,0.00,886.44,"2,535.00",898.00,"2,247,127.90",55,-3.00,39.80,-0.33,4.55,0.96,"1,014.39","1,068.83","1,452.00",866.00
FMDBL,-,775.00,799.90,775.00,791.10,791.10,0.00,0.00,794.47,"12,260.00",790.10,"9,740,212.80",72,1.00,24.90,0.13,3.21,-0.43,830.39,809.32,"1,038.80",712.00
FOWAD,-,"1,079.00","1,089.90","1,072.30","1,089.00","1,089.00",0.00,0.00,"1,080.44","1,186.00","1,079.00","1,281,399.30",28,10.00,17.60,0.93,1.64,0.79,"1,134.00","1,144.31","1,350.00","1,043.80"
GBBD85,-,"1,100.00","1,100.00","1,100.00","1,100.00","1,100.00",0.00,0.00,"1,100.00",95.00,"1,116.00","104,500.00",2,-16.00,0.00,-1.43,0.00,0.00,"1,072.20","1,061.03","1,135.00","1,010.00"
GBBL,-,382.00,384.00,378.00,378.00,378.00,0.00,0.00,381.05,"19,875.00",378.00,"7,573,288.50",102,0.00,6.00,0.00,1.59,-0.81,409.39,405.85,498.00,367.40
GBILD86/87,-,"1,101.00","1,101.00","1,101.00","1,101.00","1,101.00",0.00,0.00,"1,101.00",25.00,"1,095.00","27,525.00",1,6.00,0.00,0.55,0.00,0.00,"1,055.20","1,038.14","1,134.00",994.00
GBIME,-,227.00,227.90,224.50,226.20,226.20,0.00,0.00,226.47,"64,941.00",226.70,"14,707,251.30",254,-0.50,3.40,-0.22,1.51,-0.12,241.47,235.22,278.90,210.70
GBIMESY2,-,8.81,8.90,8.73,8.90,8.90,0.00,0.00,8.80,"1,100.00",8.81,"9,678.00",10,0.09,0.17,1.02,1.95,1.14,0.00,0.00,10.00,8.50
GCIL,-,402.00,414.90,402.00,414.00,414.00,0.00,0.00,409.56,"11,217.00",407.90,"4,594,018.60",247,6.10,12.90,1.50,3.21,1.07,477.62,495.68,613.00,400.00
GFCL,-,590.00,593.90,586.00,592.50,592.50,0.00,0.00,588.91,"4,455.00",591.00,"2,623,595.40",45,1.50,7.90,0.25,1.35,0.61,626.00,641.81,867.00,528.30
GHL,-,212.00,212.60,208.50,211.00,211.00,0.00,0.00,211.04,"25,567.00",209.80,"5,395,596.90",106,1.20,4.10,0.57,1.97,-0.02,233.91,246.85,318.00,197.00
GIBF1,-,10.18,10.26,9.90,10.26,10.26,0.00,0.00,10.16,"52,603.00",10.26,"534,434.38",13,0.00,0.36,0.00,3.64,0.98,10.52,10.38,11.68,9.30
GILB,-,"1,240.10","1,274.30","1,240.10","1,260.00","1,260.00",0.00,0.00,"1,257.34","1,747.00","1,261.00","2,196,567.30",31,-1.00,34.20,-0.08,2.76,0.21,"1,270.48","1,267.28","1,441.60","1,131.90"
GLBSL,-,"1,903.10","1,937.00","1,903.00","1,937.00","1,937.00",0.00,0.00,"1,914.15",622.00,"1,903.00","1,190,602.90",22,34.00,34.00,1.79,1.79,1.18,"2,184.53","2,414.65","3,486.00","1,900.00"
GLH,-,245.20,250.00,245.20,249.00,249.00,0.00,0.00,247.18,"14,256.00",246.90,"3,523,850.90",130,2.10,4.80,0.85,1.96,0.73,263.71,261.76,306.30,227.40
GMFBS,-,"1,500.10","1,529.00","1,500.10","1,505.00","1,505.00",0.00,0.00,"1,508.93",163.00,"1,525.00","245,956.40",8,-20.00,28.90,-1.31,1.93,-0.26,"1,573.55","1,593.65","1,980.00","1,395.00"
GMFIL,-,472.00,480.40,469.50,476.80,476.80,0.00,0.00,474.92,"27,377.00",477.90,"13,001,852.20",118,-1.10,10.90,-0.23,2.32,0.39,476.82,485.45,619.00,393.10
GMLI,-,"1,760.10","1,795.00","1,760.10","1,761.50","1,761.50",0.00,0.00,"1,774.99",899.00,"1,772.00","1,595,714.50",67,-10.50,34.90,-0.59,1.98,-0.77,"2,047.14","2,120.79","2,778.00",301.00
GRDBL,-,"1,120.00","1,136.00","1,111.50","1,128.00","1,128.00",0.00,0.00,"1,121.30","5,198.00","1,120.00","5,828,532.40",114,8.00,24.50,0.71,2.20,0.59,"1,186.18","1,222.67","2,001.40",822.00
GSY,-,9.00,9.15,8.98,8.99,8.99,0.00,0.00,9.00,"86,700.00",9.16,"780,667.00",28,-0.17,0.17,-1.86,1.89,-0.16,9.25,9.22,10.30,8.70
GUFL,-,493.00,502.70,491.10,496.80,496.80,0.00,0.00,494.26,"5,712.00",495.00,"2,823,202.70",57,1.80,11.60,0.36,2.36,0.51,529.08,546.75,723.00,460.60
GVL,-,511.00,522.00,511.00,521.00,521.00,0.00,0.00,519.40,"21,739.00",516.00,"11,291,157.30",178,5.00,11.00,0.97,2.15,0.31,513.62,499.43,662.00,424.00
H8020,-,10.80,10.89,10.80,10.89,10.89,0.00,0.00,10.87,"1,545.00",10.80,"16,787.60",9,0.09,0.09,0.83,0.83,0.22,11.05,10.87,12.21,9.67
HATHY,-,920.00,920.00,901.10,914.20,914.20,0.00,0.00,907.16,"3,446.00",906.00,"3,126,067.30",98,8.20,18.90,0.91,2.10,0.77,"1,102.18","1,179.99","1,600.00",884.00
HBL,-,186.00,189.90,186.00,188.70,188.70,0.00,0.00,188.37,"54,014.00",187.50,"10,174,489.60","1,762",1.20,3.90,0.64,2.10,0.18,210.28,217.15,261.00,184.00
HBLPO,-,131.00,131.00,131.00,131.00,131.00,0.00,0.00,116.11,"150,766.00",131.00,"17,505,230.00",6,0.00,0.00,0.00,0.00,11.37,0.00,0.00,133.00,131.00
