Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,47.04,"1,360.00","1,386.00","1,333.00","1,381.00","1,363.70",911.00,"1,360.00","1,242,330.00",26,21.00,53.00,1.54,3.98,1.25,"1,540.59","1,560.83","1,938.00",752.00
ADBL,44.46,474.00,480.00,468.00,473.00,471.98,"35,963.00",477.50,"16,973,702.70",280,-4.50,12.00,-0.94,2.56,0.22,518.20,488.85,620.00,398.00
ADBLD83,41.88,"1,026.10","1,026.10","1,026.10","1,026.10","1,026.10",10.00,"1,006.00","10,261.00",1,20.10,0.00,2.00,0.00,0.00,-,-,"1,150.00","1,005.00"
AHPC,37.67,461.00,468.00,450.00,462.00,455.00,"115,571.00",459.00,"52,584,300.90",527,3.00,18.00,0.65,4.00,1.52,525.34,452.79,785.00,194.00
AIL,42.63,682.00,695.00,677.50,682.00,682.32,"4,911.00",682.00,"3,350,882.00",110,0.00,17.50,0.00,2.58,-0.05,796.42,802.15,"1,125.00",600.00
AKJCL,43.93,332.50,334.40,320.50,330.00,327.49,"65,234.00",326.00,"21,363,242.20",343,4.00,13.90,1.23,4.34,0.76,334.52,278.74,502.00,110.00
AKPL,37.98,589.90,590.00,574.00,580.00,580.15,"103,984.00",580.00,"60,326,086.90",798,0.00,16.00,0.00,2.79,-0.03,551.59,482.45,882.40,240.00
ALBSL,44.62,"1,360.00","1,360.00","1,330.00","1,350.00","1,339.36","1,683.00","1,360.00","2,254,141.60",43,-10.00,30.00,-0.74,2.26,0.79,"1,744.41","1,711.94","2,101.20",830.00
ALICL,39.32,"1,190.00","1,199.00","1,166.00","1,175.00","1,176.03","11,409.00","1,175.00","13,417,376.50",117,0.00,33.00,0.00,2.83,-0.09,"1,330.33","1,312.82","1,565.00",814.00
ALICLP,51.70,679.00,679.00,679.00,679.00,679.00,"3,648.00",679.00,"2,476,992.00",1,0.00,0.00,0.00,0.00,0.00,-,-,697.00,380.00
API,37.80,479.00,479.00,461.00,470.00,468.21,"131,549.00",470.00,"61,593,152.30",825,0.00,18.00,0.00,3.90,0.38,467.68,421.34,670.00,219.00
BARUN,33.78,485.00,485.00,460.00,480.00,473.29,"14,229.00",476.00,"6,734,397.60",98,4.00,25.00,0.84,5.43,1.40,537.24,448.29,763.40,167.00
BBC,42.46,"5,100.00","5,100.00","5,090.00","5,090.00","5,096.34",82.00,"5,100.00","417,900.00",8,-10.00,10.00,-0.20,0.20,-0.12,"5,913.59","5,333.27","8,208.00","2,400.00"
BFC,46.83,511.00,518.00,506.10,516.00,511.63,"17,738.00",509.00,"9,075,271.00",163,7.00,11.90,1.38,2.35,0.85,468.91,374.73,630.00,122.00
BNT,41.66,"11,650.00","11,859.00","11,630.00","11,855.00","11,660.94",266.00,"11,867.00","3,101,809.00",18,-12.00,229.00,-0.10,1.97,1.64,"10,706.32","10,273.04","14,308.20","8,000.00"
BOKL,38.88,291.00,291.00,279.30,282.00,283.30,"28,457.00",290.00,"8,061,880.70",255,-8.00,11.70,-2.76,4.19,-0.46,366.47,348.12,433.20,236.00
BPCL,41.26,490.00,493.00,479.00,484.00,482.88,"13,510.00",484.90,"6,523,696.20",139,-0.90,14.00,-0.19,2.92,0.23,534.62,496.17,703.00,380.00
CBBL,37.70,"1,628.00","1,640.00","1,615.00","1,626.90","1,622.37","14,477.00","1,628.00","23,487,068.30",243,-1.10,25.00,-0.07,1.55,0.28,"1,766.24","1,743.75","2,065.20","1,133.00"
CBL,40.84,256.00,259.00,252.90,256.00,254.88,"69,905.00",256.00,"17,817,174.30",260,0.00,6.10,0.00,2.41,0.44,272.13,260.29,316.00,165.00
