Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,614.50,614.50,585.00,600.00,591.67,842.00,602.50,"498,186.90",32,-2.50,29.50,-0.41,5.04,1.39,567.79,585.37,716.30,500.10
ADBL,-,230.00,230.00,223.00,224.00,224.34,"14,194.00",225.80,"3,184,330.90",176,-1.80,7.00,-0.80,3.14,-0.15,247.76,245.12,307.70,223.00
AHL,-,434.30,434.30,416.10,421.30,425.18,"7,650.00",429.00,"3,252,609.00",72,-7.70,18.20,-1.79,4.37,-0.92,367.27,360.29,504.00,273.10
AHPC,-,181.00,183.00,176.00,176.20,177.82,"26,846.00",180.30,"4,773,807.80",216,-4.10,7.00,-2.27,3.98,-0.92,219.07,235.14,316.00,176.00
AKJCL,-,217.30,217.30,210.00,211.50,213.27,"25,791.00",213.10,"5,500,557.10",177,-1.60,7.30,-0.75,3.48,-0.84,182.61,187.62,250.00,141.30
AKPL,-,176.00,176.40,172.00,174.00,174.41,"77,432.00",176.60,"13,504,822.40",376,-2.60,4.40,-1.47,2.56,-0.23,182.16,220.02,422.00,152.40
ALBSL,-,627.20,632.40,616.90,632.40,626.33,"3,710.00",640.00,"2,323,692.90",85,-7.60,15.50,-1.19,2.51,0.96,679.33,703.05,903.10,543.00
ALICL,-,549.00,553.90,538.00,545.90,540.85,"57,831.00",559.60,"31,278,022.30",241,-13.70,15.90,-2.45,2.96,0.92,655.84,667.92,812.00,517.50
ANLB,-,"1,875.00","1,912.00","1,839.60","1,912.00","1,860.65",567.00,"1,876.20","1,054,990.00",31,35.80,72.40,1.91,3.94,2.69,"1,856.14","1,963.10","2,651.00",403.80
API,-,177.00,177.00,174.00,175.80,175.03,"103,413.00",176.60,"18,100,467.30",493,-0.80,3.00,-0.45,1.72,0.44,180.77,193.78,269.00,154.70
AVYAN,-,580.00,591.00,580.00,589.90,586.63,890.00,589.00,"522,097.00",52,0.90,11.00,0.15,1.90,0.56,614.30,639.70,807.80,549.00
