Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,36.85,950.00,950.00,935.10,949.90,949.90,0.00,0.00,936.74,295.00,945.00,"276,338.10",22,4.90,14.90,0.52,1.59,1.39,965.93,968.79,"1,240.00",827.90
ADBL,46.99,304.00,329.00,304.00,322.00,322.00,0.00,0.00,323.40,"84,053.00",320.00,"27,182,336.20",317,2.00,25.00,0.63,8.22,-0.43,309.97,308.11,344.90,285.20
ADBLB86,35.41,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",0.00,0.00,"1,010.00",50.00,"1,000.00","50,500.00",1,10.00,0.00,1.00,0.00,0.00,0.00,0.00,"1,010.00","1,000.00"
ADBLD83,19.67,"1,034.30","1,034.30","1,034.30","1,034.30","1,034.30",0.00,0.00,"1,034.30",30.00,"1,034.30","31,029.00",1,0.00,0.00,0.00,0.00,0.00,"1,084.29","1,088.99","1,132.90","1,022.00"
AHL,33.97,416.30,430.00,416.30,420.00,420.00,0.00,0.00,421.19,"3,400.00",428.00,"1,432,051.60",55,-8.00,13.70,-1.87,3.29,-0.28,504.43,533.07,699.80,405.00
AHPC,27.44,274.90,276.40,271.30,271.30,271.30,0.00,0.00,272.98,"36,752.00",275.00,"10,032,431.40",162,-3.70,5.10,-1.35,1.88,-0.62,280.66,279.16,334.00,250.10
AKJCL,30.03,379.00,381.00,364.00,366.20,366.20,0.00,0.00,370.35,"372,666.00",379.00,"138,015,069.80",987,-12.80,17.00,-3.38,4.67,-1.13,374.35,313.57,461.40,172.90
AKPL,31.25,268.00,268.00,258.10,259.80,259.80,0.00,0.00,261.99,"64,949.00",265.70,"17,015,938.90",241,-5.90,9.90,-2.22,3.84,-0.84,270.61,262.07,317.00,227.50
ALBSL,40.07,"1,051.00","1,145.00","1,051.00","1,096.90","1,096.90",0.00,0.00,"1,090.72","3,280.00","1,087.00","3,577,560.90",91,9.90,94.00,0.91,8.94,0.56,"1,126.93","1,115.28","1,334.00",921.00
ALICL,30.71,442.00,442.20,432.10,436.00,436.00,0.00,0.00,435.43,"17,605.00",441.90,"7,665,676.10",137,-5.90,10.10,-1.34,2.34,0.13,455.86,460.13,549.00,413.40
ANLB,50.71,"6,326.10","6,326.10","5,660.20","5,768.00","5,768.00",0.00,0.00,"5,703.53","3,018.00","6,659.00","17,213,257.00",149,-891.00,665.90,-13.38,11.76,1.12,"6,203.86","6,197.26","7,560.00","5,450.00"
APHL,47.23,897.10,905.00,850.00,852.00,852.00,0.00,0.00,874.92,"30,226.00",905.00,"26,445,325.70",549,-53.00,55.00,-5.86,6.47,-2.69,0.00,0.00,"1,053.40",299.70
API,29.96,342.00,344.80,335.10,336.00,336.00,0.00,0.00,338.39,"189,693.00",344.00,"64,189,969.40",575,-8.00,9.70,-2.33,2.89,-0.71,334.92,318.49,370.00,258.80
AVYAN,30.13,"1,061.00","1,088.00","1,050.00","1,059.00","1,059.00",0.00,0.00,"1,066.91","2,659.00","1,089.00","2,836,915.50",54,-30.00,38.00,-2.75,3.62,-0.75,"1,079.23","1,043.04","1,366.00",906.00
BANDIPUR,33.32,758.00,763.00,725.00,730.00,730.00,0.00,0.00,740.29,"26,143.00",763.00,"19,353,306.90",448,-33.00,38.00,-4.33,5.24,-1.41,869.33,0.00,"1,233.00",285.00
BARUN,38.43,335.00,335.40,324.00,325.00,325.00,0.00,0.00,330.30,"28,368.00",334.00,"9,369,986.70",147,-9.00,11.40,-2.69,3.52,-1.63,348.94,341.72,419.00,292.10
BBC,44.66,"4,349.00","4,377.00","4,264.00","4,265.00","4,265.00",0.00,0.00,"4,310.48",102.00,"4,375.00","439,668.90",12,-110.00,113.00,-2.51,2.65,-1.07,"4,659.75","4,734.96","6,120.00","4,021.10"
BEDC,28.60,334.00,334.90,325.00,325.40,325.40,0.00,0.00,328.53,"18,773.00",334.00,"6,167,402.00",119,-8.60,9.90,-2.57,3.05,-0.96,423.38,468.62,872.00,303.10
BFC,31.42,506.40,538.00,506.40,516.00,516.00,0.00,0.00,526.10,"99,008.00",533.00,"52,087,859.90",374,-17.00,31.60,-3.19,6.24,-1.96,485.77,479.95,579.90,411.50
BGWT,37.97,587.00,605.50,586.50,588.00,588.00,0.00,0.00,596.22,"1,440.00",600.10,"858,551.60",26,-12.10,19.00,-2.02,3.24,-1.40,694.05,720.68,992.00,516.10
BHCL,42.19,520.00,525.00,500.00,508.00,508.00,0.00,0.00,508.53,"36,428.00",523.90,"18,524,657.50",391,-15.90,25.00,-3.03,5.00,-0.10,558.59,534.09,699.00,292.10
BHDC,29.30,432.00,447.80,432.00,438.10,438.10,0.00,0.00,439.69,"6,847.00",445.20,"3,010,584.50",59,-7.10,15.80,-1.59,3.66,-0.36,467.18,475.81,706.00,412.00
BHL,28.89,213.00,219.10,212.00,214.00,214.00,0.00,0.00,214.72,"63,844.00",217.00,"13,708,826.30",293,-3.00,7.10,-1.38,3.35,-0.34,217.76,205.01,264.40,164.00
BHPL,38.18,465.00,493.50,465.00,480.10,480.10,0.00,0.00,487.58,"5,423.00",486.60,"2,644,167.60",52,-6.50,28.50,-1.34,6.13,-1.56,540.45,565.49,860.00,449.00
BJHL,28.35,770.40,793.00,718.00,746.00,746.00,0.00,0.00,750.28,"20,654.00",793.00,"15,496,348.50",294,-47.00,75.00,-5.93,10.45,-0.57,0.00,0.00,"1,305.00",270.10
BNHC,36.57,305.90,305.90,286.50,289.90,289.90,0.00,0.00,290.12,"20,853.00",297.00,"6,049,880.70",160,-7.10,19.40,-2.39,6.77,-0.08,359.07,386.16,613.80,261.30
BNT,32.18,"11,878.00","11,878.00","11,650.00","11,652.00","11,652.00",0.00,0.00,"11,707.50",80.00,"11,532.20","936,600.00",8,119.80,228.00,1.04,1.96,-0.48,"11,741.06","11,671.71","13,205.00","10,660.00"
BOKD86KA,36.20,"1,145.00","1,145.40","1,145.00","1,145.40","1,145.40",0.00,0.00,"1,145.40","4,703.00","1,145.00","5,386,815.30",2,0.40,0.40,0.03,0.03,0.00,0.00,0.00,"1,247.00","1,100.00"
BPCL,28.36,645.10,677.00,645.10,665.00,665.00,0.00,0.00,660.85,"17,921.00",665.00,"11,843,090.70",90,0.00,31.90,0.00,4.94,0.62,697.56,709.74,"1,053.00",612.00
BUNGAL,24.99,634.90,634.90,600.00,603.00,603.00,0.00,0.00,615.31,"38,521.00",634.90,"23,702,419.60",389,-31.90,34.90,-5.02,5.82,-2.04,657.88,0.00,895.00,302.40
C30MF,23.22,9.69,9.70,9.69,9.70,9.70,0.00,0.00,9.70,300.00,9.96,"2,909.00",2,-0.26,0.01,-2.61,0.10,0.03,9.98,9.72,10.71,8.70
CBBL,37.15,932.00,945.00,932.00,937.00,937.00,0.00,0.00,940.90,"21,752.00",938.00,"20,466,404.70",202,-1.00,13.00,-0.11,1.39,-0.42,924.09,945.57,"1,144.80",882.00
CCBD88,27.89,"1,326.00","1,326.00","1,215.40","1,215.40","1,215.40",0.00,0.00,"1,215.42","5,001.00","1,326.00","6,078,318.90",3,-110.60,110.60,-8.34,9.10,0.00,"1,215.55","1,194.96","1,326.00","1,126.00"
CFCL,48.61,624.40,682.80,624.40,660.00,660.00,0.00,0.00,670.11,"238,752.00",657.20,"159,990,517.00",843,2.80,58.40,0.43,9.35,-1.53,562.46,537.42,695.00,445.10
CGH,33.45,785.00,789.00,780.00,782.00,782.00,0.00,0.00,780.71,"63,570.00",787.00,"49,629,423.00",81,-5.00,9.00,-0.64,1.15,0.17,816.92,835.59,"1,150.00",748.00
CHCL,38.57,495.00,499.50,494.00,496.90,496.90,0.00,0.00,496.84,"56,689.00",494.20,"28,165,580.50",242,2.70,5.50,0.55,1.11,0.01,484.19,485.43,583.00,450.30
CHDC,48.25,"2,267.00","2,430.00","2,231.20","2,300.00","2,300.00",0.00,0.00,"2,312.55","51,266.00","2,254.00","118,554,977.20",464,46.00,198.80,2.04,8.91,-0.55,"2,331.67","2,317.87","2,997.90","1,967.00"
CHL,29.55,283.00,283.00,264.30,267.00,267.00,0.00,0.00,267.78,"11,615.00",270.00,"3,110,215.00",80,-3.00,18.70,-1.11,7.08,-0.29,287.09,277.27,342.00,223.40
CIT,43.03,"1,734.00","1,747.00","1,720.00","1,721.00","1,721.00",0.00,0.00,"1,732.38","4,295.00","1,734.00","7,440,563.90",103,-13.00,27.00,-0.75,1.57,-0.66,"1,763.54","1,786.19","2,168.00","1,630.30"
CITY,30.77,380.00,387.00,370.10,372.70,372.70,0.00,0.00,376.35,"144,143.00",387.00,"54,247,953.20",725,-14.30,16.90,-3.70,4.57,-0.98,439.91,463.15,970.00,327.80
CKHL,27.44,588.00,621.00,588.00,614.70,614.70,0.00,0.00,604.54,"2,395.00",618.00,"1,447,865.50",32,-3.30,33.00,-0.53,5.61,1.65,673.63,659.56,804.00,525.00
CLI,35.16,450.30,459.90,450.30,453.00,453.00,0.00,0.00,455.89,"29,516.00",454.00,"13,456,135.30",195,-1.00,9.60,-0.22,2.13,-0.64,461.98,466.90,531.40,411.00
CORBL,37.60,"1,471.60","1,471.60","1,330.00","1,399.90","1,399.90",0.00,0.00,"1,386.34","69,345.00","1,549.00","96,135,864.10",863,-149.10,141.60,-9.63,10.65,0.97,"1,854.93","1,792.23","3,183.00","1,282.00"
CREST,28.93,"1,290.30","1,290.30","1,200.20","1,200.30","1,200.30",0.00,0.00,"1,209.01","8,738.00","1,228.90","10,564,302.40",110,-28.60,90.10,-2.33,7.51,-0.73,"1,286.79","1,277.62","1,588.00",985.20
CSY,35.41,9.06,9.35,9.00,9.05,9.05,0.00,0.00,9.29,"18,899.00",9.06,"175,664.65",26,-0.01,0.35,-0.11,3.89,-2.71,0.00,0.00,10.00,8.78
CYCL,37.94,"1,345.00","1,368.90","1,345.00","1,355.00","1,355.00",0.00,0.00,"1,348.88",629.00,"1,376.00","848,446.40",33,-21.00,23.90,-1.53,1.78,0.45,"1,504.61","1,516.99","2,040.00","1,280.00"
CZBIL,44.56,199.00,215.00,199.00,208.00,208.00,0.00,0.00,211.48,"164,940.00",209.40,"34,881,812.60",421,-1.40,16.00,-0.67,8.04,-1.67,203.73,201.06,240.10,183.00
DDBL,27.10,853.00,854.00,841.20,844.00,844.00,0.00,0.00,847.83,"3,955.00",854.00,"3,353,175.10",57,-10.00,12.80,-1.17,1.52,-0.45,845.02,846.16,"1,010.00",793.00
DHEL,46.45,626.00,630.00,590.00,605.00,605.00,0.00,0.00,609.89,"32,479.00",626.00,"19,808,582.70",383,-21.00,40.00,-3.35,6.78,-0.81,655.08,0.00,918.90,402.20
DHPL,34.73,300.00,300.00,290.00,296.90,296.90,0.00,0.00,291.48,"5,135.00",300.00,"1,496,737.90",41,-3.10,10.00,-1.03,3.45,1.83,302.91,300.08,354.00,254.00
DLBS,51.97,"1,210.00","1,285.00","1,190.20","1,258.00","1,258.00",0.00,0.00,"1,235.89","4,370.00","1,220.10","5,400,849.90",43,37.90,94.80,3.11,7.97,1.76,"1,306.58","1,318.47","1,670.00","1,083.80"
DOLTI,34.93,335.00,335.00,325.00,325.00,325.00,0.00,0.00,328.84,"24,263.00",331.90,"7,978,707.50",134,-6.90,10.00,-2.08,3.08,-1.18,419.13,452.00,626.70,300.10
DORDI,29.00,260.10,266.50,257.00,257.00,257.00,0.00,0.00,259.53,"16,665.00",263.10,"4,324,989.10",143,-6.10,9.50,-2.32,3.70,-0.98,277.04,271.07,328.40,213.10
EBL,41.55,732.90,732.90,720.00,726.00,726.00,0.00,0.00,728.13,"58,133.00",724.00,"42,328,424.40",257,2.00,12.90,0.28,1.79,-0.29,696.45,679.65,780.60,619.00
EBLD85,27.24,"1,121.90","1,148.00","1,121.90","1,148.00","1,148.00",0.00,0.00,"1,122.16","2,525.00","1,130.00","2,833,450.00",4,18.00,26.10,1.59,2.33,2.25,"1,166.56","1,157.01","1,250.00","1,097.00"
EBLD86,46.73,"1,100.40","1,100.40","1,100.40","1,100.40","1,100.40",0.00,0.00,"1,100.40",300.00,"1,105.00","330,120.00",1,-4.60,0.00,-0.42,0.00,0.00,"1,089.68","1,077.13","1,150.00","1,022.00"
EBLD91,27.08,"1,058.00","1,062.10","1,058.00","1,062.10","1,062.10",0.00,0.00,"1,061.08",100.00,"1,090.00","106,108.40",4,-27.90,4.10,-2.56,0.39,0.10,"1,089.77","1,086.70","1,142.40",994.40
ECL,35.41,670.60,748.70,670.60,748.70,748.70,0.00,0.00,745.13,530.00,651.10,"394,917.00",53,97.60,78.10,14.99,11.65,0.48,0.00,0.00,748.70,296.60
EDBL,30.09,581.00,582.00,575.10,575.50,575.50,0.00,0.00,577.81,"12,084.00",581.50,"6,982,218.40",37,-6.00,6.90,-1.03,1.20,-0.40,586.17,588.24,717.30,545.00
EHPL,29.64,365.00,365.00,346.00,346.10,346.10,0.00,0.00,351.32,"9,591.00",358.90,"3,369,470.30",109,-12.80,19.00,-3.57,5.49,-1.51,399.80,407.84,681.80,318.30
ENL,26.81,845.00,845.00,824.00,824.00,824.00,0.00,0.00,825.18,309.00,849.00,"254,980.00",9,-25.00,21.00,-2.94,2.55,-0.14,893.23,898.33,"1,207.60",762.00
FMDBL,27.84,780.20,788.00,765.00,765.00,765.00,0.00,0.00,776.37,"7,027.00",780.00,"5,455,530.60",63,-15.00,23.00,-1.92,3.01,-1.49,801.81,806.82,"1,038.80",730.00
FOWAD,34.53,997.00,997.00,955.00,955.00,955.00,0.00,0.00,965.72,"6,867.00",997.00,"6,631,590.20",116,-42.00,42.00,-4.21,4.40,-1.12,"1,067.26","1,075.88","1,364.00",933.00
GBBD85,21.18,"1,070.00","1,070.00","1,070.00","1,070.00","1,070.00",0.00,0.00,"1,070.00",25.00,"1,085.00","26,750.00",1,-15.00,0.00,-1.38,0.00,0.00,"1,086.73","1,084.06","1,135.00","1,031.00"
GBBL,35.84,405.00,431.00,405.00,419.00,419.00,0.00,0.00,423.52,"68,856.00",426.00,"29,161,799.80",169,-7.00,26.00,-1.64,6.42,-1.08,410.67,402.69,498.00,367.40
GBILD84/85,24.94,"1,133.40","1,133.40","1,133.40","1,133.40","1,133.40",0.00,0.00,"1,133.40","9,485.00","1,145.00","10,750,299.00",1,-11.60,0.00,-1.01,0.00,0.00,"1,162.94","1,166.70","1,238.00","1,067.00"
GBIME,47.68,238.00,267.80,238.00,255.00,255.00,0.00,0.00,258.34,"1,089,231.00",249.50,"281,395,378.60","2,097",5.50,29.80,2.20,12.52,-1.31,237.36,234.51,276.00,218.90
GBIMESY2,24.35,9.40,9.48,9.12,9.30,9.30,0.00,0.00,9.18,"2,200.00",9.33,"20,190.00",9,-0.03,0.36,-0.32,3.95,1.32,9.40,9.26,10.78,8.50
GBLBS,47.21,750.00,765.00,750.00,761.20,761.20,0.00,0.00,757.44,"2,341.00",761.00,"1,773,156.50",43,0.20,15.00,0.03,2.00,0.49,770.75,776.89,950.00,698.00
GCIL,27.51,361.30,365.00,355.70,359.00,359.00,0.00,0.00,361.79,"12,425.00",364.00,"4,495,265.60",158,-5.00,9.30,-1.37,2.61,-0.78,410.30,416.93,571.00,315.50
GFCL,28.74,630.00,636.00,618.00,618.00,618.00,0.00,0.00,627.20,"10,108.00",630.40,"6,339,787.10",91,-12.40,18.00,-1.97,2.91,-1.49,642.12,627.51,748.60,528.30
GHL,31.87,234.00,238.00,229.00,231.00,231.00,0.00,0.00,232.03,"45,351.00",234.00,"10,522,744.60",136,-3.00,9.00,-1.28,3.93,-0.45,240.03,231.07,290.00,197.10
GIBF1,37.59,10.60,10.70,10.60,10.70,10.70,0.00,0.00,10.64,"1,900.00",10.55,"20,211.00",8,0.15,0.10,1.42,0.94,0.59,10.82,10.61,11.68,9.30
GILB,33.35,"1,119.90","1,133.30","1,086.40","1,096.00","1,096.00",0.00,0.00,"1,095.51","4,945.00","1,120.00","5,417,307.30",41,-24.00,46.90,-2.14,4.32,0.04,"1,134.69","1,161.31","1,441.60","1,020.10"
GLBSL,34.56,"1,710.00","1,850.00","1,710.00","1,800.00","1,800.00",0.00,0.00,"1,787.21",246.00,"1,800.00","439,654.60",22,0.00,140.00,0.00,8.19,0.71,"1,853.87","1,904.04","2,440.00","1,705.20"
GLH,29.64,257.10,261.90,253.20,254.00,254.00,0.00,0.00,256.32,"24,815.00",259.00,"6,360,501.30",148,-5.00,8.70,-1.93,3.44,-0.91,269.89,264.38,328.20,227.40
GMFBS,36.25,"1,220.00","1,220.00","1,212.30","1,212.30","1,212.30",0.00,0.00,"1,216.66",175.00,"1,246.00","212,915.00",8,-33.70,7.70,-2.70,0.64,-0.36,"1,347.84","1,407.88","1,768.00","1,130.50"
GMFIL,45.57,482.00,484.70,465.10,469.90,469.90,0.00,0.00,477.29,"30,013.00",473.00,"14,324,892.80",85,-3.10,19.60,-0.66,4.21,-1.57,475.01,470.25,557.00,393.10
GMLI,28.88,"1,187.00","1,205.00","1,157.00","1,175.00","1,175.00",0.00,0.00,"1,170.76",853.00,"1,186.50","998,657.30",34,-11.50,48.00,-0.97,4.15,0.36,"1,464.26","1,578.65","2,200.00","1,114.00"
GRDBL,28.66,"1,033.60","1,112.00","1,033.60","1,074.00","1,074.00",0.00,0.00,"1,076.70","6,239.00","1,088.00","6,717,550.40",58,-14.00,78.40,-1.29,7.59,-0.25,"1,085.40","1,093.50","1,398.70",949.00
GSY,22.83,9.51,9.87,9.51,9.87,9.87,0.00,0.00,9.67,"2,100.00",9.42,"20,308.00",21,0.45,0.36,4.78,3.79,2.02,9.83,9.56,10.40,8.70
GUFL,42.61,566.90,594.90,566.90,578.50,578.50,0.00,0.00,582.89,"157,711.00",557.00,"91,928,358.80",747,21.50,28.00,3.86,4.94,-0.76,552.48,538.45,644.00,460.60
GVL,30.99,482.40,490.00,482.40,485.00,485.00,0.00,0.00,485.81,"11,292.00",485.00,"5,485,757.80",78,0.00,7.60,0.00,1.58,-0.17,492.48,501.01,662.00,461.00
H8020,36.02,11.80,11.81,11.80,11.81,11.81,0.00,0.00,11.81,"1,000.00",12.00,"11,809.00",9,-0.19,0.01,-1.58,0.08,0.01,11.74,11.40,12.56,10.00
HATHY,27.19,750.00,759.00,725.00,737.00,737.00,0.00,0.00,734.01,"10,058.00",755.00,"7,382,631.80",125,-18.00,34.00,-2.38,4.69,0.41,836.27,862.45,"1,355.00",660.00
HBL,40.09,206.00,210.00,201.40,201.90,201.90,0.00,0.00,206.12,"92,763.00",206.00,"19,119,967.80","1,096",-4.10,8.60,-1.99,4.27,-2.09,201.91,198.55,250.90,184.00
HDHPC,32.18,220.60,222.00,212.50,214.00,214.00,0.00,0.00,217.26,"180,860.00",218.60,"39,293,028.10",421,-4.60,9.50,-2.10,4.47,-1.52,219.67,205.71,274.00,162.00
HDL,29.36,"1,199.00","1,199.00","1,161.00","1,164.80","1,164.80",0.00,0.00,"1,168.92","20,739.00","1,166.00","24,242,135.70",340,-1.20,38.00,-0.10,3.27,-0.35,"1,162.54","1,171.58","1,556.10","1,097.60"
HEI,42.43,545.00,548.00,530.70,542.00,542.00,0.00,0.00,543.04,"9,478.00",544.00,"5,146,975.10",40,-2.00,17.30,-0.37,3.26,-0.19,532.14,520.46,645.80,458.00
HEIP,31.88,337.80,342.00,337.80,342.00,342.00,0.00,0.00,340.92,491.00,328.00,"167,393.80",6,14.00,4.20,4.27,1.24,0.31,326.10,328.18,388.00,293.10
HFIN,37.96,757.00,780.00,715.00,720.00,720.00,0.00,0.00,748.67,"53,676.00",779.00,"40,185,745.30",793,-59.00,65.00,-7.57,9.09,-3.98,0.00,0.00,"1,450.60",101.70
HHL,30.56,350.00,355.90,343.00,344.30,344.30,0.00,0.00,345.03,"23,699.00",349.00,"8,176,901.10",141,-4.70,12.90,-1.35,3.76,-0.21,358.64,349.75,459.00,309.00
HIDCL,30.16,261.30,267.00,260.00,262.00,262.00,0.00,0.00,262.46,"55,059.00",263.70,"14,450,634.60",261,-1.70,7.00,-0.64,2.69,-0.17,268.22,267.15,325.00,245.00
HIDCLP,31.10,195.00,199.00,191.00,194.00,194.00,0.00,0.00,194.57,"133,068.00",195.90,"25,891,554.20",219,-1.90,8.00,-0.97,4.19,-0.30,200.81,194.97,239.00,174.40
HIMSTAR,27.04,748.00,780.00,721.10,728.00,728.00,0.00,0.00,746.88,"7,989.00",770.00,"5,966,784.70",121,-42.00,58.90,-5.45,8.17,-2.59,892.94,865.87,"1,264.00",252.20
HLBSL,28.27,900.90,900.90,883.10,883.60,883.60,0.00,0.00,883.27,817.00,900.90,"721,629.00",9,-17.30,17.80,-1.92,2.02,0.04,904.38,906.59,"1,100.00",830.00
HLI,29.78,330.00,336.00,329.00,329.50,329.50,0.00,0.00,332.57,"31,849.00",333.50,"10,592,036.40",244,-4.00,7.00,-1.20,2.13,-0.93,351.64,359.08,464.00,313.10
HLICF,34.46,8.49,8.60,8.25,8.60,8.60,0.00,0.00,8.31,"2,750.00",8.75,"22,864.50",10,-0.15,0.35,-1.71,4.24,3.32,9.17,0.00,10.55,8.25
HPPL,43.60,370.00,385.00,370.00,379.00,379.00,0.00,0.00,376.52,"155,350.00",380.00,"58,492,553.90",368,-1.00,15.00,-0.26,4.05,0.65,408.45,432.36,605.00,340.10
HRL,32.57,635.00,635.00,602.00,603.90,603.90,0.00,0.00,614.21,"168,162.00",629.00,"103,287,146.90","1,457",-25.10,33.00,-3.99,5.48,-1.71,720.83,756.25,"1,139.90",545.00
HURJA,32.76,241.30,246.00,235.00,237.00,237.00,0.00,0.00,239.85,"71,050.00",241.00,"17,041,101.70",198,-4.00,11.00,-1.66,4.68,-1.20,258.46,246.84,312.10,204.60
ICFC,30.87,628.00,628.00,613.00,613.00,613.00,0.00,0.00,619.28,"4,344.00",628.00,"2,690,159.20",48,-15.00,15.00,-2.39,2.45,-1.02,638.05,637.49,730.90,580.00
ICFCD88,21.11,"1,125.00","1,125.00","1,125.00","1,125.00","1,125.00",0.00,0.00,"1,125.00",25.00,"1,124.20","28,125.00",1,0.80,0.00,0.07,0.00,0.00,"1,149.94","1,136.95","1,216.00","1,053.60"
