Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,33.42,710.00,715.00,700.00,700.10,703.86,"1,114.00",713.00,"784,094.70",52,-12.90,15.00,-1.81,2.14,-0.54,816.09,926.83,"1,566.00",688.20
ADBL,31.21,322.80,322.80,311.80,314.00,314.50,"15,742.00",316.50,"4,950,794.20",167,-2.50,11.00,-0.79,3.53,-0.16,324.51,343.48,520.00,298.00
AHPC,28.62,270.80,270.80,256.00,256.50,260.91,"47,216.00",265.50,"12,319,244.10",264,-9.00,14.80,-3.39,5.78,-1.72,343.20,382.54,628.30,255.00
AKJCL,29.42,172.00,173.50,165.00,169.40,168.80,"29,186.00",172.00,"4,926,458.20",162,-2.60,8.50,-1.51,5.15,0.36,201.48,224.30,365.00,161.00
AKPL,30.92,363.00,366.00,352.00,352.50,356.02,"32,764.00",358.00,"11,664,604.20",230,-5.50,14.00,-1.54,3.98,-1.00,435.92,447.50,654.00,352.00
ALBSL,32.69,920.00,943.00,905.00,925.00,914.07,"1,693.00",932.00,"1,547,522.00",37,-7.00,38.00,-0.75,4.20,1.18,"1,162.42","1,236.11","1,750.00",891.00
ALICL,33.17,478.90,478.90,455.00,455.10,460.74,"14,015.00",470.00,"6,457,288.20",134,-14.90,23.90,-3.17,5.25,-1.24,551.19,639.66,"1,398.00",428.00
API,33.25,216.00,216.50,208.90,210.00,211.05,"90,190.00",214.00,"19,034,390.60",393,-4.00,7.60,-1.87,3.64,-0.50,248.27,295.67,575.00,200.00
AVYAN,31.69,743.00,759.00,721.00,730.00,731.62,"3,358.00",747.00,"2,456,795.30",213,-17.00,38.00,-2.28,5.27,-0.22,-,-,963.00,316.00
BARUN,32.88,209.00,212.00,205.00,205.00,206.53,"3,788.00",209.00,"782,337.40",43,-4.00,7.00,-1.91,3.41,-0.75,323.87,372.57,595.00,201.00
BBC,31.31,"3,366.00","3,366.00","3,200.00","3,304.00","3,275.54",130.00,"3,304.00","425,820.00",11,0.00,166.00,0.00,5.19,0.86,"3,528.48","3,782.53","5,803.00","3,137.00"
BFC,34.04,318.00,320.00,304.00,308.00,309.07,"14,621.00",314.00,"4,518,919.30",86,-6.00,16.00,-1.91,5.26,-0.35,367.93,388.29,580.00,298.00
