Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,070.00","1,080.10","1,050.10","1,071.90","1,070.25","2,220.00","1,070.00","2,375,951.20",48,1.90,30.00,0.18,2.86,0.15,"1,117.42","1,002.96","1,491.00",519.90
ADBL,-,341.60,345.00,336.70,339.00,339.41,"32,050.00",341.20,"10,878,210.80",239,-2.20,8.30,-0.64,2.47,-0.12,343.11,308.02,428.40,223.00
AHL,-,741.50,741.50,717.00,729.00,723.26,"6,067.00",727.00,"4,388,036.00",72,2.00,24.50,0.28,3.42,0.79,644.36,577.54,904.00,343.30
AHPC,-,271.00,272.10,265.00,267.00,267.93,"111,205.00",266.80,"29,795,062.10",344,0.20,7.10,0.07,2.68,-0.35,243.38,219.37,349.00,149.00
AKJCL,-,212.00,215.00,209.10,212.00,211.29,"191,382.00",212.00,"40,437,166.40",609,0.00,5.90,0.00,2.82,0.33,213.20,213.23,274.90,150.90
AKPL,-,250.00,253.00,248.00,248.90,249.69,"102,220.00",250.00,"25,522,810.10",372,-1.10,5.00,-0.44,2.02,-0.32,229.43,210.85,326.00,157.20
ALBSL,-,850.00,862.00,845.00,850.00,848.82,"2,677.00",851.00,"2,272,282.70",54,-1.00,17.00,-0.12,2.01,0.14,"1,019.53",936.43,"1,177.00",590.70
ALICL,-,735.30,744.90,726.10,728.00,731.23,"22,166.00",733.00,"16,208,507.80",157,-5.00,18.80,-0.68,2.59,-0.44,693.24,650.71,825.00,523.00
ANLB,-,"4,950.00","4,951.00","4,900.00","4,950.00","4,946.64","3,193.00","4,950.00","15,794,636.30",18,0.00,51.00,0.00,1.04,0.07,"3,828.26","3,238.74","5,705.00","1,591.20"
API,-,278.00,278.90,273.00,274.70,274.94,"143,288.00",275.00,"39,395,336.00",589,-0.30,5.90,-0.11,2.16,-0.09,264.41,234.91,390.00,162.00
AVYAN,-,"1,141.00","1,143.00","1,100.00","1,116.00","1,117.96","13,851.00","1,120.10","15,484,918.00",132,-4.10,43.00,-0.37,3.91,-0.18,984.73,896.31,"1,195.00",574.50
BARUN,-,430.00,442.00,428.40,439.00,435.43,"61,045.00",429.00,"26,581,047.00",274,10.00,13.60,2.33,3.17,0.81,355.61,316.84,472.00,211.00
BBC,-,"6,610.00","6,610.00","6,300.10","6,400.00","6,388.92","2,563.00","6,483.00","16,374,798.60",158,-83.00,309.90,-1.28,4.92,0.17,"4,442.08","4,230.20","7,247.00","3,525.00"
