Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,075.10","1,100.00","1,075.10","1,077.10","1,087.85","4,988.00","1,081.00","5,426,212.80",113,-3.90,24.90,-0.36,2.32,-1.00,"1,001.45",866.61,"1,491.00",500.10
ADBL,-,365.20,365.20,350.00,356.00,357.38,"88,445.00",360.00,"31,608,632.10",472,-4.00,15.20,-1.11,4.34,-0.39,289.15,273.27,428.40,223.00
ADBLD83,-,"1,100.00","1,100.00","1,100.00","1,100.00","1,100.00",25.00,"1,091.00","27,500.00",1,9.00,0.00,0.82,0.00,0.00,"1,056.29","1,034.97","1,138.50",941.00
AHL,-,662.00,662.00,617.40,617.40,641.63,"14,374.00",663.00,"9,222,754.40",201,-45.60,44.60,-6.88,7.22,-3.92,539.83,499.11,904.00,280.50
AHPC,-,285.70,285.90,268.30,270.10,277.25,"440,568.00",280.10,"122,145,821.40","1,302",-10.00,17.60,-3.57,6.56,-2.65,197.03,206.58,349.00,149.00
AKJCL,-,217.70,217.70,208.00,208.20,210.33,"68,401.00",213.50,"14,386,503.80",385,-5.30,9.70,-2.48,4.66,-1.02,213.81,214.40,274.90,141.30
AKPL,-,254.40,254.40,244.00,244.50,247.15,"301,800.00",249.50,"74,588,406.70",836,-5.00,10.40,-2.00,4.26,-1.08,195.21,193.27,326.00,152.40
ALBSL,-,"1,066.00","1,075.00","1,045.00","1,060.00","1,056.24","8,315.00","1,064.00","8,782,604.00",126,-4.00,30.00,-0.38,2.87,0.36,936.38,852.88,"1,177.00",543.00
ALICL,-,726.00,726.00,702.00,704.00,708.61,"27,077.00",713.00,"19,186,942.40",215,-9.00,24.00,-1.26,3.42,-0.65,623.67,633.82,825.00,523.00
ANLB,-,"5,272.40","5,705.00","4,962.90","5,150.00","5,161.88","5,159.00","5,380.00","26,630,118.20",306,-230.00,742.10,-4.28,14.95,-0.23,"2,609.42","2,345.58","5,705.00","1,550.00"
API,-,324.30,324.30,310.00,312.00,314.95,"469,446.00",318.00,"147,851,069.40","1,871",-6.00,14.30,-1.89,4.61,-0.94,211.85,204.79,390.00,154.70
AVYAN,-,971.10,985.00,955.00,961.00,967.48,"4,402.00",970.00,"4,258,831.50",109,-9.00,30.00,-0.93,3.14,-0.67,883.18,791.55,"1,195.00",550.00
BARUN,-,349.80,349.80,333.30,338.00,338.89,"28,024.00",343.00,"9,497,130.00",172,-5.00,16.50,-1.46,4.95,-0.26,291.24,278.70,431.20,191.10
BBC,-,"4,430.00","4,440.00","4,371.00","4,440.00","4,401.96",286.00,"4,438.00","1,258,961.00",18,2.00,69.00,0.05,1.58,0.86,"4,086.45","3,986.93","5,314.00","3,405.50"
BEDC,-,441.70,449.00,428.60,436.00,435.35,"8,059.00",441.70,"3,508,509.90",148,-5.70,20.40,-1.29,4.76,0.15,417.04,388.46,550.80,181.00
