Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,534.20,534.20,523.50,530.00,527.49,648.00,545.00,"341,813.80",27,-15.00,10.70,-2.75,2.04,0.47,585.62,611.12,906.70,520.10
ADBL,-,260.00,260.00,250.00,251.70,250.88,"12,366.00",255.00,"3,102,423.10",129,-3.30,10.00,-1.29,4.00,0.32,245.05,253.89,355.80,224.00
AHL,-,312.60,317.80,311.80,317.80,312.60,"4,289.00",318.00,"1,340,726.90",52,-0.20,6.00,-0.06,1.92,1.64,338.31,0.00,480.90,273.10
AHPC,-,214.00,214.00,205.10,205.10,210.34,"7,700.00",212.00,"1,619,624.70",57,-6.90,8.90,-3.25,4.34,-2.56,249.85,267.77,364.00,190.00
AKJCL,-,154.00,154.00,148.60,150.00,150.19,"7,088.00",152.00,"1,064,537.60",53,-2.00,5.40,-1.32,3.63,-0.13,184.87,199.68,262.00,144.10
AKPL,-,174.00,174.00,170.00,171.00,170.87,"26,177.00",174.50,"4,472,948.80",149,-3.50,4.00,-2.01,2.35,0.07,264.42,310.47,460.90,152.40
ALBSL,-,666.50,679.00,656.30,679.00,668.86,975.00,680.00,"652,137.50",32,-1.00,22.70,-0.15,3.46,1.49,721.73,757.03,"1,158.90",635.10
ALICL,-,628.00,628.00,615.00,616.00,618.25,"10,401.00",639.00,"6,430,401.10",93,-23.00,13.00,-3.60,2.11,-0.36,663.86,655.44,812.00,435.00
ANLB,-,"1,832.00","1,870.00","1,832.00","1,860.00","1,853.59",120.00,"1,862.00","222,431.00",12,-2.00,38.00,-0.11,2.07,0.34,0.00,0.00,"2,651.00",403.80
API,-,168.10,169.90,167.20,169.00,169.07,"24,779.00",169.80,"4,189,452.80",156,-0.80,2.70,-0.47,1.61,-0.04,206.16,225.64,315.00,165.00
AVYAN,-,600.00,600.00,580.00,580.00,584.72,"1,645.00",591.00,"961,872.00",50,-11.00,20.00,-1.86,3.45,-0.81,653.99,653.12,837.50,549.00
BARUN,-,215.00,215.00,210.10,212.00,211.11,"1,748.00",215.00,"369,020.50",28,-3.00,4.90,-1.40,2.33,0.42,236.96,245.61,300.00,190.30
BBC,-,"3,475.00","3,506.00","3,405.50","3,506.00","3,472.84",77.00,"3,545.00","267,409.00",7,-39.00,100.50,-1.10,2.95,0.95,"3,604.35","3,497.17","4,539.00","3,050.00"
BEDC,-,202.50,204.00,200.00,202.00,201.91,"1,355.00",206.20,"273,590.00",91,-4.20,4.00,-2.04,2.00,0.04,0.00,0.00,326.30,170.00
BFC,-,295.00,296.00,292.50,292.50,295.26,"1,082.00",296.50,"319,475.00",13,-4.00,3.50,-1.35,1.20,-0.94,317.65,321.90,406.00,287.00
BGWT,-,360.00,369.00,360.00,369.00,361.96,"4,920.00",366.00,"1,780,862.00",327,3.00,9.00,0.82,2.50,1.91,0.00,0.00,436.90,352.80
BHDC,-,319.00,327.40,319.00,327.40,321.90,"1,900.00",324.80,"611,612.00",72,2.60,8.40,0.80,2.63,1.68,364.01,382.93,468.90,286.50
BHL,-,202.60,206.00,202.00,206.00,203.10,830.00,206.00,"168,570.00",46,0.00,4.00,0.00,1.98,1.41,254.55,281.94,394.70,192.70
BHPL,-,419.50,424.00,412.00,414.60,419.21,"4,362.00",428.00,"1,828,578.90",51,-13.40,12.00,-3.13,2.91,-1.11,445.38,475.61,677.20,194.30
BNHC,-,323.00,323.00,307.50,320.00,313.58,"2,430.00",329.00,"761,991.00",40,-9.00,15.50,-2.74,5.04,2.01,342.22,369.49,484.70,270.10
BNT,-,"13,100.00","13,100.10","13,000.00","13,100.00","13,083.06",295.00,"13,006.00","3,859,501.50",12,94.00,100.10,0.72,0.77,0.13,"13,170.55","13,061.07","16,200.00","11,152.00"
BPCL,-,298.00,300.00,297.00,297.60,298.34,"2,710.00",299.90,"808,512.10",47,-2.30,3.00,-0.77,1.01,-0.25,317.73,318.62,368.50,291.00
BPW,-,960.00,960.00,916.00,922.00,927.03,136.00,964.00,"126,075.40",11,-42.00,44.00,-4.36,4.80,-0.55,0.00,0.00,"1,710.00",233.10
C30MF,-,7.92,7.96,7.81,7.96,7.90,600.00,7.92,"4,742.00",4,0.04,0.15,0.51,1.92,0.71,0.00,0.00,10.00,7.80
CBBL,-,917.90,918.00,913.50,916.00,916.21,"4,115.00",915.00,"3,770,211.40",93,1.00,4.50,0.11,0.49,-0.02,923.34,933.34,"1,303.00",727.00
CBLD88,-,912.90,912.90,912.90,912.90,912.90,10.00,895.00,"9,129.00",1,17.90,0.00,2.00,0.00,0.00,887.66,876.50,"1,024.00",813.00
CCBD88,-,930.00,930.00,930.00,930.00,930.00,35.00,940.00,"32,550.00",1,-10.00,0.00,-1.06,0.00,0.00,883.42,0.00,"1,022.90",816.00
CFCL,-,312.00,313.00,309.20,310.90,311.10,"1,989.00",313.20,"618,785.90",20,-2.30,3.80,-0.73,1.23,-0.07,334.85,329.97,423.00,275.50
CGH,-,"1,045.00","1,056.00","1,039.00","1,056.00","1,046.78","1,501.00","1,059.00","1,571,212.00",44,-3.00,17.00,-0.28,1.64,0.87,"1,211.85","1,207.09","1,520.00",952.00
CHCL,-,461.00,476.00,458.90,469.00,466.76,"5,374.00",468.00,"2,508,343.20",55,1.00,17.10,0.21,3.73,0.48,505.58,493.88,594.00,350.10
CHDC,-,903.00,920.00,903.00,917.00,914.03,"1,502.00",916.60,"1,372,877.50",49,0.40,17.00,0.04,1.88,0.32,916.38,857.45,"1,103.00",593.60
CHL,-,207.00,208.00,205.00,205.10,206.76,"1,680.00",210.00,"347,357.00",17,-4.90,3.00,-2.33,1.46,-0.81,254.07,276.73,370.00,194.00
CIT,-,"1,873.00","1,890.00","1,870.00","1,879.00","1,882.54","3,714.00","1,891.10","6,991,767.20",135,-12.10,20.00,-0.64,1.07,-0.19,"2,116.03","2,090.61","2,704.00","1,816.50"
CITY,-,516.60,531.00,510.00,531.00,513.74,"4,394.00",527.00,"2,257,370.00",112,4.00,21.00,0.76,4.12,3.25,0.00,0.00,782.50,111.10
CLI,-,391.00,394.00,389.10,391.00,391.09,"31,696.00",391.00,"12,396,059.50","2,236",0.00,4.90,0.00,1.26,-0.02,0.00,0.00,508.00,388.50
CMF1,-,7.90,7.97,7.90,7.96,7.95,"7,100.00",7.82,"56,451.00",4,0.14,0.07,1.79,0.89,0.12,7.95,7.98,9.40,6.75
CMF2,-,6.89,6.91,6.89,6.91,6.90,225.00,7.01,"1,552.25",2,-0.10,0.02,-1.43,0.29,0.16,8.17,8.15,10.39,6.87
CORBL,-,326.60,339.60,313.90,319.50,319.94,922.00,320.20,"294,984.00",15,-0.70,25.70,-0.22,8.19,-0.14,321.30,317.48,400.00,253.00
CYCL,-,"1,110.00","1,155.60","1,011.00","1,132.50","1,051.89","5,775.00","1,095.00","6,074,671.80",145,37.50,144.60,3.42,14.30,7.12,"1,422.03",0.00,"2,734.80",979.00
CZBIL,-,170.10,171.00,169.60,170.00,169.76,"12,822.00",171.50,"2,176,640.00",54,-1.50,1.40,-0.87,0.83,0.14,178.32,179.98,224.00,165.00
DDBL,-,706.10,724.00,706.10,720.00,710.55,"1,820.00",718.70,"1,293,202.70",40,1.30,17.90,0.18,2.54,1.31,735.23,748.74,"1,178.00",606.70
DHPL,-,146.00,151.00,144.10,144.10,147.52,"6,507.00",145.70,"959,922.00",46,-1.60,6.90,-1.10,4.79,-2.37,176.38,193.53,262.00,135.40
DLBS,-,600.00,612.00,593.00,594.00,598.80,175.00,600.00,"104,790.00",17,-6.00,19.00,-1.00,3.20,-0.81,703.64,820.53,"1,662.00",177.70
DOLTI,-,202.90,206.80,199.10,202.00,201.01,"5,220.00",207.00,"1,049,253.60",104,-5.00,7.70,-2.42,3.87,0.49,0.00,0.00,311.00,177.40
DORDI,-,204.90,204.90,202.10,203.10,203.01,468.00,209.00,"95,010.00",47,-5.90,2.80,-2.82,1.39,0.04,241.99,263.92,351.90,191.60
EBL,-,466.10,470.00,466.00,469.00,467.23,"7,682.00",469.70,"3,589,267.00",95,-0.70,4.00,-0.15,0.86,0.38,559.12,542.59,633.00,421.50
EBLD86,-,810.00,826.00,810.00,826.00,818.00,20.00,795.00,"16,360.00",2,31.00,16.00,3.90,1.98,0.97,786.85,0.00,855.00,725.00
EDBL,-,309.79,312.60,305.00,311.00,307.31,"2,631.00",316.00,"808,522.50",23,-5.00,7.60,-1.58,2.49,1.19,310.31,314.26,396.00,266.40
EHPL,-,333.00,333.00,314.00,322.40,317.01,"2,311.00",327.00,"732,602.40",58,-4.60,19.00,-1.41,6.05,1.67,335.71,371.29,508.00,216.00
ENL,-,819.30,819.30,804.00,805.10,806.32,920.00,836.00,"741,810.50",24,-30.90,15.30,-3.70,1.90,-0.15,775.15,738.93,"1,060.00",535.00
FMDBL,-,635.00,636.00,628.20,629.00,630.28,"2,928.00",641.00,"1,845,448.90",27,-12.00,7.80,-1.87,1.24,-0.20,632.76,616.43,781.00,497.20
FOWAD,-,"1,214.00","1,215.00","1,200.00","1,209.00","1,204.78",847.00,"1,214.90","1,020,450.00",32,-5.90,15.00,-0.49,1.25,0.35,"1,240.13","1,316.86","2,800.00","1,071.20"
