Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,33.34,722.30,723.90,707.00,708.00,711.29,"1,324.00",737.00,"941,749.50",52,-29.00,16.90,-3.93,2.39,-0.46,861.68,"1,029.47","1,660.00",707.00
ADBL,34.06,311.00,312.00,303.00,305.10,305.69,"17,004.00",314.00,"5,197,943.60",249,-8.90,9.00,-2.83,2.97,-0.19,335.55,358.42,560.00,298.00
ADLB,34.22,306.40,306.40,306.40,306.40,306.40,10.00,300.40,"3,064.00",1,6.00,0.00,2.00,0.00,0.00,-,-,306.40,256.80
AHPC,34.26,300.00,305.20,290.00,292.00,295.88,"70,732.00",306.00,"20,928,447.70",378,-14.00,15.20,-4.58,5.24,-1.33,371.04,419.66,679.00,290.00
AKJCL,30.23,184.00,184.00,173.50,174.00,176.08,"34,281.00",184.90,"6,036,277.40",211,-10.90,10.50,-5.90,6.05,-1.20,214.45,244.65,394.00,162.00
AKPL,29.90,406.00,409.30,392.00,393.00,396.76,"82,173.00",403.50,"32,602,758.60",477,-10.50,17.30,-2.60,4.41,-0.96,445.23,473.89,669.90,369.20
ALBSL,30.57,983.00,983.00,946.00,959.00,965.54,"1,365.00","1,000.00","1,317,960.50",45,-41.00,37.00,-4.10,3.91,-0.68,"1,238.40","1,326.60","1,901.00",946.00
ALICL,35.77,481.00,481.00,441.00,444.00,449.09,"25,629.00",471.62,"11,509,633.90",334,-27.62,40.00,-5.86,9.07,-1.15,612.96,736.41,"1,398.00",441.00
API,33.60,213.90,217.00,209.00,211.50,211.78,"143,723.00",218.20,"30,437,579.70",704,-6.70,8.00,-3.07,3.83,-0.13,266.52,340.15,575.00,209.00
BARUN,32.99,235.00,235.00,213.00,213.00,217.69,"12,361.00",232.00,"2,690,882.60",97,-19.00,22.00,-8.19,10.33,-2.20,368.64,417.54,595.00,213.00
BBC,32.72,"3,315.00","3,315.00","3,137.00","3,200.00","3,199.25",255.00,"3,250.00","815,810.00",15,-50.00,178.00,-1.54,5.67,0.02,"3,664.18","4,028.02","5,895.00","3,137.00"
BFC,30.32,340.00,345.00,334.00,334.00,336.24,"13,442.00",346.00,"4,519,770.80",107,-12.00,11.00,-3.47,3.29,-0.67,384.38,415.13,615.00,298.00
BHDC,32.63,405.00,405.00,380.00,388.00,388.11,"4,161.00",409.00,"1,614,934.00",138,-21.00,25.00,-5.13,6.58,-0.03,-,-,520.00,334.00
BHL,26.53,266.00,280.80,250.90,262.80,258.43,"9,085.00",270.00,"2,347,833.50",116,-7.20,29.90,-2.67,11.92,1.66,-,-,397.00,104.70
BNHC,41.23,378.30,378.30,364.80,372.00,370.69,700.00,386.00,"259,481.00",36,-14.00,13.50,-3.63,3.70,0.35,413.65,-,744.00,246.70
BNT,35.23,"12,900.00","12,999.00","12,526.00","12,550.00","12,724.63",175.00,"12,901.00","2,226,811.00",7,-351.00,473.00,-2.72,3.78,-1.39,"13,428.91","13,743.94","17,670.00","9,750.00"
BOKD86,42.67,760.00,760.00,760.00,760.00,760.00,65.00,760.00,"49,400.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,000.00",745.40
BPCL,31.73,296.00,296.00,292.00,292.10,293.43,"10,845.00",299.00,"3,182,242.50",136,-6.90,4.00,-2.31,1.37,-0.46,335.56,366.34,560.00,292.00
CBBL,32.74,980.10,981.00,960.00,961.00,967.75,"9,699.00",994.00,"9,386,179.60",268,-33.00,21.00,-3.32,2.19,-0.70,"1,036.95","1,118.26","1,912.50",882.00
CBLD88,26.28,849.00,849.00,849.00,849.00,849.00,25.00,854.10,"21,225.00",1,-5.10,0.00,-0.60,0.00,0.00,-,-,"1,000.00",849.00
CFCL,27.23,305.50,307.00,295.10,298.80,299.08,"19,947.00",309.50,"5,965,744.40",162,-10.70,11.90,-3.46,4.03,-0.09,322.28,367.37,642.00,237.00
CGH,34.54,950.10,957.00,940.00,957.00,948.04,"1,270.00",969.00,"1,204,007.20",44,-12.00,17.00,-1.24,1.81,0.94,"1,098.24","1,196.64","1,737.00",900.20
CHCL,33.70,360.00,364.00,352.20,354.10,355.51,"18,008.00",364.00,"6,401,980.90",163,-9.90,11.80,-2.72,3.35,-0.40,408.77,440.41,649.00,347.90
CHDC,30.45,624.00,627.00,610.00,619.90,615.62,"7,485.00",632.00,"4,607,929.00",137,-12.10,17.00,-1.91,2.79,0.69,735.78,801.05,"1,130.00",610.00
CHL,25.83,213.00,213.00,197.20,204.00,204.57,"6,730.00",215.00,"1,376,728.20",74,-11.00,15.80,-5.12,8.01,-0.28,280.55,339.67,612.00,197.20
CIT,32.17,"1,865.00","1,865.00","1,800.00","1,804.00","1,818.37","8,530.00","1,873.00","15,510,656.90",304,-69.00,65.00,-3.68,3.61,-0.80,"2,476.58","2,728.30","3,646.00","1,800.00"
CLBSL,32.48,781.20,808.00,781.00,808.00,784.14,160.00,797.00,"125,463.00",7,11.00,27.00,1.38,3.46,2.95,834.84,898.74,"1,450.00",662.50
CMF1,25.56,7.86,7.86,7.70,7.70,7.83,"15,345.00",7.99,"120,210.50",8,-0.29,0.16,-3.63,2.08,-1.74,8.60,9.03,10.55,7.70
CMF2,24.16,8.04,8.04,7.88,8.00,7.91,"6,400.00",8.20,"50,616.00",5,-0.20,0.16,-2.44,2.03,1.14,9.21,9.52,10.89,7.88
CORBL,24.13,265.00,265.00,256.10,261.00,259.26,"2,329.00",266.60,"603,813.50",39,-5.60,8.90,-2.10,3.48,0.67,340.85,412.72,999.00,211.30
CZBIL,31.85,188.50,190.00,186.30,188.60,187.44,"30,901.00",191.00,"5,791,973.50",231,-2.40,3.70,-1.26,1.99,0.62,216.24,238.12,420.00,186.30
DDBL,29.28,915.00,915.00,890.00,891.00,897.49,"4,311.00",917.00,"3,869,096.50",107,-26.00,25.00,-2.84,2.81,-0.73,"1,000.84","1,068.71","1,787.00",876.00
DHPL,27.35,180.00,180.00,176.00,177.00,177.75,"6,854.00",183.00,"1,218,316.60",64,-6.00,4.00,-3.28,2.27,-0.43,219.32,249.99,395.90,168.00
DORDI,28.47,270.50,281.00,255.50,262.10,262.56,"10,268.00",276.00,"2,695,979.10",216,-13.90,25.50,-5.04,9.98,-0.18,-,-,408.00,255.50
EBL,31.33,481.00,482.00,470.10,471.60,472.63,"16,279.00",482.00,"7,693,981.80",165,-10.40,11.90,-2.16,2.53,-0.22,480.28,507.79,750.00,411.00
EDBL,33.00,310.00,312.00,297.10,297.30,304.23,"28,630.00",314.00,"8,709,981.90",139,-16.70,14.90,-5.32,5.02,-2.33,363.21,411.37,763.00,297.10
ENL,29.65,605.00,610.00,593.00,593.00,600.21,"1,220.00",613.00,"732,260.00",38,-20.00,17.00,-3.26,2.87,-1.22,720.07,-,"1,481.90",287.10
FMDBL,32.10,635.00,637.00,613.00,619.00,622.47,"9,734.00",638.00,"6,059,158.20",107,-19.00,24.00,-2.98,3.92,-0.56,682.75,732.01,"1,059.00",559.00
FOWAD,32.10,"2,501.00","2,510.00","2,475.00","2,475.10","2,491.70","6,787.00","2,533.00","16,911,185.80",253,-57.90,35.00,-2.29,1.41,-0.67,"2,456.83","2,395.75","3,040.00","2,000.00"
GBBL,31.55,365.00,365.00,354.00,357.00,356.16,"35,961.00",365.30,"12,807,968.20",257,-8.30,11.00,-2.27,3.11,0.23,388.48,440.54,662.00,318.00
GBD80/81,32.00,953.00,953.00,953.00,953.00,953.00,25.00,955.10,"23,825.00",1,-2.10,0.00,-0.22,0.00,0.00,"1,007.69","1,022.68","1,030.00",920.00
GBILD86/87,21.83,772.00,772.00,772.00,772.00,772.00,85.00,772.00,"65,620.00",4,0.00,0.00,0.00,0.00,0.00,-,-,"1,000.00",755.10
GBLBS,30.39,637.00,645.00,625.00,636.00,631.47,"3,872.00",647.00,"2,445,065.90",65,-11.00,20.00,-1.70,3.20,0.71,763.54,830.88,"1,142.00",625.00
GFCL,30.79,440.00,445.00,426.00,426.00,434.11,"18,298.00",448.20,"7,943,426.00",143,-22.20,19.00,-4.95,4.46,-1.90,477.85,531.52,875.00,358.00
GHL,25.70,183.00,184.00,176.40,179.00,179.40,"16,797.00",186.50,"3,013,386.80",108,-7.50,7.60,-4.02,4.31,-0.22,220.22,257.73,445.00,169.00
