Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,36.14,"1,421.00","1,430.00","1,405.00","1,430.00","1,418.95",965.00,"1,421.00","1,369,285.50",39,9.00,25.00,0.63,1.78,0.77,"1,556.42","1,569.66","1,938.00",752.00
ADBL,40.17,504.00,509.00,503.00,504.20,504.97,"20,171.00",504.00,"10,185,826.00",178,0.20,6.00,0.04,1.19,-0.15,516.18,488.09,620.00,398.00
ADBLD83,54.84,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",70.00,"1,035.00","71,750.00",1,-10.00,0.00,-0.97,0.00,0.00,-,-,"1,150.00","1,005.00"
AHPC,44.55,496.00,500.00,487.00,490.00,493.23,"93,346.00",487.20,"46,041,025.80",455,2.80,13.00,0.57,2.67,-0.66,523.54,448.49,785.00,194.00
AIL,43.65,731.00,770.00,716.00,736.00,745.40,"6,142.00",729.00,"4,578,268.20",193,7.00,54.00,0.96,7.54,-1.28,804.98,802.88,"1,125.00",566.00
AKJCL,50.76,345.00,351.00,340.00,340.00,344.40,"132,030.00",342.00,"45,471,125.90",531,-2.00,11.00,-0.58,3.24,-1.29,329.99,272.77,502.00,110.00
AKPL,52.13,639.00,640.90,626.00,633.00,634.18,"234,581.00",627.00,"148,767,093.80","1,244",6.00,14.90,0.96,2.38,-0.19,542.44,473.44,882.40,240.00
ALBSL,44.71,"1,470.00","1,478.00","1,431.00","1,436.10","1,449.90",714.00,"1,450.00","1,035,231.20",29,-13.90,47.00,-0.96,3.28,-0.96,"1,768.00","1,714.57","2,101.20",830.00
ALICL,43.32,"1,275.10","1,300.00","1,266.00","1,267.00","1,277.88","16,073.00","1,270.00","20,539,407.00",172,-3.00,34.00,-0.24,2.69,-0.86,"1,340.99","1,318.51","1,565.00",785.00
API,41.83,514.90,514.90,502.00,504.90,505.38,"170,070.00",506.00,"85,949,322.80",881,-1.10,12.90,-0.22,2.57,-0.09,460.93,415.41,670.00,219.00
BARUN,50.14,520.00,529.00,510.00,514.00,517.28,"16,179.00",513.90,"8,369,143.40",144,0.10,19.00,0.02,3.73,-0.64,535.01,440.01,763.40,167.00
BBC,44.99,"5,417.00","5,417.00","5,205.00","5,400.00","5,288.23",387.00,"5,311.00","2,046,546.00",26,89.00,212.00,1.68,4.07,2.07,"6,007.25","5,258.92","8,208.00","2,400.00"
BFC,45.33,548.00,550.00,538.00,538.00,542.06,"18,491.00",538.00,"10,023,206.30",167,0.00,12.00,0.00,2.23,-0.75,457.54,363.18,630.00,122.00
BNT,44.45,"12,905.70","13,160.00","12,905.70","13,110.00","13,132.68",368.00,"13,169.00","4,832,827.00",13,-59.00,254.30,-0.45,1.97,-0.17,"10,634.57","10,166.09","14,308.20","8,000.00"
