Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,40.76,960.00,964.00,946.00,956.00,956.00,0.00,0.00,957.73,"1,142.00",955.00,"1,093,724.50",32,1.00,18.00,0.10,1.90,-0.18,974.81,"1,004.46","1,240.00",827.90
ADBL,44.13,307.10,313.90,307.10,313.80,313.80,0.00,0.00,311.94,"28,637.00",311.00,"8,932,903.30",143,2.80,6.80,0.90,2.21,0.59,306.59,311.76,344.90,277.00
AHL,21.92,495.00,525.00,495.00,503.00,503.00,0.00,0.00,503.02,"8,165.00",507.00,"4,107,170.00",105,-4.00,30.00,-0.79,6.06,0.00,550.35,579.58,721.00,461.10
AHPC,43.08,279.90,283.00,276.80,282.00,282.00,0.00,0.00,280.29,"143,246.00",278.00,"40,150,539.70",320,4.00,6.20,1.44,2.24,0.61,281.57,284.69,334.00,250.10
AKJCL,38.47,350.00,370.00,350.00,368.90,368.90,0.00,0.00,361.87,"491,504.00",354.00,"177,861,021.00",936,14.90,20.00,4.21,5.71,1.91,301.71,267.89,431.80,172.90
AKPL,41.71,266.00,272.10,266.00,272.00,272.00,0.00,0.00,270.23,"90,578.00",268.00,"24,477,328.70",281,4.00,6.10,1.49,2.29,0.65,263.91,262.08,317.00,227.50
ALBSL,39.99,"1,085.10","1,115.00","1,085.10","1,114.40","1,114.40",0.00,0.00,"1,102.75","5,605.00","1,100.00","6,180,929.00",68,14.40,29.90,1.31,2.76,1.05,"1,140.61","1,092.11","1,334.00",775.10
ALICL,31.67,454.80,454.80,450.00,454.50,454.50,0.00,0.00,453.10,"14,518.00",451.70,"6,578,063.90",104,2.80,4.80,0.62,1.07,0.31,465.77,471.86,759.00,430.00
ANLB,35.06,"5,965.50","6,049.90","5,790.00","6,049.90","6,049.90",0.00,0.00,"5,871.34",999.00,"6,150.00","5,865,467.20",44,-100.10,259.90,-1.63,4.49,2.95,"6,231.67","6,157.84","6,989.00","5,120.00"
API,43.85,353.00,355.00,350.00,355.00,355.00,0.00,0.00,352.83,"321,600.00",351.00,"113,470,841.60",762,4.00,5.00,1.14,1.43,0.61,314.08,306.47,368.90,258.80
