Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,619.00,621.00,607.70,620.00,616.06,"1,846.00",619.80,"1,137,251.10",36,0.20,13.30,0.03,2.19,0.64,569.30,579.55,830.00,500.10
ADBL,-,244.90,244.90,240.00,240.70,240.74,"12,116.00",242.00,"2,916,847.40",139,-1.30,4.90,-0.54,2.04,-0.02,251.11,245.13,312.20,224.00
ADBLD83,-,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",100.00,999.00,"100,000.00",1,1.00,0.00,0.10,0.00,0.00,978.61,985.34,"1,144.00",865.10
AHL,-,426.00,426.00,411.20,424.30,418.65,"2,756.00",418.00,"1,153,790.00",124,6.30,14.80,1.51,3.60,1.33,350.46,350.53,480.90,273.10
AHPC,-,206.00,208.10,206.00,207.20,207.49,"59,034.00",205.50,"12,248,711.70",290,1.70,2.10,0.83,1.02,-0.14,224.89,243.42,329.00,190.00
AKJCL,-,229.90,234.00,226.10,229.00,228.81,"30,694.00",227.00,"7,023,154.10",173,2.00,7.90,0.88,3.49,0.08,175.52,186.01,262.00,141.30
AKPL,-,197.00,197.00,194.20,196.70,195.94,"105,766.00",195.70,"20,724,029.10",475,1.00,2.80,0.51,1.44,0.39,186.02,237.07,428.00,152.40
ALBSL,-,669.00,708.00,669.00,708.00,685.57,"1,428.00",682.00,"978,994.90",85,26.00,39.00,3.81,5.83,3.17,689.73,703.69,"1,089.00",543.00
ALICL,-,696.00,697.00,683.20,690.00,687.47,"31,998.00",689.00,"21,997,820.90",175,1.00,13.80,0.15,2.02,0.37,666.76,660.78,812.00,517.50
ANLB,-,"1,830.00","1,848.00","1,801.20","1,801.60","1,816.59",930.00,"1,830.30","1,689,430.80",48,-28.70,46.80,-1.57,2.60,-0.83,"1,899.72",0.00,"2,651.00",403.80
API,-,200.00,204.50,200.00,202.00,202.37,"176,832.00",199.00,"35,785,409.10",643,3.00,4.50,1.51,2.25,-0.18,181.28,197.92,307.00,154.70
AVYAN,-,589.00,605.00,589.00,605.00,599.17,"1,873.00",596.10,"1,122,242.50",95,8.90,16.00,1.49,2.72,0.96,633.11,638.16,807.80,549.00
BARUN,-,284.00,284.00,272.00,274.00,274.47,"38,670.00",279.40,"10,613,895.40",140,-5.40,12.00,-1.93,4.41,-0.17,229.77,236.04,299.00,191.10
BBC,-,"3,700.00","3,730.00","3,681.00","3,686.10","3,695.27",240.00,"3,672.00","886,865.00",15,14.10,49.00,0.38,1.33,-0.25,"3,809.41","3,646.39","4,539.00","3,050.00"
BEDC,-,332.90,342.90,328.00,341.90,338.09,"12,175.00",339.60,"4,116,262.00",214,2.30,14.90,0.68,4.54,1.11,241.16,0.00,388.00,170.00
BFC,-,336.00,336.00,325.00,329.00,329.68,"21,730.00",332.00,"7,163,922.80",110,-3.00,11.00,-0.90,3.38,-0.21,313.59,316.71,377.00,284.00
BGWT,-,662.00,689.50,623.50,649.00,645.14,"10,980.00",649.90,"7,083,674.60",228,-0.90,66.00,-0.14,10.59,0.59,0.00,0.00,710.00,352.00
BHDC,-,454.00,470.50,454.00,470.50,467.30,"6,332.00",463.00,"2,958,926.50",152,7.50,16.50,1.62,3.63,0.68,368.18,376.96,514.20,286.50
BHL,-,309.80,309.80,298.00,300.90,303.00,"6,001.00",303.90,"1,818,324.00",147,-3.00,11.80,-0.99,3.96,-0.70,241.98,256.38,394.70,192.70
BHPL,-,461.90,488.90,461.50,479.00,472.08,"5,250.00",470.00,"2,478,444.40",62,9.00,27.40,1.91,5.94,1.44,431.42,443.23,677.20,304.10
BNHC,-,388.00,398.00,386.40,396.00,393.87,"2,797.00",389.00,"1,101,648.90",66,7.00,11.60,1.80,3.00,0.54,344.12,350.90,461.00,270.10
BNT,-,"12,000.00","12,299.00","12,000.00","12,299.00","12,153.33",150.00,"12,185.00","1,823,000.00",9,114.00,299.00,0.94,2.49,1.18,"13,077.92","12,897.22","16,200.00","10,500.00"
BOKD86,-,872.00,872.00,872.00,872.00,872.00,10.00,855.00,"8,720.00",1,17.00,0.00,1.99,0.00,0.00,806.08,796.49,877.00,740.10
