Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,34.77,975.00,991.00,975.00,990.00,990.00,0.00,0.00,986.13,817.00,985.00,"805,665.70",16,5.00,16.00,0.51,1.64,0.39,991.38,"1,022.01","1,240.00",900.00
ADBL,36.05,310.00,316.30,310.00,316.30,316.30,0.00,0.00,314.60,"57,612.00",313.10,"18,124,920.10",227,3.20,6.30,1.02,2.03,0.54,307.86,307.77,344.90,272.30
ADBLD83,36.67,"1,055.10","1,057.00","1,042.20","1,047.30","1,047.30",0.00,0.00,"1,050.21","1,055.00","1,075.00","1,107,974.50",11,-27.70,14.80,-2.58,1.42,-0.28,"1,095.34","1,098.82","1,160.00","1,042.20"
AHL,29.83,545.00,545.00,526.50,529.00,529.00,0.00,0.00,530.49,"7,287.00",537.00,"3,865,699.30",87,-8.00,18.50,-1.49,3.51,-0.28,590.50,605.47,765.80,462.60
AHPC,40.28,301.70,312.00,296.30,310.00,310.00,0.00,0.00,307.34,"609,368.00",300.90,"187,283,253.00","1,531",9.10,15.70,3.02,5.30,0.86,280.73,285.47,334.00,242.50
AKJCL,48.38,400.00,417.80,400.00,411.70,411.70,0.00,0.00,411.16,"1,258,864.00",396.00,"517,593,382.90","2,608",15.70,17.80,3.96,4.45,0.13,234.56,226.73,417.80,172.90
AKPL,45.48,290.00,300.00,284.50,299.50,299.50,0.00,0.00,297.24,"1,250,967.00",289.90,"371,841,361.00","2,231",9.60,15.50,3.31,5.45,0.75,254.85,258.78,306.50,216.10
ALBSL,31.40,"1,122.00","1,144.40","1,118.00","1,140.00","1,140.00",0.00,0.00,"1,129.40","13,350.00","1,143.90","15,077,456.80",181,-3.90,26.40,-0.34,2.36,0.93,"1,085.16","1,012.81","1,250.00",771.00
ALICL,27.92,470.00,472.00,464.20,470.00,470.00,0.00,0.00,468.54,"25,076.00",469.50,"11,749,095.40",185,0.50,7.80,0.11,1.68,0.31,469.77,488.75,779.00,430.00
ANLB,43.17,"6,421.00","6,500.00","6,420.00","6,500.00","6,500.00",0.00,0.00,"6,449.62",202.00,"6,450.00","1,302,823.20",17,50.00,80.00,0.78,1.25,0.78,"6,161.09","5,970.81","6,800.00","4,905.10"
API,37.38,332.50,343.70,331.00,341.00,341.00,0.00,0.00,337.84,"768,540.00",333.00,"259,644,576.80","1,927",8.00,12.70,2.40,3.84,0.93,292.40,294.73,355.00,258.80
AVYAN,40.85,"1,060.00","1,092.00","1,058.40","1,087.90","1,087.90",0.00,0.00,"1,078.78","7,731.00","1,078.00","8,340,086.60",125,9.90,33.60,0.92,3.17,0.84,982.36,"1,008.34","1,225.00",906.00
BANDIPUR,28.03,926.00,950.00,926.00,939.00,939.00,0.00,0.00,932.72,"45,505.00",943.00,"42,443,501.90",782,-4.00,24.00,-0.42,2.59,0.67,0.00,0.00,"1,233.00",285.00
