Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,38.54,"1,222.90","1,240.00","1,165.00","1,165.00","1,200.98","1,547.00","1,199.00","1,857,922.00",44,-34.00,75.00,-2.84,6.44,-3.09,"1,508.29","1,545.98","1,938.00",752.00
ADBL,42.18,445.00,453.00,430.00,435.00,441.53,"34,320.00",437.00,"15,153,181.20",363,-2.00,23.00,-0.46,5.35,-1.50,517.08,489.75,620.00,398.00
ADBLD83,41.00,"1,015.00","1,015.00","1,015.00","1,015.00","1,015.00",25.00,"1,015.00","25,375.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,150.00","1,000.00"
AHPC,45.18,406.10,425.00,395.00,400.00,411.64,"274,791.00",398.20,"113,114,621.50","1,462",1.80,30.00,0.45,7.59,-2.91,520.10,457.30,785.00,194.00
AIL,38.50,673.20,713.00,634.10,660.00,664.90,"5,250.00",660.00,"3,490,714.00",129,0.00,78.90,0.00,12.44,-0.74,773.88,801.55,"1,125.00",600.00
AKJCL,38.89,263.00,284.30,262.70,278.50,279.01,"257,848.00",258.50,"71,941,868.70","1,512",20.00,21.60,7.74,8.22,-0.18,335.74,287.42,502.00,110.00
AKPL,42.44,513.00,534.40,495.00,506.00,516.38,"220,174.00",503.80,"113,693,639.30","1,578",2.20,39.40,0.44,7.96,-2.05,557.37,495.44,882.40,240.00
ALBSL,44.47,"1,319.00","1,350.00","1,291.00","1,315.00","1,322.55","2,892.00","1,293.60","3,824,823.00",51,21.40,59.00,1.65,4.57,-0.57,"1,697.32","1,705.82","2,101.20",877.00
ALICL,37.47,"1,050.00","1,053.00","1,000.00","1,006.00","1,030.75","25,258.00","1,029.90","26,034,725.30",213,-23.90,53.00,-2.32,5.30,-2.46,"1,293.82","1,304.78","1,565.00",825.00
API,42.92,430.00,440.00,411.20,422.10,428.03,"324,500.00",422.00,"138,894,190.80","1,921",0.10,28.80,0.02,7.00,-1.40,471.73,429.85,670.00,219.00
