Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,020.00","1,050.00","1,020.00","1,048.50","1,038.63","28,885.00","1,016.00","30,000,726.00",352,32.50,30.00,3.20,2.94,0.94,741.02,673.54,"1,050.00",500.10
ADBL,-,266.00,267.00,261.00,262.50,263.33,"22,605.00",265.00,"5,952,486.80",133,-2.50,6.00,-0.94,2.30,-0.31,242.80,245.48,292.90,223.00
AHL,-,512.00,536.00,509.20,528.00,524.44,"32,349.00",511.20,"16,964,989.00",242,16.80,26.80,3.29,5.26,0.67,443.64,407.71,547.00,273.10
AHPC,-,156.00,156.00,153.00,155.00,153.64,"112,700.00",153.20,"17,315,045.90",326,1.80,3.00,1.17,1.96,0.88,191.69,199.07,304.00,150.00
AKJCL,-,214.20,214.30,207.00,208.00,210.42,"48,011.00",210.00,"10,102,326.80",178,-2.00,7.30,-0.95,3.53,-1.16,215.15,195.84,250.00,141.30
AKPL,-,163.00,164.80,161.30,163.00,162.99,"42,742.00",162.90,"6,966,704.00",218,0.10,3.50,0.06,2.17,0.00,179.25,177.98,373.00,152.40
ALBSL,-,980.00,998.00,972.20,985.00,986.17,"11,935.00",973.80,"11,769,939.70",167,11.20,25.80,1.15,2.65,-0.12,774.34,735.29,"1,045.00",543.00
ALICL,-,548.80,563.50,548.80,558.80,557.70,"26,982.00",560.00,"15,047,793.90",83,-1.20,14.70,-0.21,2.68,0.20,602.83,617.65,812.00,523.00
ANLB,-,"2,400.00","2,400.00","2,339.00","2,395.50","2,363.28","1,332.00","2,398.00","3,147,885.80",58,-2.50,61.00,-0.10,2.61,1.35,"2,015.73","1,954.94","2,651.00","1,550.00"
API,-,170.30,172.80,169.20,172.00,170.91,"93,043.00",170.30,"15,902,034.50",312,1.70,3.60,1.00,2.13,0.63,181.81,178.85,263.10,154.70
