Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,903.10,911.00,903.10,911.00,911.00,0.00,0.00,906.19,"2,095.00",911.00,"1,898,461.30",49,0.00,7.90,0.00,0.87,0.53,"1,041.53","1,050.62","1,284.90",903.10
ADBL,-,288.00,290.00,286.00,288.80,288.80,0.00,0.00,287.07,"20,208.00",289.80,"5,801,029.30",165,-1.00,4.00,-0.35,1.40,0.60,311.94,304.08,344.90,272.30
AHL,-,555.00,557.00,545.10,550.20,550.20,0.00,0.00,549.60,"12,467.00",557.00,"6,851,817.90",114,-6.80,11.90,-1.22,2.18,0.11,624.43,651.34,891.00,545.10
AHPC,-,281.00,281.00,272.00,272.60,272.60,0.00,0.00,273.03,"76,466.00",275.90,"20,877,250.20",313,-3.30,9.00,-1.20,3.31,-0.16,288.88,283.75,334.00,239.30
AKJCL,-,190.60,190.60,183.40,184.00,184.00,0.00,0.00,185.50,"30,365.00",186.90,"5,632,711.10",144,-2.90,7.20,-1.55,3.93,-0.82,199.95,202.43,233.50,172.90
AKPL,-,241.00,245.00,239.50,242.90,242.90,0.00,0.00,241.58,"102,466.00",241.00,"24,754,032.40",223,1.90,5.50,0.79,2.30,0.54,256.87,251.26,306.50,216.10
ALBSL,-,"1,088.80","1,115.00","1,088.80","1,115.00","1,115.00",0.00,0.00,"1,105.72","20,438.00","1,111.00","22,598,709.50",171,4.00,26.20,0.36,2.41,0.83,971.74,924.40,"1,237.90",771.00
ALICL,-,461.60,462.80,454.10,456.90,456.90,0.00,0.00,457.53,"38,895.00",461.60,"17,795,637.20",254,-4.70,8.70,-1.02,1.92,-0.14,485.08,563.00,831.00,430.00
ANLB,-,"6,000.00","6,100.00","6,000.00","6,098.00","6,098.00",0.00,0.00,"6,061.28",100.00,"6,100.00","606,127.80",13,-2.00,100.00,-0.03,1.67,0.60,"5,934.07","5,707.01","6,800.00","4,673.00"
API,-,293.00,293.00,284.00,286.00,286.00,0.00,0.00,285.81,"79,278.00",288.00,"22,658,615.60",249,-2.00,9.00,-0.69,3.17,0.07,291.47,290.00,335.00,246.20
AVYAN,-,930.00,940.00,929.00,929.00,929.00,0.00,0.00,932.40,"2,429.00",945.00,"2,264,793.00",59,-16.00,11.00,-1.69,1.18,-0.37,"1,021.76","1,030.01","1,306.80",906.00
BANDIPUR,-,731.60,746.00,725.50,728.60,728.60,0.00,0.00,732.72,"84,838.00",746.50,"62,162,453.70","3,240",-17.90,20.50,-2.40,2.83,-0.57,0.00,0.00,837.00,285.00
BARUN,-,314.00,314.90,310.20,312.00,312.00,0.00,0.00,312.06,"79,267.00",313.10,"24,736,343.50",349,-1.10,4.70,-0.35,1.52,-0.02,357.70,412.86,589.00,292.10
BBC,-,"4,820.00","4,865.70","4,811.00","4,850.00","4,850.00",0.00,0.00,"4,829.04",80.00,"4,820.10","386,323.00",7,29.90,54.70,0.62,1.14,0.43,"5,189.79","5,367.35","6,661.60","4,480.00"
BEDC,-,530.00,540.00,520.00,523.00,523.00,0.00,0.00,524.09,"10,742.00",530.00,"5,629,744.00",111,-7.00,20.00,-1.32,3.85,-0.21,653.85,689.60,"1,080.00",501.00
BFC,-,452.50,458.70,452.50,454.00,454.00,0.00,0.00,455.28,"9,732.00",455.50,"4,430,816.90",71,-1.50,6.20,-0.33,1.37,-0.28,484.35,500.09,745.80,411.50
BGWT,-,760.00,777.00,750.00,777.00,777.00,0.00,0.00,762.01,"1,406.00",774.90,"1,071,389.50",42,2.10,27.00,0.27,3.60,1.93,868.03,909.34,"1,241.00",750.00
BHCL,-,476.00,490.00,467.50,489.00,489.00,0.00,0.00,480.59,"46,456.00",475.90,"22,326,506.10",979,13.10,22.50,2.75,4.81,1.72,0.00,0.00,625.70,292.10
BHDC,-,468.10,482.80,468.10,476.10,476.10,0.00,0.00,478.57,"17,286.00",477.60,"8,272,485.30",133,-1.50,14.70,-0.31,3.14,-0.52,530.81,535.22,760.20,426.00
BHL,-,177.00,177.00,174.10,174.90,174.90,0.00,0.00,174.94,"52,785.00",177.00,"9,234,280.30",300,-2.10,2.90,-1.19,1.67,-0.02,196.01,219.02,410.00,164.00
BHPL,-,539.00,542.00,526.00,530.00,530.00,0.00,0.00,531.84,"101,109.00",550.00,"53,773,928.90",494,-20.00,16.00,-3.64,3.04,-0.35,723.40,821.03,"1,308.40",507.00
BNHC,-,436.00,437.80,433.00,436.00,436.00,0.00,0.00,435.07,"4,717.00",438.10,"2,052,209.00",66,-2.10,4.80,-0.48,1.11,0.21,482.64,492.88,608.00,393.00
BNL,-,"15,912.00","16,009.00","15,594.00","15,594.00","15,594.00",0.00,0.00,"15,732.32",60.00,"15,600.00","943,939.00",6,-6.00,415.00,-0.04,2.66,-0.89,"16,936.24","16,926.29","22,500.00","14,900.00"
BNT,-,"11,930.00","11,930.00","11,827.00","11,900.00","11,900.00",0.00,0.00,"11,900.69",94.00,"11,856.00","1,118,665.00",10,44.00,103.00,0.37,0.87,-0.01,"11,965.68","12,289.43","14,680.00","10,660.00"
BPCL,-,707.00,714.00,705.00,710.00,710.00,0.00,0.00,709.34,"61,921.00",715.80,"43,923,135.20",253,-5.80,9.00,-0.81,1.28,0.09,794.64,679.68,"1,065.00",375.10
BUNGAL,-,632.40,632.40,598.10,600.00,600.00,0.00,0.00,606.88,"60,902.00",620.00,"36,960,305.00","1,005",-20.00,34.30,-3.23,5.73,-1.15,0.00,0.00,675.00,302.40
C30MF,-,9.20,9.37,9.18,9.20,9.20,0.00,0.00,9.27,"3,665.00",9.19,"33,961.05",10,0.01,0.19,0.11,2.07,-0.72,9.58,9.47,10.71,8.65
CBBL,-,"1,015.60","1,025.00","1,015.50","1,018.90","1,018.90",0.00,0.00,"1,018.47","14,427.00","1,019.00","14,693,484.10",170,-0.10,9.50,-0.01,0.94,0.04,"1,003.31",954.65,"1,144.80",821.50
CBLD88,-,"1,233.50","1,233.50","1,231.00","1,231.00","1,231.00",0.00,0.00,"1,231.83",150.00,"1,233.50","184,775.00",2,-2.50,2.50,-0.20,0.20,-0.07,"1,166.08","1,157.72","1,254.20","1,104.50"
CFCL,-,460.60,473.40,460.60,469.00,469.00,0.00,0.00,468.05,"10,056.00",470.00,"4,706,712.50",60,-1.00,12.80,-0.21,2.78,0.20,505.71,524.24,701.00,445.10
CGH,-,887.00,890.00,880.00,882.20,882.20,0.00,0.00,882.69,"17,055.00",886.10,"15,054,216.30",141,-3.90,10.00,-0.44,1.14,-0.06,944.25,920.79,"1,150.00",800.20
CHCL,-,495.00,495.00,488.50,491.00,491.00,0.00,0.00,490.17,"22,456.00",490.90,"11,007,310.10",156,0.10,6.50,0.02,1.33,0.17,514.86,507.12,599.60,456.00
CHDC,-,"2,191.00","2,233.70","2,191.00","2,220.00","2,220.00",0.00,0.00,"2,214.96","11,790.00","2,235.00","26,114,399.30",140,-15.00,42.70,-0.67,1.95,0.23,"2,481.98","2,475.61","2,997.90","1,545.30"
CHL,-,250.00,254.00,249.00,250.00,250.00,0.00,0.00,250.53,"31,283.00",253.90,"7,837,263.80",147,-3.90,5.00,-1.54,2.01,-0.21,284.08,337.22,599.70,223.40
CIT,-,"1,840.00","1,840.00","1,801.10","1,825.00","1,825.00",0.00,0.00,"1,817.58","11,585.00","1,837.00","21,056,627.40",303,-12.00,38.90,-0.65,2.16,0.41,"1,901.09","1,917.52","2,200.00","1,730.80"
CITY,-,467.00,479.40,464.00,470.00,470.00,0.00,0.00,470.60,"6,808.00",473.30,"3,203,830.10",143,-3.30,15.40,-0.70,3.32,-0.13,673.26,734.13,998.40,464.00
CIZBD86,-,"1,247.90","1,247.90","1,247.90","1,320.90","1,320.90",0.00,0.00,"1,261.62",54.00,"1,246.00","68,127.60",5,74.90,0.00,6.01,0.00,4.49,0.00,0.00,"1,247.90","1,096.40"
CIZBD90,-,"1,257.60","1,257.60","1,257.60","1,257.60","1,257.60",0.00,0.00,"1,257.60",25.00,"1,233.00","31,440.00",1,24.60,0.00,2.00,0.00,0.00,"1,151.72","1,114.59","1,295.00","1,113.00"
CKHL,-,650.00,651.00,623.40,640.00,640.00,0.00,0.00,633.76,"9,536.00",650.00,"6,043,496.10",101,-10.00,27.60,-1.54,4.43,0.98,642.10,661.26,910.00,550.00
CLI,-,513.50,522.00,512.20,519.00,519.00,0.00,0.00,516.65,"137,877.00",516.00,"71,234,523.10","1,033",3.00,9.80,0.58,1.91,0.45,475.24,487.59,774.90,411.00
CORBL,-,"1,526.50","1,550.00","1,497.00","1,510.00","1,510.00",0.00,0.00,"1,515.28","4,806.00","1,550.00","7,282,412.50",128,-40.00,53.00,-2.58,3.54,-0.35,"1,976.42","2,020.36","2,842.30","1,240.00"
CREST,-,"1,201.00","1,214.90","1,191.40","1,198.00","1,198.00",0.00,0.00,"1,199.50","8,009.00","1,214.00","9,606,826.40",245,-16.00,23.50,-1.32,1.97,-0.13,"1,293.87",0.00,"2,458.20",302.50
CYCL,-,"1,570.00","1,662.60","1,510.50","1,662.60","1,662.60",0.00,0.00,"1,559.22","5,704.00","1,570.00","8,893,769.00",118,92.60,152.10,5.90,10.07,6.22,"1,646.83","1,640.97","2,040.00","1,462.00"
CZBIL,-,188.00,190.50,187.40,190.50,190.50,0.00,0.00,188.86,"15,876.00",190.00,"2,998,372.90",84,0.50,3.10,0.26,1.65,0.86,206.73,207.41,240.10,183.00
DDBL,-,867.10,875.00,859.00,870.00,870.00,0.00,0.00,871.07,"7,284.00",872.00,"6,344,891.00",74,-2.00,16.00,-0.23,1.86,-0.12,862.93,838.35,"1,010.00",759.00
DHEL,-,559.00,567.90,547.00,554.90,554.90,0.00,0.00,553.50,"37,623.00",559.20,"20,824,463.70","1,289",-4.30,20.90,-0.77,3.82,0.25,0.00,0.00,640.00,402.20
DHPL,-,285.20,291.00,285.20,288.00,288.00,0.00,0.00,287.11,"2,245.00",289.00,"644,566.20",27,-1.00,5.80,-0.35,2.03,0.31,309.58,330.50,427.20,265.00
DLBS,-,"1,316.00","1,320.00","1,300.00","1,320.00","1,320.00",0.00,0.00,"1,311.31",987.00,"1,340.00","1,294,264.20",19,-20.00,20.00,-1.49,1.54,0.66,"1,426.55","1,460.92","2,250.00","1,240.00"
