Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
KMCDB,28.62,"1,195.00","1,200.00","1,165.00","1,200.00","1,183.86",902.00,"1,188.10","1,067,837.30",30,11.90,35.00,1.00,3.00,1.35,"1,263.83","1,281.64","1,715.00","1,015.00"
KPCL,35.00,405.00,439.00,402.10,430.30,415.32,"1,525.00",408.80,"633,365.50",20,21.50,36.90,5.26,9.18,3.48,510.68,556.60,878.90,359.00
KRBL,41.34,305.00,317.00,302.00,315.00,307.99,"4,940.00",306.00,"1,521,476.00",34,9.00,15.00,2.94,4.97,2.23,397.55,421.95,607.00,219.00
KSBBL,41.28,401.00,415.00,400.00,410.60,407.00,"18,985.00",405.80,"7,726,886.60",170,4.80,15.00,1.18,3.75,0.88,489.34,553.62,866.90,359.00
LBBL,41.20,401.00,419.00,400.00,406.70,405.23,"25,158.00",407.00,"10,194,682.70",156,-0.30,19.00,-0.07,4.75,0.36,492.52,526.82,774.00,295.00
LBBLPO,31.34,248.00,248.00,248.00,248.00,248.00,"12,487.00",248.00,"3,096,776.00",1,0.00,0.00,0.00,0.00,0.00,-,-,324.00,248.00
LBL,45.53,234.00,234.00,230.00,234.00,231.60,"7,324.00",234.30,"1,696,258.30",47,-0.30,4.00,-0.13,1.74,1.02,276.66,303.55,447.00,223.00
LEC,47.84,295.00,311.10,293.00,307.00,299.88,"9,310.00",300.00,"2,791,908.50",70,7.00,18.10,2.33,6.18,2.32,354.85,371.16,530.00,268.10
LEMF,49.52,10.25,10.30,10.25,10.25,10.26,"7,000.00",10.25,"71,800.00",4,0.00,0.05,0.00,0.49,-0.07,10.29,10.34,19.34,9.16
LGIL,42.37,554.00,565.00,535.00,565.00,544.86,"10,657.00",554.40,"5,806,591.70",90,10.60,30.00,1.91,5.61,3.56,704.68,720.17,975.00,535.00
LICN,41.55,"1,572.00","1,596.40","1,527.90","1,573.00","1,548.50","9,667.00","1,565.10","14,969,319.10",151,7.90,68.50,0.50,4.48,1.56,"1,976.44","2,018.46","2,755.00","1,527.90"
LLBS,43.88,"1,290.10","1,311.00","1,290.00","1,311.00","1,303.57",627.00,"1,291.00","817,336.00",13,20.00,21.00,1.55,1.63,0.57,"1,441.91","1,636.48","2,574.00","1,205.00"
LUK,26.19,10.00,10.10,10.00,10.10,10.09,"2,000.00",9.91,"20,184.00",3,0.19,0.10,1.92,1.00,0.08,10.07,10.16,16.00,9.31
MBJC,48.33,284.40,300.90,276.40,297.00,289.33,"18,345.00",290.00,"5,307,836.50",363,7.00,24.50,2.41,8.86,2.58,-,-,505.00,100.00
MBL,29.81,270.30,275.00,270.30,275.00,272.71,"7,501.00",274.60,"2,045,560.40",81,0.40,4.70,0.15,1.74,0.83,303.87,330.59,455.00,265.00
MDB,43.85,410.00,419.20,402.10,419.20,411.12,"2,984.00",416.00,"1,226,789.90",22,3.20,17.10,0.77,4.25,1.93,512.86,572.27,873.20,399.70
MEGA,38.88,227.70,230.00,225.40,229.00,227.67,"13,060.00",228.00,"2,973,427.40",150,1.00,4.60,0.44,2.04,0.58,273.04,298.07,405.00,222.10
MEN,42.73,974.20,989.00,954.80,985.00,962.36,"2,190.00",994.00,"2,107,559.00",23,-9.00,34.20,-0.91,3.58,2.30,"1,103.44","1,144.39","1,530.00",765.00
MERO,48.23,930.00,944.00,911.40,930.00,927.18,"2,021.00",930.00,"1,873,823.30",51,0.00,32.60,0.00,3.58,0.30,"1,090.90","1,224.74","1,860.00",878.10
MFIL,46.81,479.00,494.00,461.00,466.10,472.67,"17,180.00",479.00,"8,120,504.00",193,-12.90,33.00,-2.69,7.16,-1.41,731.98,869.71,"1,456.00",430.00
MFLD85,41.10,888.00,905.00,887.70,905.00,893.57,75.00,895.00,"67,017.50",3,10.00,17.30,1.12,1.95,1.26,988.07,-,"1,055.00",887.70
MHNL,44.60,318.00,344.00,305.60,330.00,319.49,"14,038.00",324.00,"4,484,967.50",105,6.00,38.40,1.85,12.57,3.19,432.92,454.10,720.00,284.00
MKJC,35.86,494.20,510.00,476.30,510.00,487.08,"2,876.00",504.00,"1,400,829.80",47,6.00,33.70,1.19,7.08,4.49,557.89,-,733.90,186.50
MKLB,45.74,988.90,"1,014.90",988.90,"1,014.90","1,001.62",741.00,"1,009.00","742,200.00",24,5.90,26.00,0.58,2.63,1.31,"1,370.79","1,306.40","2,310.00",296.70
MLBBL,44.69,"1,430.00","1,450.00","1,421.00","1,421.00","1,435.24",262.00,"1,438.00","376,032.00",6,-17.00,29.00,-1.18,2.04,-1.00,"1,649.55","1,763.63","2,540.00","1,296.60"
