Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,770.00,802.00,766.00,800.00,791.18,"8,514.00",767.20,"6,736,091.00",124,32.80,36.00,4.28,4.70,1.10,618.87,608.61,831.10,500.10
ADBL,-,240.90,240.90,235.00,240.00,238.80,"35,982.00",236.20,"8,592,327.40",241,3.80,5.90,1.61,2.51,0.50,239.62,245.29,275.00,223.00
ADBLD83,-,"1,060.00","1,060.00","1,060.00","1,060.00","1,060.00",25.00,"1,081.00","26,500.00",1,-21.00,0.00,-1.94,0.00,0.00,"1,012.78",989.88,"1,144.00",941.00
AHL,-,432.00,468.00,432.00,447.00,444.93,"9,756.00",436.00,"4,340,752.60",85,11.00,36.00,2.52,8.33,0.46,403.26,378.22,504.00,273.10
AHPC,-,165.40,166.20,161.00,165.80,164.24,"54,496.00",163.00,"8,950,354.40",217,2.80,5.20,1.72,3.23,0.94,207.77,213.42,316.00,161.00
AKJCL,-,205.00,218.00,205.00,214.00,211.84,"24,984.00",207.90,"5,292,550.00",137,6.10,13.00,2.93,6.34,1.01,200.25,189.42,250.00,141.30
AKPL,-,168.90,173.30,165.70,171.00,169.45,"65,716.00",167.00,"11,135,817.40",301,4.00,7.60,2.40,4.59,0.90,180.76,185.87,384.90,152.40
ALBSL,-,797.00,841.00,791.00,824.10,819.30,"33,348.00",785.00,"27,321,989.30",473,39.10,50.00,4.98,6.32,0.58,683.32,697.96,903.10,543.00
ALICL,-,540.00,560.90,540.00,557.80,555.77,"16,626.00",548.30,"9,240,309.20",145,9.50,20.90,1.73,3.87,0.36,621.96,645.85,812.00,517.50
ANLB,-,"1,926.00","1,966.50","1,926.00","1,966.00","1,954.46",700.00,"1,965.00","1,368,118.50",28,1.00,40.50,0.05,2.10,0.59,"1,855.55","1,939.64","2,651.00",403.80
API,-,173.00,174.00,166.80,172.00,171.38,"90,284.00",169.70,"15,472,882.60",401,2.30,7.20,1.36,4.32,0.36,181.05,182.26,265.20,154.70
AVYAN,-,719.00,754.00,719.00,737.10,740.32,"14,245.00",732.00,"10,545,864.00",239,5.10,35.00,0.70,4.87,-0.44,623.00,641.53,807.80,549.00
BARUN,-,228.00,239.00,227.00,236.00,234.39,"26,570.00",230.00,"6,227,648.80",109,6.00,12.00,2.61,5.29,0.68,239.67,236.35,299.00,191.10
BBC,-,"3,660.50","3,759.00","3,660.10","3,700.00","3,714.01",160.00,"3,688.00","594,242.00",13,12.00,98.90,0.33,2.70,-0.38,"3,760.69","3,791.12","4,539.00","3,050.00"
BEDC,-,363.00,382.00,362.00,373.00,372.27,"18,319.00",364.00,"6,819,674.10",217,9.00,20.00,2.47,5.52,0.19,310.38,276.50,412.90,170.00
BFC,-,415.90,424.00,390.00,394.00,411.66,"135,367.00",408.00,"55,725,502.60",908,-14.00,34.00,-3.43,8.72,-4.48,327.01,324.53,424.00,284.00
BGWT,-,607.00,616.00,600.50,610.00,609.22,"13,778.00",607.90,"8,393,792.00",140,2.10,15.50,0.35,2.58,0.13,539.43,0.00,710.00,352.00
BHDC,-,466.20,495.00,466.20,495.00,484.66,"6,880.00",475.10,"3,334,452.50",99,19.90,28.80,4.19,6.18,2.09,430.58,399.98,523.00,286.50
BHL,-,320.10,341.50,320.00,331.00,325.44,"10,670.00",325.00,"3,472,417.00",134,6.00,21.50,1.85,6.72,1.68,295.27,273.55,394.00,192.70
BHPL,-,475.00,504.00,475.00,499.00,492.12,"10,666.00",484.00,"5,248,991.10",110,15.00,29.00,3.10,6.11,1.38,461.63,450.43,569.50,304.10
BNHC,-,446.00,464.00,441.00,456.00,454.57,"5,908.00",446.00,"2,685,590.70",98,10.00,23.00,2.24,5.22,0.31,412.18,381.96,617.00,270.10
BNL,-,"15,845.00","15,845.00","15,240.00","15,240.00","15,501.72",61.00,"16,167.00","945,605.00",6,-927.00,605.00,-5.73,3.97,-1.72,0.00,0.00,"23,765.60","2,266.60"
BNT,-,"12,302.00","13,798.00","12,302.00","13,500.00","13,376.72",633.00,"12,544.00","8,467,461.00",48,956.00,"1,496.00",7.62,12.16,0.91,"12,834.21","13,166.33","17,508.00","10,500.00"
BOKD86,-,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,000.00","25,000.00",1,0.00,0.00,0.00,0.00,0.00,845.58,816.96,"1,002.00",770.00
BPCL,-,296.00,298.00,294.10,296.80,297.09,"7,849.00",296.00,"2,331,874.90",80,0.80,3.90,0.27,1.33,-0.10,305.81,308.43,365.00,292.00
C30MF,-,8.55,8.55,8.46,8.48,8.50,300.00,8.60,"2,549.00",3,-0.12,0.09,-1.40,1.06,-0.20,8.45,0.00,10.00,7.61
CBBL,-,817.00,825.00,815.20,821.00,820.37,"7,922.00",816.00,"6,499,000.80",155,5.00,9.80,0.61,1.20,0.08,868.56,899.70,"1,052.50",760.00
CBLD88,-,"1,048.50","1,048.50","1,048.50","1,048.50","1,048.50",25.00,"1,028.00","26,212.50",1,20.50,0.00,1.99,0.00,0.00,975.27,952.22,"1,136.00",843.10
CCBD88,-,"1,079.00","1,095.00","1,079.00","1,095.00","1,092.38",65.00,"1,075.00","71,005.00",4,20.00,16.00,1.86,1.48,0.24,969.07,943.44,"1,095.00",869.00
CFCL,-,416.00,441.00,405.00,412.50,423.99,"205,312.00",408.50,"87,049,349.40","1,143",4.00,36.00,0.98,8.89,-2.78,341.25,342.99,441.00,275.50
CGH,-,772.00,792.00,769.00,784.90,779.97,"8,244.00",772.00,"6,430,099.30",122,12.90,23.00,1.67,2.99,0.63,935.82,"1,045.00","1,520.00",769.00
CHCL,-,444.90,445.50,437.00,442.00,441.46,"14,587.00",437.00,"6,439,643.90",147,5.00,8.50,1.14,1.95,0.12,481.11,486.94,594.00,430.00
CHDC,-,820.00,820.00,805.20,810.00,811.22,"17,506.00",810.00,"14,201,260.50",273,0.00,14.80,0.00,1.84,-0.15,950.58,969.17,"1,217.20",700.00
CHL,-,313.00,339.00,312.20,321.00,321.84,"49,322.00",316.00,"15,873,958.20",173,5.00,26.80,1.58,8.58,-0.26,270.12,257.91,339.00,194.10
CIT,-,"2,120.00","2,120.00","2,093.00","2,108.00","2,105.24","5,771.00","2,105.00","12,149,314.40",148,3.00,27.00,0.14,1.29,0.13,"2,074.09","2,060.47","2,704.00","1,850.00"
CITY,-,589.80,599.00,570.00,595.00,580.86,"16,505.00",579.00,"9,587,069.60",180,16.00,29.00,2.76,5.09,2.38,608.13,630.84,782.50,111.10
CIZBD90,-,"1,000.00","1,030.00","1,000.00","1,020.00","1,021.16",275.00,0.00,"280,820.00",13,"1,020.00",30.00,0.00,3.00,-0.11,0.00,0.00,"1,030.00","1,000.00"
CKHL,-,492.00,511.90,490.00,504.80,500.97,"21,093.00",499.00,"10,566,997.10",205,5.80,21.90,1.16,4.47,0.76,0.00,0.00,686.80,300.00
CLI,-,445.00,462.90,445.00,452.10,453.68,"65,523.00",446.90,"29,726,735.60",974,5.20,17.90,1.16,4.02,-0.35,455.49,0.00,567.00,375.00
CMF1,-,8.53,8.53,8.53,8.53,8.53,"1,000.00",8.70,"8,530.00",1,-0.17,0.00,-1.95,0.00,0.00,8.45,8.33,9.40,7.09
CMF2,-,7.76,7.90,7.76,7.90,7.87,450.00,7.80,"3,541.00",3,0.10,0.14,1.28,1.80,0.39,7.83,8.03,10.39,6.81
CORBL,-,450.80,486.20,445.60,486.20,478.38,"31,569.00",442.00,"15,101,873.70",223,44.20,40.60,10.00,9.11,1.61,385.75,368.67,486.20,277.80
CYCL,-,"1,460.00","1,505.00","1,400.00","1,495.00","1,445.87","16,057.00","1,475.90","23,216,274.90",399,19.10,105.00,1.29,7.50,3.29,"1,196.07","1,193.12","1,823.00",882.00
CZBIL,-,157.00,159.00,154.00,157.00,156.15,"41,072.00",154.00,"6,413,421.40",164,3.00,5.00,1.95,3.25,0.54,167.16,172.99,207.80,153.00
DDBL,-,675.00,697.00,675.00,695.00,690.11,"5,863.00",687.00,"4,046,133.90",100,8.00,22.00,1.16,3.26,0.70,742.09,747.87,913.00,606.70
DHPL,-,204.40,212.00,199.00,209.60,206.18,"39,978.00",200.50,"8,242,787.40",246,9.10,13.00,4.54,6.53,1.63,184.74,176.17,242.00,134.00
